col0,col1
Andorra,Principat
Albania,Partizani
Albania,Tirana
Armenia,Ulisses
Austria,1. Simmeringer SC
Austria,Admira Wacker Mödling
Austria,Austria Klagenfurt
Austria,Fußballklub Austria Wien
Austria,First Vienna
Austria,Floridsdorfer AC
Austria,Rapid Wien
Austria,Sturm Graz
Austria,Wacker Innsbruck
Austria,Wiener SC
Belarus,MTZ-RIPO Minsk
Belgium,Anderlecht
Belgium,Antwerp
Bosnia and Herzegovina,Slavija Sarajevo Representing  Yugoslavia
Bosnia and Herzegovina,Željezničar Including ties representing  Yugoslavia
Bulgaria,CSKA Sofia
Bulgaria,Levski Sofia
Bulgaria,Lokomotiv Sofia
Bulgaria,Ludogorets Razgrad
Bulgaria,Marek Dupnitsa
Croatia,Dinamo Zagreb Including ties representing  Yugoslavia
Croatia,Hajduk Split
Croatia,Rijeka
Czech Republic,Baník Ostrava Representing  Czechoslovakia
Czech Republic,Kladno Representing  Czechoslovakia
Czech Republic,Slavia Prague Representing  Czechoslovakia
Czech Republic,Sparta Prague Including ties representing  Czechoslovakia
Czech Republic,Spartak Hradec Králové Representing  Czechoslovakia
Czech Republic,Teplice
Czech Republic,Zbrojovka Brno Representing  Czechoslovakia
Cyprus,AEL Limassol
Denmark,Brøndby
Denmark,Copenhagen
Denmark,Midtjylland
England,Leeds United
England,Liverpool
England,Manchester United
England,Millwall
England,Newcastle United
England,Wolverhampton Wanderers
Finland,Haka
Germany,1. FC Magdeburg Representing  East Germany
Germany,Bayer Leverkusen
Germany,Dynamo Dresden Representing  East Germany
Germany,Eintracht Braunschweig Representing  West Germany
Germany,Eintracht Frankfurt Representing  West Germany
Germany,Schalke 04
Germany,VfB Leipzig Representing  German Empire
Germany,VfB Stuttgart
Germany,Viktoria Köln Representing  West Germany
Germany,Werder Bremen
Greece,AEK Athens
Greece,Panathinaikos
Greece,OFI Crete
Greece,Olympiacos
Hungary,33 FC
Hungary,Budapesti AK
Hungary,Budapesti SC
Hungary,Budapesti TC
Hungary,MTK Budapest
Hungary,Nemzeti
Hungary,Újpest
Iceland,Keflavík
Ireland,Bohemian
Israel,Maccabi Tel Aviv
Italy,Bologna
Italy,Juventus
Italy,Internazionale
Italy,Lazio
Italy,Roma
Italy,Sampdoria
Kosovo,Prishtina
Latvia,Jelgava
Lithuania,Sūduva
Lithuania,Žalgiris
Luxemburg,F91 Dudelange
Luxemburg,Jeunesse Esch
Malta,Birkirkara
Malta,Floriana
Malta,Sliema Wanderers
Malta,Valletta
Moldova,Constructorul Chișinău
Netherlands,Ajax
Netherlands,Go Ahead Eagles
Netherlands,Feyenoord
Netherlands,PSV Eindhoven
Norway,Aalesunds
Norway,Molde
Poland,Gwardia Warsaw
Portugal,Porto
Romania,Argeș Pitești
Romania,Petrolul Ploiești
Romania,Ripensia Timișoara
Russia,CSKA Moscow
Scotland,Celtic
Scotland,Heart of Midlothian
Scotland,Rangers
Serbia,Beogradski SK Representing  Kingdom of Yugoslavia
Serbia,Radnički Beograd Representing  Yugoslavia
Serbia,Red Star Belgrade Representing  Yugoslavia
Slovakia,Slovan Bratislava Representing  Czechoslovakia
Slovakia,Spartak Trnava Representing  Czechoslovakia
Slovenia,Olimpija Ljubljana Representing  Yugoslavia
Spain,Athletic Bilbao
Spain,Barcelona
Spain,Espanyol
Spain,Real Madrid
Spain,Zaragoza
Sweden,Djurgårdens IF
Sweden,Helsingborgs IF
Sweden,IFK Göteborg
Sweden,Kalmar FF
Sweden,Malmö FF
Sweden,Örgryte IS
Switzerland,Basel
Switzerland,Grasshopper
Switzerland,Luzern
Switzerland,Zürich
Turkey,Fenerbahçe
Turkey,Galatasaray
Turkey,Kocaelispor
Ukraine,Dynamo Kyiv Including ties representing  Soviet Union
Wales,Cardiff City
