col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15
Tavistock,Studholme,Studholme,Studholme,Studholme,Studholme,Studholme,Studholme,Studholme,Heseltine,Heseltine,"Michael Ray Dibdin Heseltine, Baron Heseltine",,,,
Devon North,C. Peto,C. Peto,Lindsay,Lindsay,Lindsay,Rt. Hon. John Jeremy Thorpe,John Jeremy Thorpe,Rt. Hon. John Jeremy Thorpe,John Jeremy Thorpe,John Jeremy Thorpe,Thorpe,Thorpe,Thorpe,Speller,Speller
Exeter,Maude,Dudley-Williams,Dudley-Williams,"Sir Rolf Dudley Williams, 1st Bt.",Dudley-Williams,"Sir Rolf Dudley Williams, 1st Bt.",Dudley-Williams,Dudley-Williams,Dunwoody,Dunwoody,Hannam,Hannam,Hannam,Hannam,Sir John Gordon Hannam
Honiton,Sir Cedric Drewe,Sir Cedric Drewe,Mathew,Mathew,Mathew,Mathew,Mathew,Mathew,Mathew,Emery,Sir Peter Frank Hannibal Emery,Sir Peter Frank Hannibal Emery,Emery,Emery,Sir Peter Frank Hannibal Emery
Plymouth Devonport,Foot,Michael Mackintosh Foot,"Dame Joan Helen Vickers, Baroness Vickers","Dame Joan Helen Vickers, Baroness Vickers","Dame Joan Helen Vickers, Baroness Vickers",Vickers,"Dame Joan Helen Vickers, Baroness Vickers",→,"Dame Joan Helen Vickers, Baroness Vickers",→,→,Owen,"David Anthony Llewellyn Owen, Baron Owen","David Anthony Llewellyn Owen, Baron Owen",→
Plymouth Sutton,Middleton,John Jacob Astor,J. Astor,John Jacob Astor,John Jacob Astor,Fraser,Fraser,Fraser,"David Anthony Llewellyn Owen, Baron Owen","David Anthony Llewellyn Owen, Baron Owen","David Anthony Llewellyn Owen, Baron Owen",Clark,Clark,Rt. Hon. Alan Kenneth McKenzie Clark,Clark
Tiverton,Viscount Amory,Viscount Amory,Viscount Amory,Viscount Amory,Heathcoat-Amory,Viscount Amory,Maxwell-Hyslop,Maxwell-Hyslop,Maxwell-Hyslop,Robin John Maxwell-Hyslop,Robin John Maxwell-Hyslop,Sir Robin Maxwell-Hyslop,Maxwell-Hyslop,Maxwell-Hyslop,Robin John Maxwell-Hyslop
Torquay / Torbay (1974),Williams,Williams,Williams,Bennett,Bennett,Bennett,Bennett,Bennett,Bennett,Bennett,Bennett,Bennett,Bennett,Bennett,Bennett
Torrington / Devon West (1974),"George Lambert, 2nd Viscount Lambert","George Lambert, 2nd Viscount Lambert",Lambert jnr,Lambert jnr,Lord Bonham-Carter,Browne,Browne,Mills,Mills,Mills,Mills,Mills,Mills,Mills,Mills
Totnes,Rayner,Rayner,Mawby,Mawby,Mawby,Mawby,Mawby,Mawby,Mawby,Mawby,Mawby,Mawby,Mawby,Mawby,Mawby
