col0,col1,col2,col3,col4
1897,Saint Petersburg,Aleksandr Panshin,,
1900,Saint Petersburg,Aleksandr Panshin,,
1901,Saint Petersburg,Nikolai Aleksandrovich Panin-Kolomenkin,,
1902,Sankt-Peterburg,Nikolai Panin,,
1903,Saint Petersburg,Nikolai Panin,,
1904,Saint Petersburg,Nikolai Aleksandrovich Panin-Kolomenkin,,
1905,Saint Petersburg,Nikolai Panin,Fedor Datlin,Karl Ollo
1906,Petrograd,Fedor Datlin,,
1908,St Petersburg,Fedor Datlin,,
1911,Saint Petersburg,Karl Ollo,,
1912,St Petersburg,Karl Ollo,,
1913,Saint Petersburg,Ivan Malinin,I. Krevin,
1914,Saint Petersburg,Ivan Malinin,,
1920-   1992,Not held; see Soviet Figure Skating Championships,Not held; see Soviet Figure Skating Championships,Not held; see Soviet Figure Skating Championships,Not held; see Soviet Figure Skating Championships
1993,Chelyabinsk,Alexei Urmanov,Oleg Tataurov,Igor Pashkevich
1994,Sankt-Peterburg,Alexei Urmanov,Oleg Tataurov,Igor Pashkevich
1995,Moscow,Alexei Urmanov,Ilia Kulik,Oleg Tataurov
1996,Samara,Alexei Urmanov,Ilia Kulik,Igor Pashkevich
1997,Moscow,Ilia Kulik,Alexei Urmanov,Alexei Yagudin
1998,Moscow,Ilia Kulik,Alexei Yagudin,Evgeni Plushenko
1999,Moscow,Evgeni Plushenko,Alexei Yagudin,Alexei Urmanov
2000,Moscow,Evgeni Plushenko,Alexei Yagudin,Alexander Abt
2001,Moscow,Evgeni Plushenko,Alexei Yagudin,Alexander Abt
2002,Moscow,Evgeni Plushenko,Alexander Abt,Ilia Klimkin
2003,Kazan,Alexander Abt,Ilia Klimkin,Stanislav Timchenko
2004,Petersburg,Evgeni Plushenko,Ilia Klimkin,Andrei Griazev
2005,Saint Petersburg,Evgeni Plushenko,Andrei Griazev,Andrei Lezin
2006,Kazan,Evgeni Plushenko,Ilia Klimkin,Sergei Dobrin
2007,Mytishchi,Andrei Griazev,Andrei Lutai,Sergei Dobrin
2008,Petrograd,Sergei Voronov,Andrei Lutai,Andrei Griazev
2009,Kazan,Sergei Voronov,Artem Borodulin,Andrei Lutai
2010,Saint Petersburg,Evgeni Plushenko,Sergei Voronov,Artem Borodulin
2011,Saransk,Konstantin Menshov,Artur Gachinski,Zhan Bush
2012,Saransk,Evgeni Plushenko,Artur Gachinski,Sergei Voronov
2013,Sochi,Evgeni Plushenko,Sergei Voronov,Konstantin Menshov
2014,Sochi,Maxim Kovtun,Evgeni Plushenko,Sergei Voronov
2015,Sochi,Maxim Kovtun,Sergei Voronov,Adian Pitkeev
2016,Yekaterinburg,Maxim Kovtun,Mikhail Kolyada,Alexander Petrov
2017,Chelyabinsk,Mikhail Kolyada,Alexander Samarin,Maxim Kovtun
2018,Saint Petersburg,Mikhail Kolyada,Alexander Samarin,Dmitri Aliev
2019,Saransk,Maxim Kovtun,Mikhail Kolyada,Alexander Samarin
2020,Krasnoyarsk,Dmitri Aliev,Artur Danielian,Alexander Samarin
2021,Chelyabinsk,Mikhail Kolyada,Makar Ignatov,Mark Kondratiuk
2022,Saint Petersburg,Mark Kondratiuk,Mikhail Kolyada,Andrei Mozalev
2023,Krasnoyarsk,Evgeni Semenenko,Petr Gumennik,Alexander Samarin
2024,Chelyabinsk,Evgeni Semenenko,Vladislav Dikidzhi,Petr Gumennik
