col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
Bristol Central,Stanley Stephen Awbery,Stanley Stephen Awbery,Stanley Stephen Awbery,Stanley Stephen Awbery,Stanley Stephen Awbery,Awbery,Stanley Stephen Awbery,Awbery,Awbery,Stanley Stephen Awbery,Palmer,Palmer,Palmer,,,
Bristol North East,Coldrick,Coldrick,Coldrick,Coldrick,Coldrick,Coldrick,Coldrick,Hopkins,Hopkins,Hopkins,Hopkins,Dobson,Robert James Adley,Palmer,Arthur Montague Frank Palmer,Palmer
Bristol North West,Braithwaite,Braithwaite,Braithwaite,Braithwaite,Braithwaite,Boyd,Boyd,McLaren,McLaren,McLaren,McLaren,Ellis,McLaren,McLaren,Thomas,Colvin
Bristol South,Wilkins,Wilkins,Wilkins,Wilkins,Wilkins,Wilkins,Wilkins,Wilkins,Wilkins,Wilkins,Wilkins,Wilkins,Cocks,Cocks,Cocks,"Michael Francis Lovell Cocks, Baron Cocks of Hartcliffe"
Bristol South East,Sir Richard Stafford Cripps,Benn,Benn,Anthony Neil Wedgwood Benn,Benn,Benn,Benn,Benn,St Clair,Anthony Neil Wedgwood Benn,Benn,Anthony Neil Wedgwood Benn,Anthony Neil Wedgwood Benn,Benn,Benn,Benn
Bristol West,Oliver Frederick George Stanley,Stanley,Monckton,Monckton,Monckton,Monckton,Robert Gordon Cooke,Sir Robert Gordon Cooke,Cooke,Robert Gordon Cooke,Robert Gordon Cooke,Sir Robert Gordon Cooke,Cooke,Sir Robert Gordon Cooke,Cooke,Waldegrave
Cheltenham,W. W. Hicks-Beach,W. W. Hicks-Beach,W. W. Hicks-Beach,W. W. Hicks-Beach,W. W. Hicks-Beach,W. W. Hicks-Beach,W. W. Hicks-Beach,W. W. Hicks-Beach,W. W. Hicks-Beach,W. W. Hicks-Beach,Dodds-Parker,Dodds-Parker,Sir Arthur Douglas Dodds-Parker,Sir Arthur Douglas Dodds-Parker,Irving,Irving
Cirencester and Tewkesbury,William Shepherd Morrison,William Shepherd Morrison,"William Shepherd Morrison, 1st Viscount Dunrossil",Morrison,→,→,→,Ridley,Ridley,Ridley,Ridley,Nicholas Ridley Hon.,Nicholas Ridley Hon.,Nicholas Ridley Hon.,"Nicholas, Hon. Ridley","Nicholas, Hon. Ridley"
Gloucester,Turner-Samuels,Turner-Samuels,Turner-Samuels,Turner-Samuels,Turner-Samuels,Turner-Samuels,Diamond,Diamond,Diamond,Diamond,Diamond,Diamond,Oppenheim,Oppenheim,Oppenheim,Oppenheim
Gloucestershire South,Crosland,Charles Anthony Raven Crosland,Charles Anthony Raven Crosland,Charles Anthony Raven Crosland,Charles Anthony Raven Crosland,Corfield,Corfield,Corfield,Corfield,Corfield,Corfield,Corfield,Corfield,"John Ambrose Cope, Baron Cope of Berkeley",Cope,Cope
Gloucestershire West,Price,Price,Price,Price,Price,Price,Price,Charles William Loughlin,Charles William Loughlin,Charles William Loughlin,Loughlin,Charles William Loughlin,Loughlin,Loughlin,John Taylor Watkinson,Marland
Stroud & Thornbury / Stroud ('55),Perkins,Perkins,Perkins,Perkins,Perkins,Kershaw,Sir John Anthony Kershaw,Kershaw,Sir John Anthony Kershaw,Kershaw,Kershaw,Kershaw,Kershaw,Kershaw,Kershaw,Sir John Anthony Kershaw
