col0,col1,col2,col3,col4
2003,Santiago,China,Japan,Czech
2004,Kobe-shi,China,Japan,Romania
2005,Linz,China,Hungary,Spain
2006,al-Qāhira,China,Japan,Hungary
2006,al-Qāhira,China,Japan,Romania
2007,Palo Alto,China,Romania,Poland
2007,Palo Alto,China,Romania,South Korea
2008,Madrid,China,Japan,Germany
2008,Madrid,China,Japan,South Korea
2009,Colombia,China,Japan,Hong Kong
2009,Colombia,China,Japan,South Korea
2010,Bratislava,Japan,China,Germany
2010,Bratislava,Japan,China,South Korea
2011,Manama,China,Japan,Chinese Taipei
2011,Manama,China,Japan,Hong Kong
2012,Hyderabad,China,Japan,Germany
2012,Hyderabad,China,Japan,Hong Kong
2013,Rabat,China,Japan,Romania
2013,Rabat,China,Japan,Hong Kong
2014,Shanghai,China,Japan,Hong Kong
2014,Shanghai,China,Japan,United States
2015,Vendée,China,South Korea,United States
2015,Vendée,China,South Korea,Romania
2016,Cape Town,Japan,China,Hong Kong
2016,Cape Town,Japan,China,South Korea
2017,Riva del Garda,China,Japan,South Korea
2017,Riva del Garda,China,Japan,Romania
2018,Bendigo,China,Japan,South Korea
2018,Bendigo,China,Japan,Russia
2019,Korat,China,Japan,Chinese Taipei
2019,Korat,China,Japan,North Korea
