col0,col1,col2,col3,col4,col5,col6,col7
1989,Thomas George Butler,Fred McKenzie,Kay Hallahan,Labor,Peter Foss,Liberal,Derrick Tomlinson
1993,Thomas George Butler,Fred Evan McKenzie,Valma Ferguson,Australian Labor Party (Western Australian Branch),Peter Foss,Liberal Party of Western Australia,Derrick Gordon Tomlinson
"Western Australian state election, 1993",Thomas George Butler,Nick Griffiths,Alannah Joan Geraldine Cecilia MacTiernan,Labor,Peter Foss,Liberal,Derrick Tomlinson
1995,Valma Ferguson,Nick Griffiths,Alannah Joan Geraldine Cecilia MacTiernan,WA Labor,Peter Foss,Liberal,Derrick Gordon Tomlinson
1996,Valma Ferguson,Nick Griffiths,Paul Sulc,Labor,Peter Foss,Liberals WA,Derrick Gordon Tomlinson
"Western Australian state election, 1996",Ljiljanna Maria Ravlich,Nick Griffiths,Norman John Patrick Kelly,Democrats,Peter Foss,WA Liberals,Derrick Tomlinson
2001,Ljiljanna Maria Ravlich,Nick Griffiths,Louise Pratt,Labor,Peter Foss,WA Liberals,Derrick Tomlinson
"Western Australian state election, 2005",Ljiljanna Maria Ravlich,Nick Griffiths,Louise Clare Pratt,WA Labor,Helen Margaret Morton,Liberal,Donna Faragher
2007,Ljiljanna Ravlich,Nick Griffiths,Batong Pham,Australian Labor Party (Western Australian Branch),Helen Morton,Liberal,Donna Faragher
2008,Ljiljanna Ravlich,Jock Ferguson,Alison Xamon,Greens WA,Helen Margaret Morton,Liberal,Donna Faragher
2010,Ljiljanna Maria Ravlich,Linda Savage,Alison Xamon,Greens,Helen Margaret Morton,Liberals WA,Donna Faragher
2013,Alanna Clohesy,Samantha Helen Rowe,Amber-Jade Sanderson,WA Labor,Helen Margaret Morton,Liberal,Donna Evelyn Mary Faragher
2017,Alanna Clohesy,Samantha Helen Rowe,Bill Leadbetter,WA Labor,Helen Margaret Morton,WA Liberals,Donna Evelyn Mary Faragher
"Western Australian state election, 2017",Alanna Therese Clohesy,Samantha Rowe,Matthew Swinbourn,Labor,Timothy James Clifford,Greens,Donna Faragher
2019,Alanna Therese Clohesy,Samantha Rowe,Matthew Dean Swinbourn,WA Labor,Timothy James Clifford,Greens WA,Donna Taylor
2020,Alanna Therese Clohesy,Samantha Helen Rowe,Matthew Dean Swinbourn,Labor,Tim Clifford,Greens,Donna Evelyn Mary Faragher
"Western Australian state election, 2021",Alanna Therese Clohesy,Samantha Rowe,Matthew Dean Swinbourn,Labor,Lorna Harper,WA Labor,Donna Faragher
