col0,col1,col2
Agra,Seth Achal Singh,Indian National Congress
Akbarpur (SC),Ramji Ram,INC
Aligarh,Shiv Kumar Shastri,Bharatiya Kranti Dal
Allahabad,Hemwati Nandan Bahuguna,Congress
Almora,Narendra Singh Bisht,Indian National Congress
Amethi,Vidya Dhar Bajpai,Indian National Congress
Amroha,Maulana Ishaq Sambhali,Communist Party of India
Aonla,Smt. Savitri Shyam,Indian National Congress
Azamgarh,Chandrajit Yadav,Congress
Baghpat,Ram Chandra Vikal,INC
Bahraich,Badlu Ram Shukla,Congress
Ballia,Chandrika Prasad,Indian National Congress
Balrampur,Chandra Bhal Mani Tiwari,Indian National Congress (I)
Banda,Ram Ratan Sharma,Bharatiya Jan Sangh
Bansgaon (SC),Ram Surat Prasad,Indian National Congress
Barabanki (SC),Rudra Pratap Singh,Congress
Bareilly,Satish Chandra,INC
Basti (SC),Anand Prasad Dhusia,Indian National Congress
Bijnor (SC),Ram Dayal,Indian Congress Party
Bijnor (SC),Swami Ramanand Shastri,Indian National Congress
Bilhaur,Sushila Rohatgi,INC
Budaun,Karan Singh Yadav,Indian National Congress
Bulandshahar,Surendra Pal Singh,Indian National Congress (I)
Chandauli,Sudhakar Pandey,Indian National Congress
Dehradun,Mulki Raj Saini,Indian Congress Party
Deoria,Bishwanath Roy,Indian National Congress
Domariaganj,Keshav Dev Malviya,Indian National Congress
Etah,Rohanlal Chaturvedi,Indian National Congress
Etawah,Sri Shanker Tewari,Indian National Congress
Faizabad,Ram Krishna Sinha,Indian National Congress
Farrukhabad,Awadhesh Chandra Singh Rathore,Indian National Congress
Fatehpur,Sant Bux Singh,Indian National Congress
Phulpur,Vishwanath Pratap Singh,Congress
Firozabad (SC),Chhatrapati Ambesh,Indian National Congress
Garhwal,Hemwati Nandan Bahuguna,Congress
Garhwal,Pratap Singh Negi,Congress
Ghatampur (SC),Tula Ram,Indian National Congress
Ghazipur,Sarjoo Pandey,Communist Party of India
Ghosi,Jharkhande Rai,Communist Party of India
Gonda,Anand Singh,Congress
Gorakhpur,Narsingh Narain Pandey,Indian National Congress
Hamirpur,Swami Brahmanand,Congress
Hapur,Buddha Priya Maurya,Indian National Congress
Hapur,Kedar Nath Singh,Congress
Hardoi (SC),Kinder Lal,INC
Hardwar (SC),Sunder Lal,Congress
Hathras (SC),Chandra Pal Shailani,Congress
Jalaun (SC),Chowdhary Ram Sewak,Congress
Jaunpur,Rajdeo Singh,Indian Congress Party
Jhansi,Dr. Govind Dass Richhariya,INC
Kairana,Shafquat Jung,Indian National Congress
Kaiserganj,Shakuntala Nayar,Bharatiya Jan Sangh
Kannauj,S.N. Mishra,Indian National Congress
Kanpur,S. M. Banerjee,Independent
Khalilabad,Krishna Chandra Pandey,Indian National Congress (I)
Kheri,Balgovind Verma,Indian Congress Party
Khurja (SC),Hari Singh,Congress
Lalganj (SC),Ram Dhan,
Lucknow,Sheila Kaul,Congress
Machhlishahr,Nageshwar Dwivedi,Indian National Congress
Maharajganj,Shibbanlal Saksena,IND
Mainpuri,Maharaj Singh,Indian National Congress
Mathura,Chakleshwar Singh,Indian National Congress
Meerut,Shah Nawaz Khan (general),Indian Congress Party
Mirzapur,Aziz Imam,Indian National Congress (I)
Misrikh (SC),Dr. Sankta Prasad,Congress
Mohanlalganj (SC),Ganga Devi,Indian National Congress
Moradabad,Virendra Agarwala,Bharatiya Jan Sangh
Muzaffarnagar,Vijai Pal Singh,Communist Party of India
Padrauna,Genda Singh,Indian National Congress
Pilibhit,Mohan Swarup,Indian Congress Party
Pratapgarh,Dinesh Singh,INC
Raebareli,Indira Nehru Gandhi,Indian National Congress
Rampur,Zulfiquar Ali Khan,INC
Ramsanehighat (SC),Baijnath Kureel,Indian National Congress
Robertsganj (SC),Ram Swarup,Indian National Congress
Saidpur (SC),Shambhu Nath,Indian National Congress
Salempur,Tarkeshwar Pande,Indian National Congress
Shahabad,Dharam Gaj Singh,Indian Congress Party
Shahjahanpur (SC),Jitendra Prasada,Congress
Sitapur,Jagdish Chandra Dikshit,INC
Tehri Garhwal,Paripoornanand Painuli,Indian National Congress
Unnao,Ziaur Rahman Ansari,Indian National Congress (I)
Varanasi,Prof. Raja Ram Shastri,Indian Congress Party
