col0,col1
:Category:Adilshahi,Y
:Category:Administration of Karnataka,Y
:Category:Affiliates of Bangalore university,Y
:Category:Affiliates of Visveswaraiah Technological University,"Y --   TinuCherian       (Wanna Talk?)    - 03:49, 12 June 2008 (UTC)"
:Category:Airports in Karnataka,Y
:Category:Architecture of Karnataka,"Y --   TinuCherian       (Wanna Talk?)    - 03:49, 12 June 2008 (UTC)"
:Category:Arts of Karnataka,"Y --   TinuCherian       (Wanna Talk?)    - 03:49, 12 June 2008 (UTC)"
:Category:Ashta Mathas of Udupi,"Y --   TinuCherian       (Wanna Talk?)    - 03:49, 12 June 2008 (UTC)"
:Category:Bagalkot district,Y
:Category:Bangalore,Y
:Category:Battles involving Mysore,Y
:Category:Battles involving the Vijayanagara Empire,"Y --   TinuCherian       (Wanna Talk?)    - 03:54, 12 June 2008 (UTC)"
:Category:Beaches of Karnataka,Y
:Category:Bidar,Y
:Category:Bijapur,Y
:Category:Bird sanctuaries of Karnataka,"Y --   TinuCherian       (Wanna Talk?)    - 03:49, 12 June 2008 (UTC)"
:Category:Buildings and structures in Bangalore,Y
:Category:Buildings and structures in Karnataka,Y
:Category:Chalukyas,Y
:Category:Chief Ministers of Karnataka,Y
:Category:Cinema of Karnataka,Y
:Category:Cities and towns in Karnataka,"Y --   TinuCherian       (Wanna Talk?)    - 09:35, 11 June 2008 (UTC)"
:Category:Culture of Karnataka,Y
:Category:Dakshina Kannada,"Y --   TinuCherian       (Wanna Talk?)    - 03:49, 12 June 2008 (UTC)"
:Category:Dams in Karnataka,"Y --   TinuCherian       (Wanna Talk?)    - 09:35, 11 June 2008 (UTC)"
:Category:Districts of Karnataka,Y
:Category:Economy of Bangalore,"Y --   TinuCherian       (Wanna Talk?)    - 09:35, 11 June 2008 (UTC)"
:Category:Economy of Karnataka,"Y --   TinuCherian       (Wanna Talk?)    - 09:35, 11 June 2008 (UTC)"
:Category:Education in Bangalore,"Y --   TinuCherian       (Wanna Talk?)    - 09:35, 11 June 2008 (UTC)"
:Category:Education in Karnataka,"Y --   TinuCherian       (Wanna Talk?)    - 09:35, 11 June 2008 (UTC)"
:Category:Engineering colleges in Bangalore,"Y --   TinuCherian       (Wanna Talk?)    - 09:35, 11 June 2008 (UTC)"
:Category:Engineering colleges in Karnataka,"Y --   TinuCherian       (Wanna Talk?)    - 09:35, 11 June 2008 (UTC)"
:Category:Ethnicities of Karnataka,"Y --   TinuCherian       (Wanna Talk?)    - 03:54, 12 June 2008 (UTC)"
:Category:Forts in Karnataka,"Y --   TinuCherian       (Wanna Talk?)    - 09:35, 11 June 2008 (UTC)"
:Category:Geography of Karnataka,"Y --   TinuCherian       (Wanna Talk?)    - 09:35, 11 June 2008 (UTC)"
:Category:Government of Bangalore,Y
:Category:Government of Karnataka,Y
:Category:Governors of Karnataka,Y
:Category:Hindu temples in Karnataka,"Y --   TinuCherian       (Wanna Talk?)    - 03:54, 12 June 2008 (UTC)"
:Category:Historical Economies of Karnataka,Y
:Category:Historical Societies of Karnataka,Y
:Category:History of Bangalore,Y
:Category:History of Karnataka,Y
:Category:Hospitals in Bangalore,Y
:Category:Hoysala Empire,Y
:Category:Hoysala kings,Y
:Category:Indian Institute of Science,Y
:Category:Kadambas,Y
:Category:Kannada-language film stubs,Y
:Category:Kannada-language films,Y
:Category:Kannada-language magazines,Y
:Category:Kannada-language newspapers,Y
:Category:Kannada Brahmins,Y
:Category:Kannada cinema,Y
:Category:Kannada film actors,Y
:Category:Kannada film directors,Y
:Category:Kannada film industry,Y
:Category:Kannada grammar,Y
:Category:Kannada grammarians,"Y --   TinuCherian       (Wanna Talk?)    - 03:54, 12 June 2008 (UTC)"
:Category:Kannada language,Y
:Category:Kannada literature,Y
:Category:Kannada media,Y
:Category:Kannada people,Y
:Category:Kannada playback singers,Y
:Category:Kannada poets,Y
:Category:Kannada TV Channels,Y
:Category:Kannada writers,Y
:Category:Kannadigas,Y
:Category:Karnataka cricketers,Y
:Category:Karnataka cuisine,Y
:Category:Karnataka geography stubs,Y
:Category:Karnataka location articles needing coordinates,Y
:Category:Karnataka politicians,Y
:Category:Karnataka Ratna Award recipients,Y
:Category:Karnataka society,Y
:Category:Karnataka stubs,Y
:Category:Kings of Mysore,Y
:Category:Kodava,Y
:Category:Kodava Takk,Y
:Category:Lakes of Bangalore,Y
:Category:Languages of Karnataka,Y
:Category:Lingayatism,Y
:Category:Literature of Karnataka,Y
:Category:Mangalore,Y
:Category:Medical colleges in Karnataka,Y
:Category:Members of Parliament from Karnataka,Y
:Category:Mogaveeras,Y
:Category:Mysore,Y
:Category:Mysore Division geography stubs,Y
:Category:Mysore Kingdom,Y
:Category:National Highways in Karnataka,Y
:Category:Neighbourhoods of Bangalore,Y
:Category:Organisations in Karnataka,Y
:Category:Organisations of Karnataka,Y
:Category:People from Bangalore,Y
:Category:People from Karnataka,Y
:Category:People from Mangalore,Y
:Category:Political parties in Karnataka,Y
:Category:Politics of Karnataka,Y
:Category:Raichur district,Y
:Category:Rashtrakutas,Y
:Category:Regions of Karnataka,Y
:Category:Rivers of Karnataka,Y
:Category:Schools in Karnataka,Y
:Category:Sport in Bangalore,Y
:Category:Sultans of Bijapur,Y
:Category:Taluks of Karnataka,Y
:Category:Temples in Karnataka,Y
:Category:Tourism in Karnataka,Y
:Category:Transport in Bangalore,Y
:Category:Transportation in Karnataka,Y
:Category:Tulu language,Y
:Category:Tuluva,Y
:Category:Udupi,Y
:Category:Uncategorised Karnataka articles,Y
:Category:Universities and colleges in Karnataka,Y
:Category:Vijayanagara Empire,Y
:Category:Villages in Gulbarga district,Y
:Category:Villages in Karnataka,Y
:Category:Visitor attractions in Bangalore,Y
:Category:Wars involving Mysore,Y
:Category:Waterfalls of Karnataka,Y
:Category:Western Chalukya Empire,Y
:Category:Wodeyar dynasty of Mysore,Y
