col0,col1
Peter Lloyd,"Melbourne, Victoria"
Dimitar Dimitrov,"Kardam, Bulgaria"
Bozhidar Iliev,"Razgrad, Bulgaria"
Ivan Kondev,"Sliven, Bulgaria"
Geno Radev,"Balchik, Bulgaria"
Stefan Zoev,"Sofia, Bulgaria"
Bruce Medd,"Ottawa, Ontario"
Steve Mitruk,"Hamilton, Ontario"
André Simard,"Alma, Quebec"
Roberto León,"Cárdenas, Cuba"
Luis Ramírez,"Havana, Cuba"
Jorge Rodríguez,"Havana, Cuba"
Jiří Fejtek,"Prague, Czechoslovakia"
Bohumil Mudřík,"Zlín, Czechoslovakia"
Vladislav Nehasil,"Ústí nad Labem, Czechoslovakia"
Miloslav Netušil,"Chomutov, Czechoslovakia"
Ole Benediktson,"Svostrup, Denmark"
Matthias Brehme,"Markkleeberg, East Germany"
Wolfgang Klotz,"Torgau, East Germany"
Klaus Köste,"Frankfurt an der Oder, East Germany"
Jürgen Paeke,"Biesenthal, East Germany"
Reinhard Rychly,"Rostock, East Germany"
Wolfgang Thüne,"Heilbad Heiligenstadt, East Germany"
Mauno Nissinen,"Oulu, Finland"
Henri Boério,"Sétif, Algeria"
Christian Deuza,"Boulogne-sur-Mer, France"
Christian Guiffroy,"Toulouse, France"
Stan Wild,"Bolton upon Dearne, England"
István Bérczi,"Nagycenk, Hungary"
Béla Herczeg,"Debrecen, Hungary"
István Kiss,"Budapest, Hungary"
Antal Kisteleki,"Székesfehérvár, Hungary"
Zoltán Magyar,"Budapest, Hungary"
Imre Molnár,"Miskolc, Hungary"
Luigi Coppa,"Turin, Italy"
Franco Donegà,"Genoa, Italy"
Adolfo Lampronti,"Ferrara, Italy"
Carmine Luppino,"Seminara, Italy"
Maurizio Milanetto,"Padua, Italy"
Fedele Spatazza,"Tunis, Tunisia"
Shigeru Kasamatsu,"Kumano, Japan"
Sawao Kato,"Gosen, Japan"
Eizo Kenmotsu,"Okayama Prefecture, Japan"
Akinori Nakayama,"Nagoya, Japan"
Teruichi Okamura,"Osaka Prefecture, Japan"
Mitsuo Tsukahara,"Tokyo, Japan"
Rogelio Mendoza,"Mexico City, Mexico"
Terry Sale,"Auckland, New Zealand"
Tore Lie,"Bergen, Norway"
Jerzy Kruża,"Ruda Śląska, Poland"
Mikołaj Kubica,"Niedobczyce, Poland"
Sylwester Kubica,"Niedobczyce, Poland"
Wilhelm Kubica,"Niedobczyce, Poland"
Mieczysław Strzałka,"Bielsko-Biała, Poland"
Andrzej Szajna,"Wrocław, Poland"
Mircea Gheorghiu,"Bucharest, Romania"
Dan Grecu,"Bucharest, Romania"
Petre Mihăiuc,"Bucharest, Romania"
Nicolae Oprescu,"Bucharest, Romania"
Gheorghe Păunescu,"Craiova, Romania"
Constantin Petrescu,"Bucharest, Romania"
Nikolai Andrianov,"Vladimir, Russian SFSR"
Viktor Klimenko,"Moscow, Russian SFSR"
Aleksandr Maleyev,"Voronezh, Russian SFSR"
Edvard Mikaelian,"Yerevan, Armenian SSR"
Vladimir Shchukin,"Minsk, Byelorussian SSR"
Mikhail Voronin,"Moscow, Russian SFSR"
José Ginés,"Madrid, Spain"
Agustín Sandoval,"Bélmez, Spain"
Cecilio Ugarte,"Vitoria-Gasteiz, Spain"
Robert Bretscher,"Winterthur, Switzerland"
Hans Ettlin,"Kerns, Switzerland"
Edwin Greutmann,"Beggingen, Switzerland"
Peter Rohner,"St. Gallen, Switzerland"
Marshall Avener,"Brooklyn, New York"
John Crosby Jr.,"New York, New York"
Jim Culhane Jr.,"Rochester, New York"
George Greenfield,"Altadena, California"
Steve Hug,"Highland, Illinois"
Makoto Sakamoto,"Tokyo, Japan"
Bernd Effing,"Neukirchen, West Germany"
Eberhard Gienger,"Künzelsau, West Germany"
Heinz Häussler,"Lindau, West Germany"
Walter Mößinger,"Emmendingen, West Germany"
Reinhard Ritter,"Haßloch, West Germany"
Günter Spies,"Kenzingen, West Germany"
Janez Brodnik,"Golnik, Yugoslavia"
Ivica Hmjelovac,"Slavonski Brod, Yugoslavia"
Milenko Kersnić,"Ljubljana, Yugoslavia"
Drago Šoštarić,"Maribor, Yugoslavia"
Miloš Vratič,"Ljubljana, Yugoslavia"
