col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
"Philippine presidential election, 1965",Marcos,FM,Apo Lakay,Ferdinand E. E. Marcos,Marcos,Marcos,FEM,Marcos,FM,Marcos,Marcos,FM,FEM,Mcoy,Marcos,Marcos
"Philippine presidential election, 1969",Ferdinand E. E. Marcos,Ferdinand Edralin Marcos,Marcos,Mcoy,Marcos,Marcos,Marcos,Ferdinand Edralin Marcos,Marcos,Marcos,Marcos,Ferdinand Edralin Marcos,Ferdinand Edralin Marcos,Ferdinand Edralin Marcos,Ferdinand Marcos Sr.,Marcos
1981,Ferdinand Edralin Marcos,Marcos,Ferdinand E. E. Marcos,Marcos,Ferdinand Marcos Sr.,Marcos,Marcos,Mcoy,FM,Marcos,Marcos,Ferdinand Edralin Marcos,Marcos,Mcoy,Ferdinand Marcos Sr.,FM
1986,Marcos,FEM,Mcoy,Marcos,Marcos,Marcos,Marcos,Ferdinand Marcos Sr.,Marcos,Marcos,Ferdinand Edralin Marcos,Marcos,FEM,Mcoy,Marcos,Ferdinand Marcos Sr.
1992,Marcos,Marcos,Cojuangco,Ramos,Ramos,Imelda R. Marcos,Cojuangco,Cojuangco,Mitra,Cojuangco,Imelda Romualdez,Marcos,Santiago,Mitra,Mitra,Ramos
1998,Estrada,ERAP,Estrada,de Venecia,Alfredo Siojo Lim,Enrile,Joseph Ejercito Estrada,ERAP,Estrada,ERAP,Estrada,ERAP,de Venecia,Estrada,Estrada,Estrada
2004,Poe,Gloria Macapagal-arroyo,Poe,Poe,Poe,Poe,Poe,Poe,Poe,Poe,Arroyo,Poe,PGMA,Arroyo,Arroyo,Arroyo
2010,Villar,"Manuel ""Manny"" Villar",Estrada,PNoy,Aquino,Joseph Ejercito Estrada,Estrada,Estrada,Joseph Ejercito Estrada,Estrada,ERAP,Estrada,Aquino,Aquino,PNoy,Aquino
2016,Duterte,Mary Grace Natividad Sonora Poe-Llamanzares,Poe,Poe,Manuel Roxas II,Jojo Binay,Binay,"Jejomar, Sr.",Binay,Jejomar C. Binay,Jojo Binay,Binay,Rodrigo Roa Duterte,Mary Grace Natividad Sonora Poe-Llamanzares,Poe,Poe
2022,Ferdinand Marcos Jr,Marcos,Marcos,Marcos,Robredo,Ferdinand Romualdez Marcos Jr.,"Ferdinand ""Bongbong"" Marcos Jr.",Marcos,Marcos,Marcos,Marcos,BBM,Marcos,Ferdinand Marcos Jr,Marcos,Marcos
