col0,col1,col2
2000,Almost Famous,Cameron Bruce Crowe
2000,Wu Hu Zang Long,Lee Ang
2000,Dancer in the Dark,Lars von Trier
2000,Requiem for a Dream,Darren Aronofsky
2000,Traffic,Steven Soderbergh
2001,Memento,Christopher Nolan
2001,Mulholland Drive,David Lynch
2001,Ghost World,Terry Zwigoff
2001,In the Bedroom,Todd Field
2001,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson
2002,The Lord of the Rings: The Two Towers,Peter Jackson
2002,Adaptation.,Spike Jonze
2002,Bowling for Columbine,Michael Moore
2002,Far from Heaven,Todd Haynes
2002,Minority Report,Steven Spielberg
2003,The Lord of the Rings: The Return of the King,Peter Jackson
2003,City of God,Fernando Meirelles
2003,Kill Bill: Volume 1,Quentin Tarantino
2003,Lost in Translation,Sofia Coppola
2003,Mystic River,Clint Eastwood
2004,Eternal Sunshine of the Spotless Mind,Michel Gondry
2004,Before Sunset,Richard Linklater
2004,Garden State,Zach Braff
2004,The Incredibles,Brad Bird
2004,Sideways,Alexander Payne
2005,A History of Violence,David Cronenberg
2005,Brokeback Mountain,Lee Ang
2005,Crash,Paul Haggis
2005,"Good Night, and Good Luck.",George Clooney
2005,Munich,Steven Spielberg
2006,United 93,Paul Greengrass
2006,Babel,Alejandro González Iñárritu
2006,Children of Men,Alfonso Cuarón
2006,The Departed,Martin Scorsese
2006,Pan's Labyrinth,Guillermo del Toro
2007,No Country for Old Men,Joel Coen and Ethan Coen
2007,Atonement,Joe Wright
2007,Juno,Jason Reitman
2007,There Will Be Blood,Paul Thomas Anderson
2007,Zodiac,David Fincher
2008,WALL-E,Andrew Stanton
2008,The Curious Case of Benjamin Button,David Fincher
2008,The Dark Knight,Christopher Nolan
2008,Slumdog Millionaire,Danny Boyle
2008,The Wrestler,Darren Aronofsky
2009,The Hurt Locker,Kathryn Bigelow
2009,Inglourious Basterds,Quentin Tarantino
2009,A Serious Man,Joel Coen and Ethan Coen
2009,Up,Pete Docter
2009,Up in the Air,Jason Reitman
