col0,col1,col2,col3,col4
Martinsville,FOX,Rick Allen,Phil Parsons,Darrell Waltrip
Mansfield,FOX,Rick Allen,Phil Parsons,None
2008 NASCAR Craftsman Truck Series,2008 NASCAR Craftsman Truck Series,2008 NASCAR Craftsman Truck Series,2008 NASCAR Craftsman Truck Series,2008 NASCAR Craftsman Truck Series
California,Fox,Rick Allen,Phillip Parsons,Jaws
Kroger 250,Fox,Rick Allen Schwieger,Phillip Parsons,Darrell Waltrip
2009 NASCAR Camping World Truck Series,2009 NASCAR Camping World Truck Series,2009 NASCAR Camping World Truck Series,2009 NASCAR Camping World Truck Series,2009 NASCAR Camping World Truck Series
California,Fox,Mike Joy,Larry McReynolds,Darrell Waltrip
2013 NASCAR Camping World Truck Series,2013 NASCAR Camping World Truck Series,2013 NASCAR Camping World Truck Series,2013 NASCAR Camping World Truck Series,2013 NASCAR Camping World Truck Series
Michigan,FS1,Rick Allen,Phil Parsons,Michael Waltrip
Bristol,FS1,Rick Allen,Phil Parsons,Michael Waltrip
Mosport,FS1,Rick Allen Schwieger,Phil Parsons,Michael Waltrip
Iowa,FS1,Rick Allen,Phillip Parsons,Michael Waltrip
Chicagoland,FS1,Rick Allen,Phillip Parsons,Michael Waltrip
Las Vegas,FS1,Rick Allen,Phil Parsons,Michael Waltrip
Talladega,FS1,Richard Allen Schwieger,Phil Parsons,Michael Waltrip
Martinsville,FS1,Rick Allen,Phillip Parsons,Michael Waltrip
Texas,FS1,Rick Allen,Phillip Parsons,Michael Waltrip
Phoenix,FS1,Rick Allen,Phil Parsons,Michael Waltrip
Homestead,FS1,Rick Allen Schwieger,Phil Parsons,Michael Waltrip
2014 NASCAR Camping World Truck Series,2014 NASCAR Camping World Truck Series,2014 NASCAR Camping World Truck Series,2014 NASCAR Camping World Truck Series,2014 NASCAR Camping World Truck Series
Daytona,FS1,Rick Allen,Phil Parsons,Michael Waltrip
Kroger 250,FS1,Richard Allen Schwieger,Phillip Parsons,Michael Waltrip
Kansas,FS1,Richard Allen Schwieger,Phil Parsons,Michael Waltrip
Charlotte,FS1,Rick Allen,Phillip Parsons,Michael Waltrip
Dover,FS1,Rick Allen,Phil Parsons,Michael Waltrip
Texas,FS1,Rick Allen,Phil Parsons,Michael Waltrip
Gateway,FS1,Richard Allen Schwieger,Phil Parsons,Michael Waltrip
Kentucky,FS1,Rick Allen,Phil Parsons,Michael Waltrip
Iowa,FS1,Rick Allen,Phil Parsons,Michael Waltrip
Eldora,FS1,Rick Allen,Phillip Parsons,Michael Waltrip
Pocono,FS1,Steve Byrnes,Phil Parsons,Michael Waltrip
Michigan,FS1,Steve Byrnes,Phillip Parsons,Michael Waltrip
Bristol,FS1,Steve Byrnes,Phil Parsons,Michael Waltrip
Chicagoland,FS1,Adam Alexander,Phillip Parsons,Michael Waltrip
New Hampshire,FS1,Steve Byrnes,Phil Parsons,Michael Waltrip
Las Vegas,FS1,Adam Alexander,Phillip Parsons,Michael Waltrip
Talladega,FOX,Adam Alexander,Phillip Parsons,Michael Waltrip
Martinsville,FS1,Adam Alexander,Phillip Parsons,Michael Waltrip
Texas,FS1,Adam Alexander,Phil Parsons,Michael Waltrip
Phoenix,FS1,Adam Alexander,Phil Parsons,Michael Waltrip
Homestead,FS1,Adam Alexander,Phillip Parsons,Michael Waltrip
