col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
Men's team,X,X,X,X,X,X,X,gymnastics at the 2002 Asian Games - men's artistic team,X,X,gymnastics at the 2014 Asian Games - men's artistic team,X,X,13
Men's individual all-around,X,X,X,X,X,X,X,gymnastics at the 2002 Asian Games - men's artistic individual all-around,X,X,X,X,X,13
Men's floor,X,X,X,X,X,X,X,X,X,X,gymnastics at the 2014 Asian Games - men's floor,X,X,13
Men's pommel horse,X,X,X,X,X,X,X,gymnastics at the 2002 Asian Games - men's pommel horse,gymnastics at the 2006 Asian Games - men's pommel horse,X,X,X,X,13
Men's rings,X,X,X,X,X,X,X,gymnastics at the 2002 Asian Games - men's rings,X,X,X,gymnastics at the 2018 Asian Games - men's rings,X,13
Men's vault,X,X,X,X,X,X,X,X,gymnastics at the 2006 Asian Games - men's vault,X,gymnastics at the 2014 Asian Games - men's vault,gymnastics at the 2018 Asian Games - men's vault,X,13
Men's parallel bars,X,X,X,X,X,X,X,X,X,gymnastics at the 2010 Asian Games - men's parallel bars,X,gymnastics at the 2018 Asian Games - men's parallel bars,X,13
Men's horizontal bar,X,X,X,X,X,X,X,gymnastics at the 2002 Asian Games - men's horizontal bar,X,X,X,X,X,13
Women's team,X,X,X,X,X,X,X,gymnastics at the 2002 Asian Games - women's artistic team,X,X,X,X,X,13
Women's individual all-around,X,X,X,X,X,X,X,X,gymnastics at the 2006 Asian Games - women's artistic individual all-around,gymnastics at the 2010 Asian Games - women's artistic individual all-around,X,gymnastics at the 2018 Asian Games - women's artistic individual all-around,X,13
Women's vault,X,X,X,X,X,X,X,gymnastics at the 2002 Asian Games - women's vault,X,gymnastics at the 2010 Asian Games - women's vault,X,gymnastics at the 2018 Asian Games - women's vault,X,13
Women's uneven bars,X,X,X,X,X,X,X,gymnastics at the 2002 Asian Games - women's uneven bars,gymnastics at the 2006 Asian Games - women's uneven bars,X,gymnastics at the 2014 Asian Games - women's uneven bars,X,X,13
Women's balance beam,X,X,X,X,X,X,X,X,gymnastics at the 2006 Asian Games - women's balance beam,X,gymnastics at the 2014 Asian Games - women's balance beam,gymnastics at the 2018 Asian Games - women's balance beam,X,12
Women's floor,X,X,X,X,X,X,X,X,X,X,X,X,X,12
Total,14,14,14,14,14,14,14,14,14,14,14,14,14,
