col0,col1
Philippe Rizzo,"Sydney, Australia"
Ivan Ivankov,Minskas
Denis Savenkov,Gomelis
Mosiah Rodrigues,"Porto Alegre, Brazil"
Filip Yanev,"Sofia, Bulgaria"
Yordan Yovchev,"Plovdiv, Bulgaria"
Grant Golding,"Maple Ridge, British Columbia"
Ken Ikeda,"Kamloops, British Columbia"
Alexander Jeltkov,"Tbilisi, Georgia"
David Kikuchi,"Truro, Nova Scotia"
Kyle Shewfelt,"Calgary, Alberta"
Adam Wong,"Calgary, Alberta"
Huang Xu,"Nantong, China"
Li Xiaopeng,"Changsha, China"
Teng Haibin,"Beijing, China"
Xiao Qin,"Nanjing, China"
Xing Aowei,"Yantai, China"
Yang Wei,"Xiantao, China"
Jorge Hugo Giraldo,"Medellín, Colombia"
Erick López,"Havana, Cuba"
Pierre-Yves Bény,"Lille, France"
Benoît Caranobe,"Vitry-sur-Seine, France"
Yann Cucherat,"Lyon, France"
Dimitri Karbanenko,"Kaliningrad, Russia"
Florent Marée,"Saint-Louis, Réunion"
Johan Mounard,"Lyon, France"
Ilia Giorgadze,"Kutaisi, Georgia"
Thomas Andergassen,"Lindau, Germany"
Matthias Fahrig,"Wittenberg, Germany"
Fabian Hambüchen,"Bergisch Gladbach, Germany"
Robert Juckel,"Cottbus, Germany"
Sven Kwiatkowski,"Freiberg, Germany"
Sergej Pfeifer,"Dushanbe, Tajikistan"
Vlasios Maras,"Athens, Greece"
Dimosthenis Tampakos,"Thessaloniki, Greece"
Róbert Gál,"Budapest, Hungary"
Rúnar Alexandersson,"Smolensk, Russia"
Pavel Gofman,"Luhansk, Ukraine"
Matteo Angioletti,"Monza, Italy"
Alberto Busnari,"Melzo, Italy"
Igor Cassina,"Seregno, Italy"
Jury Chechi,"Prato, Italy"
Matteo Morandi,"Vimercate, Italy"
Enrico Pozzo,"Biella, Italy"
Takehiro Kashima,"Osaka, Japan"
Hisashi Mizutori,"Shizuoka, Japan"
Daisuke Nakano,"Niigata, Japan"
Hiroyuki Tomita,"Osaka, Japan"
Naoya Tsukahara,"Nagasaki, Japan"
Isao Yoneda,"Tokyo, Japan"
Yernar Yerimbetov,"Almaty, Kazakhstan"
Jevgēņijs Saproņenko,"Riga, Latvia"
Igors Vihrovs,"Riga, Latvia"
Ng Shu Wai,"Taiping, Malaysia"
Kim Hyon-il,"Sosong, North Korea"
Filipe Bezugo,"Funchal, Portugal"
Luis Vargas,"Río Piedras, Puerto Rico"
Marian Drăgulescu,"Bucharest, Romania"
Ilie Daniel Popescu,"Reșița, Romania"
Dan Potra,"Timișoara, Romania"
Răzvan Șelariu,"Reșița, Romania"
Ioan Silviu Suciu,"Sibiu, Romania"
Marius Urzică,"Toplița, Romania"
Aleksei Bondarenko,"Kostanay, Kazakhstan"
Maksim Devyatovskiy,"Leninsk-Kuznetsky, Russia"
Anton Golotsutskov,"Seversk, Russia"
Georgy Grebenkov,"St. Petersburg, Russia"
Aleksei Nemov,"Barashevo, Russia"
Aleksandr Safoshkin,"Rostov-on-Don, Russia"
Jo Seong-min,"Jeollabuk, South Korea"
Kim Dae-eun,"Seoul, South Korea"
Kim Seung-il,"Gwangju, South Korea"
Lee Seon-seong,"Gyeonggi, South Korea"
Yang Tae-young,"Seoul, South Korea"
Alejandro Barrenechea,"Bilbao, Spain"
Víctor Cano,"Barcelona, Spain"
Jesús Carballo,"Madrid, Spain"
Oriol Combarros,"Barcelona, Spain"
Gervasio Deferr,"Barcelona, Spain"
Rafael Martínez,"Móstoles, Spain"
Christoph Schärer,"Oberdiessbach, Switzerland"
Andreas Schweizer,"Wetzikon, Switzerland"
Wajdi Bouallègue,"Tunis, Tunisia"
Yevhen Bohonosyuk,"Kyiv, Ukraine"
Valeriy Honcharov,"Kharkiv, Ukraine"
Vadym Kuvakin,"Kherson, Ukraine"
Ruslan Mezentsev,"Kropyvnytskyi, Ukraine"
Andriy Mykhailychenko,"St. Petersburg, Russia"
Roman Zozulya,"Zaporizhzhia, Ukraine"
Jason Gatson,"Mesa, Arizona"
Morgan Hamm,"Ashland, Wisconsin"
Paul Hamm,"Ashland, Wisconsin"
Brett McClure,"Yakima, Washington"
Blaine Wilson,"Columbus, Ohio"
Guard Young,"State College, Pennsylvania"
