col0,col1,col2,col3
2010,Christian Charles Phillip Bale,Richard Dicky Eklund Jr.,The Fighter
2010,Andrew Garfield,Eduardo Saverin,The Social Network
2010,Jeremy Renner,James Jem Coughlin,Town
2010,Sam Rockwell,Kenny Waters,Conviction
2010,Mark Ruffalo,Paul Hatfield,The Kids Are All Right
2010,Geoffrey Rush,Lionel Logue,The King's Speech
2011,Christopher Plummer,Hal Fields,Beginners
2011,Kenneth Branagh,Laurence Olivier,My Week with Marilyn
2011,Albert Brooks,Bernie Rose,Drive
2011,Nick Nolte,Paddy Conlon,Warrior
2011,Patton Oswalt,Matt Freehauf,Young Adult
2011,Andy Serkis,Caesar,Rise of the Planet of the Apes
2012,Philip Seymour Hoffman,Lancaster Dodd,The Master
2012,Alan Arkin,Lester Siegel,Argo
2012,Javier Bardem,Raoul Silva,Skyfall
2012,Robert De Niro,"Patrizio Pat Solitano, Sr.",Silver Linings Playbook
2012,Tommy Lee Jones,Thaddeus Stevens,Lincoln
2012,Matthew McConaughey,Dallas,Magic Mike
2013,Jared Leto,Rayon,Dallas Buyers Club
2013,Barkhad Abdi,Abduwali Muse,Captain Phillips
2013,Daniel Brühl,Niki Lauda,Rush
2013,Bradley Cooper,FBI Agent Richard Richie DiMaso,American Hustle
2013,Michael Fassbender,Edwin Epps,12 Years a Slave
2013,James Gandolfini,Albert,Enough Said
2014,J. K. Simmons,Terence Fletcher,Whiplash
2014,Josh Brolin,Lt. Det. Christian F. Bigfoot Bjornsen,Inherent Vice
2014,Robert Duvall,Judge Joseph Palmer,The Judge
2014,Ethan Hawke,Mason Evans Sr.,Boyhood
2014,Edward Norton,Mike Shiner,Birdman
2014,Mark Ruffalo,Dave Schultz,Foxcatcher
2015,Sylvester Stallone,Rocky Balboa,Creed
2015,Paul Dano,Brian Wilson,Love & Mercy
2015,Tom Hardy,John Fitzgerald,The Revenant
2015,Mark Ruffalo,Michael Rezendes,Spotlight
2015,Mark Rylance,Rudolf Abel,Bridge of Spies
2015,Michael Shannon,Rick Carver,99 Homes
2016,Mahershala Ali,Juan,Moonlight
2016,Jeff Bridges,Marcus Hamilton,Hell or High Water
2016,Ben Foster,Tanner Howard,Hell or High Water
2016,Lucas Hedges,Patrick Chandler,Manchester by the Sea
2016,Dev Patel,Saroo Brierley,Lion
2016,Michael Shannon,Detective Bobby Andes,Nocturnal Animals
2017,Sam Rockwell,Officer Jason Dixon,"Three Billboards Outside Ebbing, Missouri"
2017,Armie Hammer,Oliver,Call Me by Your Name
2017,Michael Stuhlbarg,Mr. Perlman,Call Me by Your Name
2017,Willem Dafoe,Bobby Hicks,The Florida Project
2017,Richard Jenkins,Giles,The Shape of Water
2017,Patrick Stewart,Professor Charles Xavier,Logan
2018,Mahershala Ali,Don Shirley,Green Book
2018,Timothée Chalamet,Nic Sheff,Beautiful Boy
2018,Adam Driver,Flip Zimmerman,BlacKkKlansman
2018,Sam Elliott,Bobby Maine,A Star Is Born
2018,Richard E. Grant,Jack Hock,Can You Ever Forgive Me?
2018,Michael B. Jordan,N'Jadaka / Erik Killmonger Stevens,Black Panther
2019,Brad Pitt,Cliff Booth,Once Upon a Time in Hollywood
2019,Al Pacino,Jimmy Hoffa,The Irishman
2019,Joe Pesci,Russell Bufalino,The Irishman
2019,Willem Dafoe,Thomas Wake,The Lighthouse
2019,Tom Hanks,Fred Rogers,A Beautiful Day in the Neighborhood
2019,Anthony Hopkins,Pope Benedict XVI,The Two Popes
