col0,col1,col2,col3
2010,Natalie Portman,Black Swan,Nina Sayers
2010,Annette Carol Bening,The Kids Are All Right,Dr. Nicole Nic Allgood
2010,Nicole Mary Kidman,Rabbit Hole,Becca Corbett
2010,Kim Hye-ja,Mother,Mother
2010,Jennifer Lawrence,Winter's Bone,Ree Dolly
2011,Tilda Swinton,We Need to Talk About Kevin,Eva Khatchadourian
2011,Kirsten Dunst,Melancholia,Justine
2011,Elizabeth Olsen,Martha Marcy May Marlene,Martha
2011,Meryl Streep,The Iron Lady,Margaret Thatcher
2011,Michelle Williams,My Week with Marilyn,Marilyn Monroe
2012,Jessica Chastain,Zero Dark Thirty,Maya
2012,Jennifer Lawrence,Silver Linings Playbook,Tiffany Maxwell
2012,Emmanuelle Riva,Amour,Anne Laurent
2012,Quvenzhané Wallis,Beasts of the Southern Wild,Hushpuppy
2012,Rachel Weisz,The Deep Blue Sea,Hester Collyer
2013,Cate Blanchett,Blue Jasmine,Jeanette Jasmine Francis
2013,Amy Adams,American Hustle,Sydney Prosser / Lady Edith Greensly
2013,Julie Delpy,Before Midnight,Céline Wallace
2013,Adèle Exarchopoulos,Blue Is the Warmest Colour,Adèle
2013,Brie Larson,Short Term 12,Grace
2014,Rosamund Pike,Gone Girl,Amy Elliott-Dunne
2014,Marion Cotillard,"Two Days, One Night",Sandra Bya
2014,Essie Davis,The Babadook,Amelia
2014,Anne Dorval,Mommy,Diane Després
2014,Julianne Moore,Still Alice,Dr. Alice Howland
2015,Cate Blanchett,Carol,Carol Aird
2015,Brie Larson,Room,Joy Ma Newsome
2015,Charlotte Rampling,45 Years,Kate Mercer
2015,Saoirse Ronan,Brooklyn,Eilis Lacey
2015,Charlize Theron,Mad Max: Fury Road,Imperator Furiosa
2016,Natalie Portman,Jackie,Jackie Kennedy
2016,Amy Adams,Arrival,Dr. Louise Banks
2016,Isabelle Huppert,Elle,Michèle Leblanc
2016,Ruth Negga,Loving,Mildred Loving
2016,Emma Stone,La La Land,Mia Dolan
2017,Sally Hawkins,The Shape of Water,Elisa Esposito
2017,Frances McDormand,"Three Billboards Outside Ebbing, Missouri",Mildred Hayes
2017,Cynthia Nixon,A Quiet Passion,Emily Dickinson
2017,Margot Robbie,"I, Tonya",Tonya Harding
2017,Saoirse Ronan,Lady Bird,Christine Lady Bird McPherson
2018,Toni Collette,Hereditary,Annie Graham
2018,Yalitza Aparicio,Roma,Cleodegaria Cleo Gutiérrez
2018,Olivia Colman,The Favourite,"Anne, Queen of Great Britain"
2018,Regina Hall,Support the Girls,Lisa Conroy
2018,Lady Gaga,A Star is Born,Ally Maine
2019,Lupita Nyong'o,Us,Adelaide Wilson / Red
2019,Awkwafina,The Farewell,Billi Wang
2019,Scarlett Johansson,Marriage Story,Nicole Barber
2019,Florence Pugh,Midsommar,Dani Ardor
2019,Renée Zellweger,Judy,Judy Garland
