col0,col1,col2,col3,col4
Year,Venue,Gold,Silver,Bronze
1983,Utrecht,Aaltje Grietje Boorsma,Yvonne Maria Therese van Gennip,Thea Limbach
1984,Eindhoven,Yvonne Maria Therese van Gennip,Els Meijer,Alie Boorsma
1985,Utrecht,Yvonne van Gennip,Alie Boorsma,Els Meijer
1986,Utrecht,Petra Moolhuizen,Yvonne van Gennip,Marieke Stam
1987,Deventer,Christine Aaftink,Els Meijer,Boukje Keulen
1988,Alkmaar,Christine Aaftink,Ingrid Haringa,Mariska Hekkers
1989,Heerenveen,Christine Aaftink,Anita Loorbach,Anja Bollaart
1990,Assen,Christine Aaftink,Marion van Zuilen,Anita Loorbach
1991,Assen,Marieke Stam,Christine Aaftink,Herma Meijer
1992,Heerenveen,Christine Aaftink,Anita Loorbach,Marieke Stam
1993,Utrecht (city),Christine Aaftink,Herma Meijer,Marieke Stam
1994,The Hague,Christine Aaftink,Sandra Zwolle,Leontine van Meggelen
1995,Alkmaar,Annamarie Thomas,Sandra Zwolle,Christine Aaftink
1996,Assen,Annamarie Thomas,Christine Aaftink,Andrea Nuyt
1997,Groningen,Marianne Timmer,Annamarie Thomas,Sandra Zwolle
1998,Groningen,Marianne Timmer,Annamarie Thomas,Andrea Nuyt
1999,Groningen,Marianne Timmer,Andrea Nuyt,Tonny de Jong
2000,Utrecht (city),Andrea Nuyt,Marianne Timmer,Marieke Wijsman
2001,Heerenveen,Marianne Timmer,Andrea Nuyt,Frouke Oonk
2002,Groningen,Andrea Nuyt,Annamarie Thomas,Marieke Wijsman
2003,Groningen,Marianne Timmer,Marieke Wijsman,Frouke Oonk
2004,Utrecht,Marianne Timmer,Andrea Nuyt,Annamarie Thomas
2005,Groningen,Marianne Timmer,Frouke Oonk,Annette Gerritsen
2006,Assen,Marianne Timmer,Sanne van der Star,Annette Gerritsen
2007,Groningen,Marianne Timmer,Annette Gerritsen,Margot Boer
2008,Heerenveen,Marianne Timmer,Ireen Wüst,Margot Boer
2009,Groningen,Margot Boer,Natasja Bruintjes,Laurine van Riessen
2010,Groningen,Annette Gerritsen,Margot Boer,Laurine van Riessen
2011,Heerenveen,Margot Boer,Annette Gerritsen,Laurine van Riessen
2012,Heerenveen,Margot Boer,Thijsje Oenema,Marrit Leenstra
2013,Groningen,Marrit Leenstra,Margot Boer,Laurine van Riessen
2014,Amsterdam,Margot Boer,Lotte van Beek,Thijsje Oenema
2015,Groningen,Thijsje Oenema,Laurine van Riessen,Margot Boer
2016,Heerenveen,Sanneke de Neeling,Marrit Leenstra,Margot Boer
2017,Heerenveen,Ireen Wüst,Anice Das,Sanneke de Neeling
2018,Heerenveen,Letitia de Jong,Anice Das,Sanneke de Neeling
2019,Heerenveen,Jutta Leerdam,Letitia de Jong,Sanneke de Neeling
2020,Heerenveen,Letitia de Jong,Jorien ter Mors,Femke Kok
2021,Heerenveen,Jutta Leerdam,Femke Kok,Suzanne Schulting
2022,Heerenveen,Michelle de Jong,Marrit Fledderus,Helga Drost
2023,Heerenveen,Jutta Leerdam,Femke Kok,Marrit Fledderus
