col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
2005,Eurofarma RC,Chevrolet Astra,INT,Autodromo Internacional de Curitiba,Autodromo Internacional Nelson Piquet,INT,CTB,LON,BSB,Autodromo Internacional de Santa Cruz do Sul,TAR,ARG,RIO,INT,5th,79
2006,Petrobras-Action Power,Volkswagen Bora,INT,Autodromo Internacional de Curitiba,Autodromo Internacional de Campo Grande,INT,Autodromo Internacional Ayrton Senna,CTB,SCZ,Autodromo Internacional Nelson Piquet,TAR,ARG,RIO,INT,25th,18
2007,Cimed Racing,Bora,INT,Autodromo Internacional de Curitiba,CGD,INT,Autodromo Internacional Ayrton Senna,SCZ,Autodromo Internacional de Curitiba,BSB,ARG,TAR,RIO,INT,17th,45
2008,Sky Racing,Peugeot 307,INT,BSB,CTB,SCZ,Autódromo Internacional de Campo Grande,INT,RIO,LON,CTB,BSB,TAR,INT,12th,52
2009,Boettger Competições,Chevrolet Vectra,INT,CTB,Autodromo de Brasilia,Autodromo Internacional de Santa Cruz do Sul,INT,SAL,Autodromo Internacional Nelson Piquet,CGD,CTB,Autodromo de Brasilia,TAR,INT,5th,257
2010,Itaipava Racing Team,Peugeot 307,INT,CTB,VEL,RIO,Ribeirao Preto,SAL,INT,Autódromo Internacional de Campo Grande,LON,SCZ,Autodromo de Brasilia,Autodromo Internacional de Curitiba,18th,41
2011,Itaipava Racing Team,Peugeot 408,Autodromo Internacional de Curitiba,INT,Ribeirao Preto,VEL,Autodromo Internacional Orlando Moura,Autodromo Internacional Nelson Piquet,INT,SAL,SCZ,LON,BSB,VEL,9th,226
2012,Itaipava Racing Team,Peugeot 408,INT,Autodromo Internacional de Curitiba,VEL,Ribeirao Preto,Autodromo Internacional Ayrton Senna,RIO,SAL,Autodromo Internacional de Campo Grande,TAR,Autodromo Internacional de Curitiba,Autodromo Internacional Nelson Piquet,INT,11th,117
2013,Boettger Competições,Peugeot 408,INT,CUR,TAR,SAL,Autodromo Internacional Nelson Piquet,Autodromo Internacional de Cascavel,RBP,Autodromo Internacional de Cascavel,VEL,CUR,BRA,INT,12th,94
2014,Vogel Motorsport,Chevrolet Sonic,INT   1,Autodromo Internacional de Santa Cruz do Sul,SCZ   2,BRA   1,BRA   2,GOI   1,GOI   2,GOI   1,CAS   1,CAS   2,CUR   1,Autodromo Internacional de Curitiba,19th,85
2015,RZ Motorsport,Chevrolet Sonic,GOI   1,Ribeirao Preto,Ribeirao Preto,VEL   1,VEL   2,CUR   1,CUR   2,Autodromo Internacional de Santa Cruz do Sul,SCZ   2,Autodromo Internacional de Curitiba,CUR   2,GOI   1,19th,93
2016,RZ Motorsport,Chevrolet Cruze,Autodromo Internacional de Curitiba,VEL   1,VEL   2,Autodromo Internacional Ayrton Senna,GOI   2,Autodromo Internacional de Santa Cruz do Sul,SCZ   2,TAR   1,TAR   2,CAS   1,Autodromo Internacional de Cascavel,INT   1,33rd,11
2018,Full Time Bassani,Chevrolet Cruze,INT   1,CUR   1,CUR   2,VEL   1,VEL   2,LON   1,Autodromo Internacional Ayrton Senna,SCZ   1,SCZ   2,Autodromo Internacional Ayrton Senna,Autódromo Internacional de Campo Grande,Autodromo Internacional de Campo Grande,NC,0
