col0,col1,col2
Australia,Melbourne/Geelong,Avalon Airport
New Holland,"Perth, Australia",Perth Airport
Cambodia,Phnom Penh,PNH
Timor-Leste,Dili,Presidente Nicolau Lobato International Airport
Indonesia,Ambon,Pattimura Airport
Indonesia,Atambua,Haliwen Airport
Indonesia,Bajawa,Turelelo Soa Airport
Indonesia,Balikpapan,Sultan Aji Muhammad Sulaiman International Airport
Indonesia,Banda Aceh,Sultan Iskandar Muda International Airport
Indonesia,Bandar Lampung,Radin Inten II Airport
Indonesia,Bandung,Husein Sastranegara Airport
Indonesia,Bandung,Kertajati International Airport
Indonesia,Banjarmasin,Syamsudin Noor Airport
Indonesia,Banyuwangi,Banyuwangi Airport
Indonesia,Batam,Hang Nadim International Airport
Indonesia,Bau Bau,Betoambari Airport
Indonesia,Bima,Sultan Muhammad Salahudin Airport
Indonesia,Bengkulu,Fatmawati Soekarno Airport
Indonesia,Berau,Kalimarau Airport
Indonesia,Cepu,Ngloram Airport
Indonesia,Denpasar,Ngurah Rai International Airport
Indonesia,Ende,H. Hasan Aroeboesman Airport
Indonesia,Gorontalo,Jalaluddin Airport
Indonesia,Gunungsitoli,Binaka Airport
Indonesia,Jakarta,Halim Perdanakusuma International Airport
Indonesia,Jakarta,Soekarno-Hatta International Airport
Indonesia,Jambi,Sultan Thaha Syaifuddin Airport
Indonesia,Jayapura,Sentani International Airport
Indonesia,Kediri,Dhoho  Airport
Indonesia,Kendari,Haluoleo Airport
Indonesia,Ketapang,Rahadi Osman Airport
Indonesia,Kolaka,Sangia Nibandera Airport
Indonesia,Kupang,El Tari Airport
Indonesia,Labuan Bajo,Komodo International Airport
Indonesia,Larantuka,Gewayantana Airport
Indonesia,Lhokseumawe,Malikus Saleh Airport
Indonesia,Makassar,Sultan Hasanuddin International Airport
Indonesia,Manado,Sam Ratulangi International Airport
Indonesia,Mataram,Lombok International Airport
Indonesia,Malang,Abdul Rachman Saleh Airport
Indonesia,Mamuju,Tampa Padang Airport
Indonesia,Maumere,Frans Seda Airport
Indonesia,Medan,Kualanamu International Airport
Indonesia,Padang,Minangkabau International Airport
Indonesia,Padang Sidempuan,Aek Godang Airport
Indonesia,Palangkaraya,Tjilik Riwut Airport
Indonesia,Palembang,Sultan Mahmud Badaruddin II Airport
Indonesia,Palopo,Palopo Lagaligo Airport
Indonesia,Palu,Mutiara SIS Al-Jufrie Airport
Indonesia,Pangkalan Bun,Iskandar Airport
Indonesia,Pangkal Pinang,Depati Amir Airport
Indonesia,Pekanbaru,Sultan Syarif Kasim II International Airport
Indonesia,Pontianak,Supadio Airport
Indonesia,Purbalingga,General Sudirman Airport
Indonesia,Putussibau,Pangsuma Airport
Indonesia,Samarinda,Aji Pangeran Tumenggung Pranoto Airport
Indonesia,Sampit,H. Asan Airport
Indonesia,Semarang,Jenderal Ahmad Yani Airport
Indonesia,Sibolga,Ferdinand Lumban Tobing Airport
Indonesia,Siborong-Borong,Sisingamangaraja XII Airport
Indonesia,Sorong,Domine Eduard Osok Airport
Indonesia,Sumenep,Trunojoyo Airport
Indonesia,Solo,Adisumarmo Airport
Indonesia,Surabaya,Juanda International Airport
Indonesia,Tambolaka,Lede Kalumbang Airport
Indonesia,Tanjung Pandan,H.A.S. Hanandjoeddin Airport
Indonesia,Tanjung Pinang,Raja Haji Fisabilillah Airport
Indonesia,Tana Toraja,Pongtiku Airport
Indonesia,Tarakan,Juwata Airport
Indonesia,Ternate,Sultan Babullah Airport
Indonesia,Timika,Mozes Kilangin Airport
Indonesia,Waingapu,Mau Hau Airport
Indonesia,Yogyakarta,Adisutjipto Airport
Indonesia,Yogyakarta,Yogyakarta International Airport
Malaysia,Kuala Lumpur,Kuala Lumpur International Airport
Malaysia,Penang,Penang International Airport
Papua New Guinea,Port Moresby,Port Moresby International Airport
Saudi Arabia,Jeddah,King Abdulaziz International Airport
Singapore,Singapore,Changi Airport
Vietnam,Da Nang,Da Nang International Airport
