col0,col1,col2,col3
People's Democratic Republic of Algeria,"34,730,000","35,470,000",97.9
Angola,"40,000","19,080,000",<1.0
Benin,"2,110,000","8,850,000",23.8
Botswana,"<10,000","2,010,000",<1.0
Burkina Faso,"10,150,000","16,470,000",61.6
Burundi,"230,000","8,380,000",2.8
Cameroon,"9,475,628","30,966,105",30.6
Cape Verde,"<10,000","500,000",<1.0
Central African Republic,"370,000","4,400,000",8.5
Chad,"6,210,000","11,230,000",55.3
Comoros,"720,000","730,000",98.3
Congo,"50,000","4,040,000",1.2
Democratic Republic of the Congo,"970,000","65,970,000",1.5
Djibouti,"860,000","890,000",96.9
Egypt,"76,990,000","81,120,000",94.9
Equatorial Guinea,"30,000","700,000",4.0
Eritrea,"1,920,000","5,250,000",36.6
Ethiopia,"28,680,000","82,950,000",34.6
Gabon,"170,000","1,510,000",11.2
Gambia,"1,640,000","1,730,000",95.1
Ghana,"3,860,000","24,390,000",15.8
Guinea,"8,430,000","9,980,000",84.4
Guinea-Bissau,"680,000","1,520,000",45.1
Ivory Coast,"7,390,000","19,740,000",42.5
Kenya,"3,920,000","40,510,000",9.7
Morocco,"32,460,000","32,460,000",99.0
Lesotho,"<10,000","2,170,000",<1.0
Liberia,"480,000","3,990,000",12.0
Libya,"6,140,000","6,360,000",96.6
Madagascar,"620,000","20,710,000",3.0
Malawi,"1,930,000","14,900,000",13.0
Mali,"14,510,000","15,370,000",94.4
Mauritania,"3,430,000","3,460,000",99.0
Mauritius,"220,000","1,300,000",17.3
Mayotte,"200,000","200,000",98.6
Mozambique,"4,200,000","23,390,000",18.0
Namibia,"<10,000","2,280,000",<1.0
Niger,"15,270,000","15,510,000",98.4
Nigeria,"80,300,000","158,420,000",50.8
Reunion,"40,000","850,000",4.2
Rwanda,"190,000","10,620,000",1.8
St. Helena,"<10,000","<10,000",<1.0
Sao Tome and Principe,"<10,000","170,000",<1.0
Senegal,"11,980,000","12,430,000",96.4
Seychelles,"<10,000","90,000",1.1
Sierra Leone,"4,580,000","5,870,000",78.0
Somalia,"9,310,000","9,330,000",98.0
South Africa,"860,000","50,130,000",1.7
South Sudan,"2,316,000","11,580,000",20
Sudan,"45,480,000","46,880,000",97
Swaziland,"<10,000","1,190,000",<1.0
Tanzania,"15,770,000","44,840,000",35.2
Togo,"840,000","6,030,000",14.0
Tunisia,"10,430,000","10,480,000",99.0
Uganda,"3,840,000","33,420,000",11.5
Zambia,"70,000","13,090,000",<1.0
Zimbabwe,"110,000","12,570,000",<1.0
