col0,col1,col2,col3
19 August 2015,City of Riverside,the United States of America,Riverside Municipal Auditorium
21 August 2015,Vegas,US of America,House of Blues
22 August 2015,Los Angeles,United States,Shrine Auditorium
24 August 2015,San Francisco,United States,Warfield Theatre
27 August 2015,Salt Lake City,United States,The Complex
28 August 2015,Denver,the U.S. of A,National Western Complex (Riot Fest)
1 September 2015,Austin,United States,Emo's
2 September 2015,San Antonio,United States,Aztec Theatre
4 September 2015,Dallas,United States,The Bomb Factory
5 September 2015,Houston,the USA,House of Blues
8 September 2015,St. Louis,United States,The Pageant
9 September 2015,Indianapolis,United States,Murat Theatre
11 September 2015,Chicago,United States,Douglass Park (Riot Fest)
12 September 2015,Detroit,the United States of America,The Fillmore Detroit
15 September 2015,Willlington,the U.S. of America,Toyota Oakdale Theatre
16 September 2015,Wantagh,United States,Jones Beach Theater
18 September 2015,Montreal,Canada,L'Olympia
19 September 2015,Toronto,Canada,Downsview Park (Riot Fest)
22 September 2015,Upper Darby,United States,Tower Theater
23 September 2015,Charlotte,United States,The Fillmore
25 September 2015,Orlando,United States,House of Blues
26 September 2015,Pompano Beach,United States,Pompano Beach Amphitheater
Motörboat,Motörboat,Motörboat,Motörboat
30 September 2015,Norwegian Sky,Norwegian Sky,Norwegian Sky
1 October 2015,Norwegian Sky,Norwegian Sky,Norwegian Sky
Leg 2 - Europe,Leg 2 - Europe,Leg 2 - Europe,Leg 2 - Europe
17 November 2015,Düsseldorf,Germany,Mitsubishi Electric Halle
18 November 2015,Saarbrücken,Germany,Saarlandhalle
20 November 2015,Munich,Germany,Zenith
21 November 2015,Munich,Germany,Zenith
24 November 2015,Frankfurt,Germany,Jahrhunderthalle
25 November 2015,Ludwigsburg,Germany,MHP Arena
26 November 2015,Berlin,Germany,Max-Schmeling-Halle
28 November 2015,Hamburg,Germany,Alsterdorfer Sporthalle
30 November 2015,Aarhus,Denmark,ACC
1 December 2015,Gothenburg,Sweden,Scandinavium
3 December 2015,Oslo,Norway,Oslo Spektrum
4 December 2015,Stockholm,Sweden,Hovet
6 December 2015,Helsinki,Finland,Hartwall Arena
9 December 2015,Hamburg,Germany,Alsterdorfer Sporthalle
11 December 2015,Berlin,Germany,Max-Schmeling-Halle
Leg 3 - Europe,Leg 3 - Europe,Leg 3 - Europe,Leg 3 - Europe
23 January 2016,Newcastle,England,Newcastle City Hall
24 January 2016,Glasgow,Scotland,SEC Armadillo
26 January 2016,Manchester,England,O 2  Apollo Manchester
27 January 2016,Swindon,England,Oasis Leisure Centre
29 January 2016,London,England,Eventim Apollo
30 January 2016,London,England,Eventim Apollo
1 February 2016,Lille,France,Zénith de Lille
2 February 2016,Paris,France,Zénith Paris
4 February 2016,Barcelona,Spain,Sant Jordi Club
6 February 2016,Madrid,Spain,Barclaycard Center
8 February 2016,Geneva,Switzerland,Geneva Arena
9 February 2016,Basel,Switzerland,St. Jakobshalle
11 February 2016,Milan,Italy,Alcatraz
14 February 2016,Vienna,Austria,Wiener Stadthalle
15 February 2016,Linz,Austria,TipsArena
17 February 2016,Bratislava,Slovakia,Aegon Arena
18 February 2016,Prague,Czech Republic,Forum Karlín
20 February 2016,Bolzano,Italy,Trento
22 February 2016,Chemnitz,Germany,Chemnitz Arena
23 February 2016,Offenbach am Main,Germany,Stadthalle Offenbach
