col0,col1,col2
Democratic Republic of Timor-Leste,City of Dili,Presidente Nicolau Lobato International Airport
China,Guangzhou,CAN
Indonesia,Ambon,Pattimura Airport
Indonesia,Alor,WATM
Republic of Indonesia,Atambua,Haliwen Airport
Indonesia,Bajawa,Turelelo Soa Airport
Indonesia,Balikpapan,Sultan Aji Muhammad Sulaiman Sepinggan International Airport
INA,Bandar Lampung,Radin Inten II Airport
id,Bandung,Husein Sastranegara Airport
Indonesia,Banjarmasin,Syamsudin Noor International Airport
Indonesia,Bau Bau,Betoambari Airport
Indonesia,Berau,Kalimarau Airport
IDN,Bima,Sultan Muhammad Salahudin Airport
IDN,Denpasar,Ngurah Rai International Airport
INA,Ende,H. Hasan Aroeboesman Airport
Indonesia,Jakarta,Soekarno-Hatta International Airport
id,Kendari,Haluoleo Airport
Indonesia,Kupang,El Tari Airport
Indonesia,Kolaka,Sangia Nibandera Airport
Indonesia,Kotabaru,Gusti Syamsir Alam Airport
id,Labuan Bajo,Komodo Airport
Indonesia,Larantuka,Gewayantana Airport
Indonesia,Lewoleba,Wonopito Airport
Indonesia,Lombok,Lombok International Airport
Indonesia,Luwuk,Syukuran Aminuddin Amir Airport
Indonesia,Makassar,Sultan Hasanuddin International Airport
Indonesia,Mamuju,Tampa Padang Airport
Indonesia,Manado,Sam Ratulangi International Airport
Indonesia,Maumere,Frans Seda Airport
Indonesia,Morowali,Maleo Airport
Indonesia,Palangkaraya,Tjilik Riwut Airport
Indonesia,Palopo,Palopo Lagaligo Airport
Indonesia,Palu,Mutiara SIS Al-Jufrie Airport
Republic of Indonesia,Ruteng,Frans Sales Lega Airport
IDN,Selayar,H. Aroeppala Airport
Indonesia,Semarang,Ahmad Yani International Airport
Indonesia,Sorong,Domine Eduard Osok Airport
Indonesia,Sumbawa Besar,Sultan Muhammad Kaharuddin III Airport
Indonesia,Tambolaka,Tambolaka Airport
Indonesia,Tana Toraja,Pongtiku Airport
INA,Tarakan,Juwata Airport
Republic of Indonesia,Timika,Mozes Kilangin Airport
Indonesia,Toli Toli,Sultan Bantilan Airport
IDN,Waingapu,Mau Hau Airport
IDN,Yogyakarta,Adisutjipto Airport
Indonesia,Yogyakarta,Yogyakarta International Airport
Malaysia,Johor Bahru,Senai International Airport
Malaysia,Kuala Lumpur,Kuala Lumpur International Airport
Malaysia,Kuala Lumpur,Sultan Abdul Aziz Shah Airport
Singapore,Singapore,Changi Airport
