col0,col1,col2,col3
2010,The King's Speech,Tom Hooper,"Iain Canning, Emile Sherman, Gareth Unwin"
2010,Another Year,Mike Leigh,Georgina Lowe
2010,Casino Jack,George Hickenlooper,"Gary Howsam, Bill Marks, George Zakk"
2010,City Island,Raymond De Felitta,"Raymond De Felitta, Andy Garcia, Lauren Versel, Zachary Matz"
2010,The Company Men,John Wells,"John Wells, Paula Weinstein, Claire Rudnick Polstein"
2010,Get Low,Aaron Schneider,"Dean Zanuck, David Gundlach"
2010,The Kids Are All Right,Lisa Cholodenko,"Gary Gilbert, Jeffrey Levy-Hinte, Celine Rattray, Jordan Horowitz, Daniela Taplin Lundberg, Philippe Hellman, Joel Newton"
2010,Letters to Juliet,Gary Winick,"Caroline Kaplan, Ellen Barkin, Mark Canton"
2010,Red,Robert Schwentke,"Lorenzo di Bonaventura, Mark Vahradian"
2010,Secretariat,Randall Wallace,"Mark Ciardi, Gordon Gray"
2011,The Descendants,Alexander Payne,"Jim Burke, Alexander Payne, Jim Taylor"
2011,The Artist,Michel Hazanavicius,Thomas Langmann
2011,Extremely Loud and Incredibly Close,Stephen Daldry,Scott Rudin
2011,Midnight in Paris,Woody Allen,"Letty Aronson, Stephen Tenenbaum, Jaume Roures"
2011,War Horse,Steven Spielberg,"Steven Spielberg, Kathleen Kennedy"
2011,Win Win,Tom McCarthy,"Mary Jane Skalski, Michael London, Lisa Marie Falcone, Tom McCarthy"
2012,The Best Exotic Marigold Hotel,John Madden,"Graham Broadbent, Peter Czernin"
2012,Hitchcock,Sacha Gervasi,"Ivan Reitman, Tom Pollock, Joe Medjuck, Tom Thayer, Alan Barnette"
2012,Lincoln,Steven Spielberg,"Steven Spielberg, Kathleen Kennedy"
2012,Les Misérables,Tom Hooper,"Tim Bevan, Eric Fellner, Debra Hayward, Cameron Mackintosh"
2012,The Sessions,Ben Lewin,"Judi Levine, Stephen Nemeth, Ben Lewin"
2013,12 Years a Slave,Steve McQueen,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Bill Pohlad, Steve McQueen, Arnon Milchan, Anthony Katagas"
2013,All Is Lost,J.C. Chandor,"Justin Nappi, Teddy Schwarzman, Neal Dodson, Anna Gerb"
2013,Captain Phillips,Paul Greengrass,"Scott Rudin, Dana Brunetti, Michael De Luca"
2013,Nebraska,Alexander Payne,"Albert Berger, Ron Yerxa"
2013,Philomena,Stephen Frears,"Gabrielle Tana, Steve Coogan, Tracey Seaward"
2013,Saving Mr. Banks,John Lee Hancock,"Alison Owen, Ian Collie, Philip Steuer"
2014,The Theory of Everything,James Marsh,"Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten"
2014,Birdman or (The Unexpected Virtue of Ignorance),Alejandro González Iñárritu,"Alejandro González Iñárritu, John Lesher, Arnon Milchan, James W. Skotchdopole"
2014,Boyhood,Richard Linklater,"Richard Linklater, Cathleen Sutherland, Jonathan Sehring, John Sloss"
2014,The Imitation Game,Morten Tyldum,"Nora Grossman, Ido Ostrowsky, Teddy Schwarzman"
2014,Love Is Strange,Ira Sachs,"Lucas Joaquin, Lars Knudsen, Ira Sachs, Jayne Baron Sherman, Jay Van Hoy"
2015,Spotlight,Tom McCarthy,"Blye Pagon Faust, Steve Golin, Nicole Rocklin, Michael Sugar"
2015,Brooklyn,John Crowley,"Amanda Posey, Finola Dwyer"
2015,Joy,David O. Russell,"John Davis, Megan Ellison, Jonathan Gordon"
2015,Love & Mercy,Bill Pohlad,"Bill Pohlad, Claire Rudnick Polstein, John Wells"
2015,The Martian,Ridley Scott,"Simon Kinberg, Ridley Scott, Michael Schaefer, Mark Huffam"
2016,Loving,Jeff Nichols,"Ged Doherty, Colin Firth, Nancy Buirski, Sarah Green (film producer), Marc Turtletaub, Peter Saraf"
2016,La La Land,Damien Chazelle,"Fred Berger, Jordan Horowitz, Gary Gilbert, Marc Platt"
2016,Lion,Garth Davis,"Emile Sherman, Iain Canning, Angie Fielder"
2016,Manchester by the Sea,Kenneth Lonergan,"Matt Damon, Kimberly Steward, Chris Moore, Lauren Beck, Kevin J. Walsh"
2016,Silence,Martin Scorsese,"Barbara De Fina, Randall Emmett, Vittorio Cecchi Gori, Emma Tillinger Koskoff, Gastón Pavlovich, Martin Scorsese, Irwin Winkler"
2016,Sully,Clint Eastwood,"Clint Eastwood, Frank Marshall, Tim Moore, Allyn Stewart"
2017,Star Wars: The Last Jedi,Rian Johnson,"Kathleen Kennedy, Ram Bergman"
2017,Get Out,Jordan Peele,"Sean McKittrick, Jason Blum, Edward H. Hamm Jr., Jordan Peele"
2017,Lady Bird,Greta Gerwig,"Scott Rudin, Eli Bush, Evelyn O'Neill"
2017,The Shape of Water,Guillermo del Toro,"Guillermo del Toro, J. Miles Dale"
2017,"Three Billboards outside Ebbing, Missouri",Martin McDonagh,"Graham Broadbent, Peter Czernin, Martin McDonagh"
2018,Green Book,Peter Farrelly,"Jim Burke, Brian Hayes Curie, Peter Farrelly, Nick Vallelonga, Charles B. Wessler"
2018,BlacKkKlansman,Spike Lee,"Jason Blum, Spike Lee, Raymond Mansfield, Sean McKittrick, Jordan Peele, Shaun Redick"
2018,Can You Ever Forgive Me?,Marielle Heller,"Anne Carey, Amy Nauiokas, David Yarnell"
2018,Roma,Alfonso Cuaron,"Gabriela Rodríguez, Alfonso Cuaron, Nicolás Celis"
2018,A Star Is Born,Bradley Cooper,"Bill Gerber, Jon Peters, Bradley Cooper, Todd Phillips, Lynette Howell Taylor"
2019,The Irishman,Martin Scorsese,"Martin Scorsese, Robert De Niro, Jane Rosenthal, Emma Tillinger Koskoff, Irwin Winkler, Gerard Chamales, Gastón Pavlovich, Randall Emmett, Gabriele Israilovici"
2019,A Beautiful Day in the Neighborhood,Marielle Heller,"Youree Henley, Peter Saraf, Marc Turtletaub, Leah Holzer"
2019,Bombshell,Jay Roach,"Aaron L. Gilbert, Jay Roach, Robert Graf, Michelle Graham, Charles Randolph, Margaret Riley, Charlize Theron, A.J. Dix, Beth Kono"
2019,The Farewell,Lulu Wang,"Daniele Melia, Marc Turtletaub, Peter Saraf, Andrew Miano, Chris Weitz, Jane Zheng, Lulu Wang, Anita Gou"
2019,Little Women,Greta Gerwig,"Amy Pascal, Denise Di Novi, Robin Swicord"
2019,Marriage Story,Noah Baumbach,"David Heyman, Noah Baumbach"
2019,Once Upon a Time in Hollywood,Quentin Tarantino,"David Heyman, Shannon McIntosh, Quentin Tarantino"
2019,The Two Popes,Fernando Meirelles,"Dan Lin, Jonathan Eirich, Tracey Seaward"
