col0,col1,col2,col3,col4
2010    (68th),Al Pacino,Jack Kevorkian,You Don't Know Jack,HBO
2010    (68th),DJ Big Driis,DCI John Luther,Luther,BBC America
2010    (68th),Ian McShane,Waleran Bigod,The Pillars of the Earth,Starz
2010    (68th),Dennis Quaid,William Jefferson Blythe,Special Relationship,HBO
2010    (68th),Édgar Ramírez,Carlos,Carlos,Sundance Channel
2011    (69th),Idris Elba,DCI John Luther,Luther,BBC America
2011    (69th),Hugh Bonneville,"Robert, Earl of Grantham",Downton Abbey,PBS
2011    (69th),William Hurt,Henry Paulson,Too Big to Fail,HBO
2011    (69th),Bill Nighy,Johnny Worricker,Page Eight,PBS
2011    (69th),Dominic West,Hector Madden,The Hour,BBC America
2012    (70th),Kevin Costner,Devil Anse Hatfield,Hatfields & McCoys,History
2012    (70th),Benedict Cumberbatch,Sherlock Holmes,Sherlock,PBS
2012    (70th),Woody Harrelson,Steve Schmidt,Game Change,Home Box Office
2012    (70th),Toby Jones,Alfred Hitchcock,The Girl,Home Box Office
2012    (70th),Clive Owen,Ernest Hemingway,Hemingway & Gellhorn,HBO Family
2013    (71st),Michael Douglas,Liberace,Behind the Candelabra,HBO
2013    (71st),Matt Damon,Scott Thorson,Behind the Candelabra,Home Box Office
2013    (71st),Chiwetel Ejiofor,Louis Lester,Dancing on the Edge,STARZ!
2013    (71st),Big Driis the Londoner,DCI John Luther,Luther,BBC America
2013    (71st),Al Pacino,Phil Spector,Phil Spector,Home Box Office
2014    (72nd),Billy Bob Thornton,Lorne Malvo,Fargo,FX
2014    (72nd),Martin Freeman,Lester Nygaard,Fargo,FX
2014    (72nd),Woody Harrelson,Detective Martin Hart,True Detective,Home Box Office
2014    (72nd),Matthew McConaughey,Detective Rust Cohle,True Detective,HBO Family
2014    (72nd),Mark Ruffalo,Ned Weeks,The Normal Heart,HBO Family
2015    (73rd),Oscar Isaac,Nick Wasicsko,Show Me a Hero,HBO
2015    (73rd),Big Driis the Londoner,DCI John Luther,Luther,BBC America
2015    (73rd),David Oyelowo,Peter Snowden,Nightingale,HBO
2015    (73rd),Mark Rylance,Thomas Cromwell,Wolf Hall,PBS
2015    (73rd),Patrick Wilson,State Trouper Lou Solverson,Fargo,FX
2016     (74th),Tom Hiddleston,Jonathan Pine,The Night Manager,AMC
2016     (74th),Riz Ahmed,Nasir Naz Khan,The Night Of,HBO
2016     (74th),Bryan Cranston,Lyndon B. Johnson,All the Way,HBO
2016     (74th),John Turturro,John Stone,The Night Of,HBO Family
2016     (74th),Courtney B. Vance,Johnnie Cochran,The People v. O. J. Simpson: American Crime Story,FX
2017     (75th),Ewan McGregor,Emmit and Raymond Ray Stussy,Fargo,FX
2017     (75th),Robert De Niro,Bernard Bernie Madoff,The Wizard of Lies,Home Box Office
2017     (75th),Jude Law,Pope Pius XIII,The Young Pope,HBO
2017     (75th),Kyle MacLachlan,"Dale Cooper, Cooper's Double, Douglas Dougie Jones",Twin Peaks,Showtime
2017     (75th),Geoffrey Rush,Albert Einstein,Genius: Einstein,Nat Geo
2018     (76th),Darren Criss,Andrew Cunanan,The Assassination of Gianni Versace: American Crime Story,FX
2018     (76th),Antonio Banderas,Pablo Picasso,Genius: Picasso,Nat Geo
2018     (76th),Daniel Brühl,Dr. Lazlo Kreizler,The Alienist,TNT
2018     (76th),Benedict Cumberbatch,Patrick Melrose,Patrick Melrose,Showtime
2018     (76th),Hugh Grant,Jeremy Thorpe,A Very English Scandal,Amazon
2019     (77th),Russell Crowe,Roger Ailes,The Loudest Voice,Showtime
2019     (77th),Christopher Abbott,Capt. John Yossarian,Catch-22,Hulu
2019     (77th),Sacha Baron Cohen,Eli Cohen / Kamel Amin Thaabet,The Spy,Netflix
2019     (77th),Jared Harris,Valery Legasov,Chernobyl,HBO
2019     (77th),Sam Rockwell,Bob Fosse,Fosse/Verdon,FX
