col0,col1
Afrikaans,"Namibia, South Africa"
Albanian language,Republika e Shqipërisë
Amharic,Ethiopia
Arabic,"Algeria, Bahrain, Egypt, Iraq, Kuwait, Lebanon, Mauritania, Morocco, Oman, Palestinian Authority, Qatar, Saudi Arabia, Sudan, Tunisia, United Arab Emirates, Western Sahara, Yemen"
Armenian,Armenia
Azeri,Azerbaijan
Belarusian,Belarus
Bengali,Bangladesh
Bislama,Vanuatu
Bosnian,Bosnia and Herzegovina
Bulgarian,Bulgaria
Burmese,Burma
Cantonese,"Hong Kong, Macau"
Chinese (Traditional),Taiwan
Catalan,"Andorra, Catalonia, Balearic Islands, Valencia"
Chavacano,Zamboanga
Chichewa,Malawi
Cook Islands Māori,Cook Islands
Croatian,Croatia
Czech,Czech Republic
Danish,Denmark
Divehi,Maldives
Dutch,"Belgium, the Netherlands, Suriname"
Dzongkha,Bhutan
English,"Australia, Bahamas, Barbados, Belize, Canada, Dominica, The Gambia, Ghana, Grenada, Guyana, Jamaica, Liberia, Namibia, Nigeria, Saint Kitts and Nevis, Saint Lucia, Saint Vincent and the Grenadines, Sierra Leone, Solomon Islands, South Africa, Trinidad and Tobago, United Kingdom, United States, Zambia, Zimbabwe"
Esperanto,(Skolta Esperanto Ligo)
Estonian,Estonia
Faroese,Faroe Islands
Fijian,Fiji
Filipino,Philippines
Finnish,Finland
French,"Belgium, Benin, Burkina Faso, Burundi, Cameroon, Canada, Central African Republic, Chad, Democratic Republic of the Congo, Côte d'Ivoire, Republic of the Congo, Equatorial Guinea, France, Gabon, Guinea, Haiti, Madagascar, Mali, Mauritius, Monaco, Morocco, New Caledonia, Rwanda, Seychelles, Switzerland, Togo, Tunisia"
Georgian,Georgia
German,"Austria, Germany, Liechtenstein, Namibia, Switzerland"
Gilbertese,Kiribati
Greek,"Cyprus, Greece"
Hawaiian,Hawaii
Modern Hebrew,Israel
Hindi,India
Hungarian,Hungary
Icelandic,Iceland
Indonesian,Indonesia
Irish,Ireland
Italian,"Italy, San Marino, Switzerland"
Japanese,Japan
Kazakh,Kazakhstan
Kinyarwanda,Rwanda
Kirundi,Burundi
Korean,South Korea
Kyrgyz,Kyrgyzstan
Khmer,Cambodia
Lao,Laos
Latvian,Latvia
Lithuanian,Lithuania
Luxembourgish,Luxembourg
Macedonian,North Macedonia
Malagasy,Madagascar
Malay,"Brunei, Malaysia, Singapore"
Maltese,Malta
Mongolian,Mongolia
Montenegrin,Montenegro
Nepali,Nepal
Netsilik Inuit,Nunavut
Niuean,Niue
Norwegian,Norway
Papiamento,"Aruba, Netherlands Antilles"
Pashto,Afghanistan
Persian,Iran
Polish,Poland
Portuguese,"Angola, Brazil, Cape Verde, Guinea-Bissau, Mozambique, Portugal, São Tomé and Príncipe"
Romanian,"Moldova, Romania"
Romansh,Switzerland
Russian,Russia
Sakha,Yakutia
Samoan,"American Samoa, Samoa"
Serbian,Serbia
Sinhala,Sri Lanka
Slovakian,Slovakia
Slovene,Slovenia
Somali,"Djibouti, Somalia"
Sotho,Lesotho
Spanish,"Argentina, Bolivia, Chile, Colombia, Costa Rica*, Cuba, Dominican Republic, Ecuador, El Salvador, Equatorial Guinea*, Guatemala*, Honduras, Mexico, Nicaragua, Panama, Paraguay, Peru, Puerto Rico, Spain, Uruguay, Venezuela"
Sranan Tongo,Suriname
Swahili,"Comoros, Kenya, Tanzania, Uganda"
Swazi,Swaziland
Swedish,Sweden
Syriac,Assyria
Tagalog,Philippines
Tahitian,French Polynesia
Tamil,Sri Lanka
Tajik,Tajikistan
Thai,Thailand
Tibetan,Tibet (PRC)
Tok Pisin,Papua New Guinea
Tongan,Tonga
Tswana,Botswana
Turkish,Turkey
Turkmen,Turkmenistan
Tuvan,Tuva
Urdu,"India, Pakistan"
Ukrainian,Ukraine
Uyghur,Xinjiang (PRC)
Uzbek,Uzbekistan
Vietnamese,Vietnam
Zarma,Niger
