col0,col1,col2
Arhus,Denmark,Aarhus C
Amsterdam,The Netherlands,"Amsterdam-Centrum, Omval, Teleport, Zuidas"
Athens,Greece,"Andrea Syngrou Avenue, Athinon Avenue, Glyfada, Greek National Road 1, Hellenikon Metropolitan Park (Under Construction), Kifissias Avenue, Marousi, Omonoia,  Piraeus, Sofokleous Street, Syntagma"
Barcelona,Spain,"Diagonal Mar, Gran Via, 22@"
Belfast,United Kingdom,City Centre
Belgrade,Serbia,"Krunski Venac, Novi Beograd"
Berlin,Germany,"Charlottenburg-Wilmersdorf (Kurfürstendamm, Area around Bahnhof Zoo), Mitte (Alexanderplatz, Potsdamer Platz)"
Bern,Switzerland,Old City
Birmingham,United Kingdom,"City Centre, Colmore Row, Westside and Bull Ring"
Bologna,Italy,Fiera District
Bournemouth,United Kingdom,Town Centre
Bratislava,Slovakia,Bratislava Ružinov - Nivy
Brescia,Italy,Brescia Due
Bristol,United Kingdom,Bristol city centre
Brussels,Belgium,"Quartier Léopold, Quartier Nord, Zaventem"
Bucharest,Romania,Piaţa Victoriei and Floreasca Business Centre/Pipera Business Centre
Budapest,Hungary,"Leopoldtown-Inner City, Angel's Field"
Cardiff,United Kingdom,City Centre
Cologne,Germany,Innenstadt
Copenhagen,Denmark,Indre By
Cork,Ireland,City Centre
Dortmund,Germany,Downtown
Dresden,Germany,Old town
Dublin,Ireland,2/4 Districts and IFSC
Düsseldorf,Germany,Stadtmitte
Edinburgh,United Kingdom,"Edinburgh Park, George Street"
Essen,Germany,Südviertel
Frankfurt,Germany,Bankenviertel
Geneva,Switzerland,Cité-centre
Genoa,Italy,San Benigno
Ghent,Belgium,Sint-Denijs Western
Glasgow,United Kingdom,City Centre
The Hague,The Netherlands,Beatrixkwartier
Hamburg,Germany,Mitte
Helsinki,Finland,Helsinki City Centre
Iași,Romania,Civic Centre and Palas
Katowice,Poland,"Śródmieście, Katowice"
Kyiv,Ukraine,"Lypky, Pechersk"
Lille,France,Euralille
Lisbon,Portugal,Av da Liberdade and Parque das Nações
Liverpool,United Kingdom,City Centre
London,United Kingdom,"City of London, London Docklands and West End"
Lugano,Switzerland,Lugano Centro
Lyon,France,Part-Dieu
Luxembourg City,Luxembourg,Kirchberg
Madrid,Spain,"AZCA, CTBA, Gran Vía"
Malmö,Sweden,Centrum
Manchester,United Kingdom,Spinningfields and City Centre
Marseille,France,Euroméditerranée
Milan,Italy,"Porta Nuova District, CityLife, Zona 1, Zona 2"
Milton Keynes,United Kingdom,Central Milton Keynes
Moscow,Russia,"Moscow International Business Center, Presnya"
Monaco,Monaco,Monaco
Munich,Germany,"Altstadt-Lehel, Ludwigsvorstadt-Isarvorstadt, Maxvorstadt"
Nancy,France,Downtown Nancy
Nantes,France,Euronantes
Naples,Italy,Centro Direzionale
Nicosia,Cyprus,City Centre
Oslo,Norway,Sentrum
Paris,France,"La Défense, Val de Seine, Front de Seine"
Podgorica,Montenegro,Roman Square
Prague,Czech Republic,Pankrác Plain
Reykjavík,Iceland,"Borgartún (financial district), Miðborg (administrative and commercial district)"
Rome,Italy,"EUR, Monti, Castro Pretorio"
Rotterdam,The Netherlands,Rotterdam Centrum/Kop van Zuid
Saint Petersburg,Russia,Lakhta Center
Seville,Spain,Sevilla Tower
Sofia,Bulgaria,Business Park Sofia
Stockholm,Sweden,Stockholm City Centre
Strasbourg,France,
Stuttgart,Germany,"Stuttgart-Mitte, Stuttgart-Vaihingen (STEP) and Am Wallgraben) and Stuttgart-Fasanenhof (EnBW-City)"
Tallinn,Estonia,Maakri
Thessaloniki,Greece,City Centre
Tórshavn,Faroe Islands,Tinganes
Trondheim,Norway,Midtbyen
Turku,Finland,Turku City Centre
Vantaa,Finland,Aviapolis
Vienna,Austria,Innere Stadt and Donau City
Vilnius,Lithuania,Vilnius Central Business District
Warsaw,Poland,"Śródmieście, Warsaw, Wola"
Yekaterinburg,Russia,Yekaterinburg-City
Zagreb,Croatia,"Kanal, Zagreb, Trnje"
Zürich,Switzerland,"Altstadt, Zürich-West"
