col0,col1,col2,col3
Super Mario 64 DS,2004,Nintendo DS,Shigeru Miyamoto
2005,Yoshi Touch & Go,DS,Ten Ten
2005,Big Brain Academy,Nintendo DS,Hiroyuki Kimura
2005,Nintendogs,Nintendo DS,"Hideki Konno,   Shigeru Miyamoto"
2005,Mario Kart DS,Nintendo Developers' System,"Hideki Konno,   Shigeru Miyamoto"
2005,Animal Crossing: Wild World,Nintendo DS,"Katsuya Eguchi,   Takashi Tezuka"
2006,NSMB,Nintendo DS,"Hiroyuki Kimura,   Takashi Tezuka"
2006,The Legend of Zelda: Twilight Princess,GameCube   Wii,Miyamoto Shigeru
2006,Wii Sports,Wii,Katsuya Eguchi   Kiyoshi Mizuki
2006,Wii Play,Nintendo Wii,Eguchi Katsuya
2007,Big Brain Academy: Wii Degree,Wii,Hiroyuki Kimura
2007,The Legend of Zelda: Phantom Hourglass,Double Screen,"Eiji Aonuma,   Shigeru Miyamoto"
2007,Link's Crossbow Training,Wii,Eiji Onozuka
2008,Wii Fit,Wii,"Tadashi Sugiyama,   Shigeru Miyamoto,   Takao Sawano"
2008,MK Wii,Nintendo Wii,"Hideki Konno,   Shigeru Miyamoto"
2008,Wii Music,Wii,"Takashi Tezuka,   Katsuya Eguchi"
2008,Animal Crossing: Let's Go to the City!,Wii,Eguchi Katsuya
2008,New Play Control! Pikmin,Wii,Hiroyuki Kimura
2008,New Play Control! Pikmin 2,Nintendo Wii,Hiroyuki Kimura
2009,Wii Sports Resort,Wii,Eguchi Katsuya
2009,Wii Fit Plus,Wii,"Tadashi Sugiyama,   Shigeru Miyamoto"
2009,New Super Mario Bros. Wii,Wii,"Takashi Tezuka,   Hiroyuki Kimura,   Shigeru Miyamoto"
2009,The Legend of Zelda: Spirit Tracks,Nintendo DS,"Shigeru Miyamoto,   Eiji Aonuma"
2011,Nintendogs + Cats,N3DS,Hideki Konno
2011,Steel Diver,N3DS,Tadashi Sugiyama
2011,SM3DL,iQue 3DS,Yoshiaki Koizumi
2011,Mario Kart 7,3DS,Hideki Konno
2011,The Legend of Zelda: Skyward Sword,Wii,Eiji Onozuka
2012,NSMB 2,3DS,"Takashi Tezuka,   Hiroyuki Kimura,   Shigeru Miyamoto"
2012,New Leaf,3DS,Katsuya Eguchi
2012,New Super Mario Bros. U,WiiU,"Takashi Tezuka,   Hiroyuki Kimura,   Shigeru Miyamoto"
2012,Nintendo Land,Wii U,Katsuya Eguchi
2013,Pikmin 3,Nintendo WiiU,Hiroyuki Kimura
2013,The Legend of Zelda: The Wind Waker HD,Wii U,Eiji Aonuma
2013,Wii Fit Wii U,Nintendo Wii U,Tadashi Sugiyama
2013,The Legend of Zelda: A Link Between Worlds,3DS,Eiji Onozuka
2014,Steel Diver: Sub Wars,3DS,Tadashi Sugiyama
2015,Splatoon 1,Wii U,Hisashi Nogami
2015,Animal Crossing: Happy Home Designer,3DS,Hisashi Nogami
2015,Super Mario Maker,Wii U,"Takashi Tezuka,    Hiroyuki Kimura"
