col0,col1,col2
Forward,Canadiennes de Montreal,CWHL
Forward,Vanke Rays,CWHL
Forward,Minnesota Whitecaps,PHF
Forward,Toronto Furies,CWHL
Forward,Modo Hockey,SDHL
Forward,Brynäs IF,SDHL
Forward,Luleå HF,SDHL
Forward,KRS Vanke Rays,ZhHL
Forward,Toronto Six,PHF
Forward,Melbourne Ice,AWIHL
Forward,Perth Inferno,AWIHL
Forward,ECDC Memmingen,DFEL
Forward,ERC Ingolstadt,DFEL
Forward,Djurgårdens IF,SDHL
Forward,Minnesota,PWHPA
Forward,Linköping HC,SDHL
Forward,Minnesota Whitecaps,PHF
Defense,Canadiennes de Montreal,CWHL
Defense,Montreal,PWHPA
Defense,Montreal Force,PHF
Forward,Calgary Inferno,CWHL
Forward,Tornado Dmitrov,RWHL
Forward,Team Sonnet,PWHPA
Forward,Boston Pride,PHF
Defense,HV71,SDHL
Defense,Buffalo Beauts,PHF
Forward,Boston Pride,NWHL
Forward,Connecticut Whale,PHF
Forward,Kunlun Red Star,CWHL
Forward,Calgary Inferno,CWHL
Forward,Linköping HC,SDHL
Forward,Shenzhen KRS,ZhHL
Forward,Montreal Stars,CWHL
Forward,Calgary Inferno,CWHL
Forward,Minnesota Whitecaps,PHF
Forward,Montreal Stars,CWHL
Forward,Boston Blades,CWHL
Forward,Connecticut Whale,PHF
Forward,Canadiennes de Montreal,CWHL
Defense,Calgary Inferno,CWHL
Defense,Team Scotiabank,PWHPA
Defense,Markham Thunder,CWHL
Defense,Team Adidas,PWHPA
Forward,Connecticut Whale,PHF
Forward,HV71,SDHL
Forward,SDE Hockey,SDHL
Goaltender,Tornado Dmitrov,RWHL
Goaltender,Linköping HC,SDHL
Forward,Markham Thunder,CWHL
Forward,Toronto Six,PHF
Defense,Modo Hockey,SDHL
Defense,Linköping HC,SDHL
Defense,HV71,SDHL
Defense,Lugano Ladies Team,SWHL A
Defense,Minnesota Whitecaps,PHF
Forward,Boston Blades,CWHL
Forward,Connecticut Whale,NWHL
Forward,Brynäs IF,SDHL
Forward,Minnesota Whitecaps,WWHL
Forward,Canadiennes de Montreal,CWHL
Goaltender,Team Adidas,PWHPA
Forward,Minnesota Whitecaps,WWHL
Forward,Boston Blades,CWHL
Forward,Linköping HC,SDHL
Forward,Brynäs IF,SDHL
Defense,HV71,SDHL
Defense,Minnesota Whitecaps,PHF
Forward,Calgary Inferno,CWHL
Forward,Kunlun Red Star WIH,CWHL
Forward,KRS Vanke Rays,CWHL
Forward,KRS Vanke Rays,ZhHL
