col0,col1,col2
Village of Hancock,"Delaware County, New York",NY
Town of Hancock,Delaware County,NY
Town of Fremont,Sullivan County,NY
Town of Delaware,Sullivan County,New York (state)
Town of Cochecton,Sullivan County,NY
Town of Tusten,Sullivan County,NY
Town of Highland,Sullivan County,NY
Town of Lumberland,Sullivan County,US-NY
Town of Deerpark,Orange County,The Empire State
Port Jervis,Orange County,NY
Montague Township,Sussex County,NJ
Sandyston Township,Sussex County,NJ
Walpack Township,Sussex County,NJ
Hardwick Township,Warren County,NJ
Knowlton Township,Warren County,NJ
White Township,Warren County,NJ
Belvidere,Warren County,NJ
White Township,Warren County,NJ
Lopatcong Township,Warren County,NJ
Phillipsburg,Warren County,NJ
Pohatcong Township,Warren County,NJ
Holland Township,Hunterdon County,NJ
Milford,Hunterdon County,NJ
Alexandria Township,Hunterdon County,NJ
Frenchtown,Hunterdon County,NJ
Kingwood Township,Hunterdon County,NJ
Delaware Township,Hunterdon County,NJ
Stockton,Hunterdon County,NJ
Delaware Township,Hunterdon County,NJ
Lambertville,Hunterdon County,NJ
West Amwell Township,Hunterdon County,NJ
Hopewell Township,Mercer County,NJ
Ewing Township,Mercer County,NJ
Trenton,Mercer County,NJ
Hamilton Township,Mercer County,NJ
Bordentown Township,Burlington County,NJ
Fieldsboro,Burlington County,NJ
Bordentown Township,Burlington County,NJ
Mansfield Township,Burlington County,NJ
Florence Township,Burlington County,NJ
Burlington Township,Burlington County,NJ
Burlington,Burlington County,NJ
Burlington Township,Burlington County,NJ
Edgewater Park Township,Burlington County,NJ
Beverly,Burlington County,NJ
Delanco Township,Burlington County,NJ
Delran Township,Burlington County,NJ
Cinnaminson Township,Burlington County,NJ
Riverton,Burlington County,NJ
Palmyra,Burlington County,NJ
Pennsauken Township,Camden County,NJ
Camden,Camden County,NJ
Gloucester City,Camden County,NJ
Westville,Gloucester County,NJ
West Deptford Township,Gloucester County,NJ
National Park,Gloucester County,NJ
West Deptford Township,Gloucester County,NJ
Paulsboro,Gloucester County,NJ
Greenwich Township,Gloucester County,NJ
Logan Township,Gloucester County,NJ
Oldmans Township,Salem County,NJ
Carneys Point Township,Salem County,NJ
Penns Grove,Salem County,NJ
Carneys Point Township,Salem County,NJ
Pennsville Township,Salem County,NJ
Elsinboro Township,Salem County,NJ
Lower Alloways Creek Township,Salem County,NJ
Greenwich Township,Cumberland County,NJ
Fairfield Township,Cumberland County,NJ
Lawrence Township,Cumberland County,NJ
Downe Township,Cumberland County,NJ
Commercial Township,Cumberland County,NJ
Maurice River Township,Cumberland County,NJ
Dennis Township,Cape May County,NJ
Middle Township,Cape May County,NJ
Lower Township,Cape May County,NJ
Cape May Point,Cape May County,NJ
