col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
2003,Team Rosberg,AMG-Mercedes CLK-DTM,HOC,ADR,Nurburgring,LAU,NOR,DON,Nurburgring,A1R,ZAN,HOC,11th,4
2004,HWA Racelab,AMG-Mercedes C-Klasse 2004,HOC,EST,ADR,LAU,NOR,Municipality of Shanghai,NÜR,OSC,ZAN,BRN,2nd,57
2005,HWA Racelab,AMG-Mercedes C-Klasse 2005,HOC,LAU,SPA,BRN,OSC,NOR,The Ring,ZAN,LAU,IST,1st,84
2007,Persson Motorsport,AMG-Mercedes C-Klasse 2006,HOC,OSC,LAU,BRH,NOR,MUG,ZAN,NÜR,CAT,HOC,9th,20.5
2008,Persson Motorsport,AMG,HOC,OSC,MUG,LAU,NOR,ZAN,The Ring,BRH,CAT,BUG,9th,13
2009,HWA Team,Mercedes-AMG GmbH,HOC,LAU,NOR,ZAN,OSC,NÜR,BRH,CAT,DIJ,HOC,2nd,59
2010,HWA Team,AMG-Mercedes C-Klasse 2009,HOC,VAL,LAU,NOR,Green Hell,ZAN,BRH,OSC,HOC,ADR,2nd,67
2011,HWA Racelab,AMG-Mercedes C-Klasse 2009,HOC,ZAN,A1-Ring,LAU,NOR,NÜR,BRH,OSC,VAL,HOC,7th,25
2012,HWA Racelab,AMG-Mercedes C-Klasse Coupé,HOC,LAU,BRH,SPL,NOR,The Ring,ZAN,OSC,VAL,HOC,2nd,145
2013,HWA Team,AMG,HOC,BRH,SPL,LAU,NOR,MSC,NÜR,OSC,ZAN,HOC,6th,69
2014,HWA Racelab,DTM AMG Mercedes C-Coupé,HOC,OSC,HUN,NOR,MSC,SPL,NÜR,LAU,ZAN,HOC,22nd,5
2015,ART Grand Prix,DTM AMG Mercedes C-Coupé,HOC   1,HOC   2,LAU   1,LAU   2,NOR   1,NOR   2,ZAN   1,ZAN   2,Österreichring,A1-Ring,9th,89
2016,Mercedes-Benz DTM Team ART,Mercedes-AMG C63 DTM,HOC   1,HOC   2,SPL   1,SPL   2,LAU   1,LAU   2,NOR   1,NOR   2,ZAN   1,ZAN   2,11th,73
2017,HWA Racelab,Mercedes-AMG C63 DTM,HOC   1,HOC   2,LAU   1,LAU   2,HUN   1,HUN   2,NOR   1,NOR   2,MSC   1,MSC   2,10th,102
2018,Mercedes-AMG Motorsport Petronas,Mercedes-AMG C63 DTM,HOC   1,HOC   2,LAU   1,LAU   2,HUN   1,HUN   2,NOR   1,NOR   2,ZAN   1,ZAN   2,1st,255
