col0,col1,col2
喀喇昆仑山口,Karakoram Pass,5540m
图尔吉斯坦拉山口,Turkistan La Pass,
Windy Gap,Windy Gap,6111m
木斯塔山口,Mustagh Pass,5422m
Sarpo Laggo Pass,Sarpo Laggo Pass,6013m
West Muztagh pass,West Muztagh pass,
红其拉甫口岸,Khunjerab Pass,4693m
Parpik Pass,Parpik Pass,5467m
Mutsjliga Pass,Mutsjliga Pass,5314m
明铁盖达坂,Mintaka Pass,4709m
基里克达坂,Kilik Pass,4827m
瓦根基达坂,Wakhjir Pass,4837 m
Kara Jilga Pass,Kara Jilga Pass,5386m
麦曼约里达坂,Mihman Yoli Pass,4937m
托克满苏达坂,Tegermansu Pass,5427m
克克敖吊克达坂   别伊克山口   排依克山口,Beyik Pass,4742m
纳兹塔什山口   奈扎塔什山隘,Nezatash Pass,4476m
Agachak Pass,Agachak Pass,5127m
卡拉苏口岸   阔勒买口岸,Kulma Pass,4362m
Saritosh Pass,Saritosh Pass,4538m
Qaratokhterak Pass,Qaratokhterak Pass,4877m
Aromiti Pass,Aromiti Pass,4703m
Budabel Pass,Budabel Pass,4251m
Kiyaz-Ashu,Kiyaz-Ashu,4479m
乌孜别里山口,Uzbel-Pass,5540m
Qarazoq Pass,Qarazoq Pass,5217m
Uch-Bel Pass,Uch-Bel Pass,5127m
Togochar Pass,Togochar Pass,4361m
Karachaychaty Pass,Karachaychaty Pass,4284m
斯姆哈纳   伊尔克什坦口岸,Erkeshtam,3005m
Kashetek Pass,Kashetek Pass,3120m
Bezymyannyy Pass,Bezymyannyy Pass,3306m
Tupik Pass,Tupik Pass,3299m
Vorota Pass,Vorota Pass,3604m
Il'tyk Pass,Il'tyk Pass,3836m
Kara-Bel' Pass,Kara-Bel' Pass,3863m
Ityk Pass,Ityk Pass,4133m
Dungurama Pass,Dungurama Pass,4067m
Karachalsu Pass,Karachalsu Pass,4201m
Muzbel' Pass,Muzbel' Pass,4507m
Achiktash Pass,Achiktash Pass,4191m
Kyz-Dar Pass,Kyz-Dar Pass,4246m
Kurumdu Pass,Kurumdu Pass,4369m
Tart-Kul' Pass,Tart-Kul' Pass,3786m
Shuralu-Davan Pass,Shuralu-Davan Pass,3875m
Tata Pass,Tata Pass,4036m
Sulyuktur Pass,Sulyuktur Pass,4086m
Talgyy Pass,Talgyy Pass,3672m
Kalmak-Ashu Pass,Kalmak-Ashu Pass,3581m
Tuz-Ashu Pass,Tuz-Ashu Pass,3625m
Dzhetimashu Pass,Dzhetimashu Pass,3838m
苏约克山口,Borgun Pass,3945m
吐尔尕特山口,Torugart Pass,3752m
Uselek Pass,Uselek Pass,3638m
Chokolay Pass,Chokolay Pass,3841m
Saryiymek Pass,Saryiymek Pass,3820m
Ortosu Pass,Ortosu Pass,3903m
Terekty Pass,Terekty Pass,3908m
Kurpe-Bel' Pass,Kurpe-Bel' Pass,3667m
Buzaygyr Pass,Buzaygyr Pass,3783m
Khodzhent Pass,Khodzhent Pass,3955m
Yerteke Pass,Yerteke Pass,3780m
Tuyukkhodzhent Pass,Tuyukkhodzhent Pass,3780m
Kurumduk Pass,Kurumduk Pass,3822m
Karabel' Pervyy Pass,Karabel' Pervyy Pass,4091m
Karabel' Vtoroy Pass,Karabel' Vtoroy Pass,4083m
Aksaybel' Pass,Aksaybel' Pass,4186m
Tuyukbel' Pass,Tuyukbel' Pass,4091m
别迭里山口,Bedel Pass,4284m
Chonteren Pass,Chonteren Pass,5331m
Bysokiy Pass,Bysokiy Pass,5435m
阿拉山口市,Alashankou,291m
