col0,col1,col2
Oldham East and Saddleworth,Labour,2011 by-election
Weaver Vale,Labour,2017
Liverpool Wavertree,Labour,2019
Blackpool South,Independent,2019
Rossendale and Darwen,Conservative,2010
Altrincham and Sale West,Conservative,1997
Hyndburn,Conservative,"General election, 2019"
Congleton,Conservative,2010
Liverpool West Derby,Labour Party (Great Britain) -- Wales -- Records and correspondence,2019
Liverpool Walton,Labour,2017
Warrington South,Conservative,2019
Heywood and Middleton,Conservative,2019
West Lancashire,Labour Party (Great Britain) -- Wales -- Records and correspondence,2005
West Lancashire,Labour,2023 by-election
Bury North,Conservative,"General election, 2019"
City of Chester,Labour,2022 by-election
Bootle,Labour,2015
Wallasey,Labour,1992
Garston and Halewood,Labour,2010
Sefton Central,Labour,2010
Ribble Valley,Conservative,1992
Westmorland and Lonsdale,Liberal Democrats,2005
Barrow and Furness,Conservative,2019
South Ribble,Conservative,2019
Makerfield,Labour Party (UK),2010
Rochdale,Workers,2024 by-election
Bolton West,Conservative,2015
Stretford and Urmston,Labour,2010
Wirral West,Labour,2015
Leigh,Conservative,2019
Denton and Reddish,Labour,2005
Copeland,Conservative,2017 by-election
Burnley,Conservative,2019
Preston,Labour Co-op,2000 by-election
Blackburn,Labour,2015
Knowsley,Labour Party (Great Britain) -- Wales -- Records and correspondence,2010
Chorley,Speaker,1997
Penrith and The Border,Conservative,"United Kingdom general election, 2019"
Workington,Conservative,2019 UK general election
Liverpool Riverside,Labour,2019
Wythenshawe and Sale East,Labour,2014 by-election
Worsley and Eccles South,"Labor Party, UK",2010
Manchester Gorton,Labour Party (Great Britain) -- Wales -- Records and correspondence,2017
Rochdale,Labour Party (UK),2017
Bolton North East,Conservative,2019
Salford and Eccles,Labour,2015
Ellesmere Port and Neston,Labour,2015
City of Chester,"Labor Party, UK",2015
Blackpool North and Cleveleys,Conservative,2010
St Helens North,Independent,2015
Wirral South,Labour,2010
Oldham West and Royton,Labour Co-op,2015 by-election
Tatton,Conservative,2017
Fylde,Conservative,2010
Stockport,Labour Party (UK),2019 general election
Southport,Conservative,2017
Morecambe and Lunesdale,Conservative,2010
Crewe and Nantwich,Conservative,2019
Wigan,Labour,2010
Warrington North,"Labor Party, UK",2019
Manchester Central,Labour Co-op,2012 by-election
Bolton South East,Labour,2010
Ashton-under-Lyne,Labour,2015
Stalybridge and Hyde,Labour Co-op,2010
St Helens South and Whiston,Labour Party (Great Britain) -- Wales -- Records and correspondence,2015
Cheadle,Conservative,2015
Macclesfield,Conservative,2010
Lancaster and Fleetwood,Labour,2015
Manchester Withington,Labour,2015
Pendle,Conservative,2010
Carlisle,Conservative,2010
Blackley and Broughton,Labour,2010
Eddisbury,Conservative,2019
Halton,Labour,1997
Bury South,Labour,2019
Wyre and Preston North,Conservative,2010
Blackpool South,Labour,2024 by-election
Stretford and Urmston,Labour,2022 by-election
Birkenhead,Labour,"UK general election, 2019"
Hazel Grove,Independent,2015
