col0,col1,col2,col3
1996,Debbie Reynolds,Mother,Beatrice Henderson
1996,Loren Beykoll,The Mirror Has Two Faces,Hannah Morgan
1996,Goldie Hawn,Everyone Says I Love You,Steffi Dandridge
1996,Sarah Jessica Parker,The First Wives Club,Shelly Stewart
1996,Renée Zellweger,Jerry Maguire,Dorothy Boyd
1997,Joan Cusack,In & Out,Emily Montgomery
1997,Cameron Diaz,My Best Friend's Wedding,Kimberly Kimmy Wallace
1997,Linda Fiorentino,Men in Black,Dr. Laurel Weaver / Agent L
1997,Anne Heche,Wag the Dog,Winifred Ames
1997,Shirley Knight,As Good as It Gets,Beverly Connelly
1998,Joan Allen,Pleasantville,Betty Parker
1998,Kathy Bates,Primary Colors,Libby Holden
1998,Brenda Blethyn,Little Voice,Mari Hoff
1998,Julianne Moore,The Big Lebowski,Maude Lebowski
1998,Joan Plowright,Dance with Me,Bea Johnson
1999,Catherine Keener,Being John Malkovich,Maxine Lund
1999,Cameron Diaz,Being John Malkovich,Lotte Schwartz
1999,Cate Blanchett,An Ideal Husband,Lady Gertrude Chiltern
1999,Samantha Morton,Sweet and Lowdown,Hattie
1999,Antonia San Juan,All About My Mother,Agrado
1999,Tori Spelling,Trick,Katherine Lambert
2000,Kate Hudson,Almost Famous,Pennie Lane
2000,Holly Hunter,"O Brother, Where Art Thou?",Penny Wharvey-McGill
2000,Frances McDormand,Almost Famous,Elaine Miller
2000,Catherine O'Hara,Best in Show,Cookie Fleck
2000,Rebecca Pidgeon,State and Main,Ann
2000,Marisa Tomei,What Women Want,Lola
2001,Maggie Smith,Gosford Park,"Constance, Countess of Trentham"
2001,Anjelica Huston,The Royal Tenenbaums,Etheline Tenenbaum
2001,Gwyneth Paltrow,The Royal Tenenbaums,Margot Helen Tenenbaum
2001,Helen Mirren,Gosford Park,Mrs Wilson
2001,Emily Watson,Gosford Park,Elsie
2001,Miriam Shor,Hedwig and the Angry Inch,Yitzhak
2002,Tovah Feldshuh,Kissing Jessica Stein,Judy Stein
2002,Toni Collette,About a Boy,Fiona Brewer
2002,Lainie Kazan,My Big Fat Greek Wedding,Maria Portokalos
2002,Emily Mortimer,Lovely & Amazing,Elizabeth Marks
2002,Bebe Neuwirth,Tadpole,Dianne Lodder
2002,Meryl Streep,Adaptation.,Susan Orlean
2003,Patricia Clarkson,Pieces of April,Joy Burns
2003,Scarlett Johansson,Lost in Translation,Charlotte
2003,Shaheen Khan,Bend It Like Beckham,Mrs Sukhi Kaur Bhamra
2003,Catherine O'Hara,A Mighty Wind,Mickey Crabbe
2003,Emma Thompson,Love Actually,Karen
2003,Julie Walters,Calendar Girls,Annie Clarke
2004,Regina King,Ray,Margie Hendrix
2004,Lynn Collins,The Merchant of Venice,Portia
2004,Minnie Driver,The Phantom of the Opera,Carlotta Giudicelli
2004,Cloris Leachman,Spanglish,Evelyn Wright
2004,Virginia Madsen,Sideways,Maya Randall
2004,Sharon Warren,Ray,Aretha Robinson
2005,Rosario Dawson,Rent,Mimi Marquez
2005,America Ferrera,The Sisterhood of the Traveling Pants,Carmen Lowell
2005,Diane Keaton,The Family Stone,Sybil Stone
2005,Rachel McAdams,The Family Stone,Amy Stone
2005,Michelle Monaghan,Kiss Kiss Bang Bang,Harmony Faith Lane
2005,Yuen Qiu,Kung Fu Hustle,Landlady of Pig Sty Alley
