col0,col1,col2,col3
1,Adele,B,Top
2,Hello (Adele song),C,High
3,21 (Adele album),B,Top
4,30 (album),GA,High
5,25 (Adele album),C,Top
6,Make You Feel My Love,Start,Mid
7,Rolling in the Deep,C,High
8,Weekends with Adele,GA,Mid
9,Adele discography,List,Top
10,List of songs recorded by Adele,FL,Low
11,19 (Adele album),C,High
12,Skyfall (song),GA,High
13,Someone like You (Adele song),B,High
14,Adele in Munich,Start,Low
15,Set Fire to the Rain,B,High
16,Lovesong (The Cure song),Start,Low
17,Easy on Me,FA,Low
18,Chasing Pavements,Start,High
19,List of awards and nominations received by Adele,FL,Low
20,Live at the Royal Albert Hall (Adele album),C,Mid
21,When We Were Young (Adele song),GA,Low
22,Adele Live 2016,C,High
23,Rumour Has It (Adele song),C,Mid
24,All I Ask,GA,Low
25,Adele Live,C,High
26,Send My Love (To Your New Lover),C,Mid
27,I Drink Wine,FA,Low
28,Oh My God (Adele song),GA,Low
29,Adele One Night Only,GA,Low
30,Hometown Glory,Start,Mid
31,Million Years Ago (song),Stub,Low
32,Water Under the Bridge,FA,Mid
33,Turning Tables,GA,Mid
34,Love in the Dark (song),Start,Low
35,An Evening with Adele,Start,Mid
36,To Be Loved (Adele song),FA,Low
37,Can I Get It,FA,Low
38,Cold Shoulder (song),Start,Mid
39,Water and a Flame,Stub,Low
40,My Little Love,FA,Low
41,River Lea (song),Stub,Low
42,Many Shades of Black,Stub,Low
43,Adele Live in New York City,Start,Low
44,Adele at the BBC,Start,Low
45,ITunes Live from SoHo (Adele EP),NA,NA
46,ITunes Festival: London 2011 (Adele EP),Stub,Low
47,Can't Let Go (Adele song),NA,NA
48,One and Only (Adele song),NA,NA
49,Melt My Heart to Stone,NA,Low
50,Adele filmography,NA,Low
51,Lay Me Down (Adele song),NA,NA
52,Daydreamer (Adele song),NA,NA
53,My Same,NA,Low
54,I Miss You (Adele song),NA,NA
55,Remedy (Adele song),NA,Low
56,Love in the Dark (Adele Adkins song),NA,NA
57,Million Years Ago (Adele song),NA,NA
58,Sweetest Devotion,NA,NA
59,Sweetest Devotion (Adele song),NA,NA
60,Why Do You Love Me (Adele song),NA,NA
61,Easy on Me (Adele song),NA,NA
