col0,col1
appetizer,*imin
arrow type,*(w)Vn; *xanaat
ashes,*kip
ask,*daxa
at (place),*kal
"and, with",*soo
bandicoot variety,*kajaal
bat variety,*jVwVm
"be, stay",*p(iː); *(i)n
bird-of-paradise,*xoloom
bird variety,*aleem; *ilnem
blood,*xeim
blunt (of e.g. knife),*fiim
"break, dislocate (bone)",*doxo
burn / light fire,*xVl
casuarina tree,*dVtVp
chest (bone),*tVVb
cockroach,*tanoom
cold,*giil
collar bone,*kʷiŋ
crumbs,*bVVl
cucumber,*kimVd
"cut (hair), shave (hair)",*pida-
dirty (of water),*miim
do / make,*xV-
dog,*mVjaan
domestic pig,*kVŋ
"down, below",*daak
dry,*xV(V)x
"eagle, eagle variety",*boxVl
emphatic pronoun marker,*-xVp
enemy,*maxaw
enough,*kii
excrement,*Vl
eye,*kiin
fern,*abal
fish,*aniiŋ
frog variety,*siilsiil
fruit,*dVm
garden,*(i)laŋ
"greedy, selfish",*ilek
"headman, leader",*kVmoxVm
heart,*bVpVl
heavy,*iluum
hornbill,*xawel
house post,*(V)bVk
husk (of nut),*(w)VVm
"in, hole",*tem
itchy,*abaalabaal
kidney,*gV(V)l(V)(p)
knee,*katVVn
kookaburra,*k(V)lVx
light (weight),*fVVŋ
little finger,*xatxat
magic,*kusem
molar / tooth,*aga(k)
moon,*kajoop
mosquito,*gimgim
name,*win
nasal mucus,*iin
"neck, throat",*gʷel
needle,*sVl
nettle variety,*waan
nose,*(mu)duum
no!,*bV(V)s(V)
old,*pVsel
pancreas,*kʷVVn
part of floor,*dixim
penis,*eit
"point, tip",*puut
poor,*bVlVp
possum variety,*sopim
pregnant,*gVpVn
pronged bird arrow,*geim
pus,*isax
rain shower,*sox
roundworm,*kasen
salt (traded from Oksapmin),*eip
"same as, like",*tap
seedling / plant / container,*san
sharp,*atVl
fed up with,*gaal
sit with feet and legs together,*goptV(V)
small mammal,*nVVg
snake / snake variety,*inap
sorcery,*kimon
spark,*tVtup
squash,*sof(l)it; *sVko
story,*saŋ
sugarcane,*kʷeit
sun,*ataan
"sweet, tasty",*xabaal
taboo,*awem
temporary,*(ka)kuun
thin,*daŋ
tobacco,*suux
tongue,*fV(lV)ŋ
top / bottom of taro,*dVm
trap,*abil
"self, reflexive",*xol
urine,*imaan
vein,*mamel
vomit,*usaan
warm,*mVmVn
wasp,*VVm
white cockatoo,*nama
wild pig,*saamVVn
wind,*inim
yellow,*xop; *kitax
child,*mVVn
father.1POSS1,*at(umon)
father.3POSS,*VVlap
in-law.1POSS,*baad
man's sister,*bVVp
uncle.1POSS,*mV(V)m(ein)
younger brother,*VnVVŋ
husband and wife,*agam
mother and children,*Vbdil
