col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17
Year,Men,Women,Year,Men,Women,Year,Men,Women,Year,Men,Women,Year,Men,Women,Year,Men,Women
1965,First   champ.   around   1968,No   champ.,1975,Willamette,Kansas State University athletics,1985,West Point,"California State University, Fullerton athletics",1995,USMA-West Point THC,,2005,North Carolina,West Point,2015,USMA-West Point THC,USMA-West Point THC
1966,First   champ.   around   1968,No   champ.,1976,USMA-West Point THC,Kansas State,1986,USMA-West Point THC,,1996,West Point,West Point,2006,North Carolina,West Point,2016,USMA-West Point THC,USMA-West Point THC
1967,First   champ.   around   1968,No   champ.,1977,Air Force,,1987,West Point,Minnesota,1997,West Point,sru.edu,2007,USMA-West Point THC,West Point,2017,West Point,West Point
1968,First   champ.   around   1968,No   champ.,1978,Air Force,Buckeyes,1988,West Point,Air Force,1998,West Point,,2008,West Point,Cortland State (NY),2018,West Point,Penn State
1969,First   champ.   around   1968,No   champ.,1979,USMA-West Point THC,,1989,USMA-West Point THC,West Point,1999,USMA-West Point THC,USMA-West Point THC,2009,USMA-West Point THC,North Carolina,2019,USMA-West Point THC,USMA-West Point THC
1970,First   champ.   around   1968,No   champ.,1980,West Point,West Point,1990,West Point,West Point,2000,USMA-West Point THC,West Point,2010,USMA-West Point THC,North Carolina,2020,Cancelled due to COVID-19,Cancelled due to COVID-19
1971,First   champ.   around   1968,No   champ.,1981,USMA-West Point THC,,1991,West Point,West Point,2001,USMA-West Point THC,USMA-West Point THC,2011,USMA-West Point THC,North Carolina,2021,Cancelled due to COVID-19,Cancelled due to COVID-19
1972,Adelphi,No   champ.,1982,West Point,West Point,1992,West Point,Slippery Rock,2002,Air Force,USMA-West Point THC,2012,West Point,West Point,2022,West Point,West Point
1973,,No   champ.,1983,USC,,1993,West Point,,2003,West Point,West Point,2013,USMA-West Point THC,USMA-West Point THC,2023,USMA-West Point THC,West Point
1974,Willamette,No   champ.,1984,,,1994,,,2004,North Carolina,North Carolina,2014,West Point,USMA-West Point THC,2024,West Point,USMA-West Point THC
