col0,col1,col2
Province of Albay,1st,Nacionalista
Province of Albay,2nd,Progresista
Albay,3rd,Progresista
Ambos Camarines,1st,Nacionalista
Ambos Camarines,2nd,Nacionalista
Ambos Camarines,3rd,Nacionalista
Antique,Lone,Progresista
Bataan,Lone,Nationalist Party
Batangas,1st,Independent
Batangas,2nd,Nacionalista
Batangas,3rd,Nationalist Party
Bohol,1st,Nacionalista
Bohol,2nd,Nacionalista
Bohol,3rd,Nacionalista
Bulacan,1st,Nacionalista
Bulacan,2nd,Nacionalista
Cagayan,1st,Progresista
Cagayan,2nd,Progresista
Capiz,1st,Nationalist Party
Capiz,2nd,Nationalist Party
Capiz,3rd,Nacionalista
Cavite,Lone,Nacionalista
Cavite,Lone,Nationalist Party
Cebu,1st,Nationalist Party
Cebu,2nd,Nationalist Party
Cebu,3rd,Nacionalista
Cebu,4th,Nationalist Party
Cebu,5th,Nacionalista
Cebu,6th,Nacionalista
Cebu,7th,Nacionalista
Ilocos Norte,1st,Nacionalista
Ilocos Norte,2nd,Nationalist Party
Ilocos Sur,1st,Progresista
Ilocos Sur,2nd,Nacionalista
Ilocos Sur,3rd,Nacionalista
Iloilo,1st,Nacionalista
Iloilo,2nd,Nationalist Party
Iloilo,3rd,Progresista
Iloilo,4th,Nationalist Party
Iloilo,5th,Progresista
Isabela,Lone,Progresista
Isabela,Lone,Nacionalista
La Laguna,1st,Nacionalista
La Laguna,2nd,Nacionalista
La Union,1st,Nacionalista
La Union,2nd,Progresista
Leyte,1st,Nacionalista
Leyte,2nd,Nacionalista
Leyte,3rd,Nacionalista
Leyte,4th,Nationalist Party
Manila,1st,Nationalist Party
Manila,1st,Liga Popular
Manila,2nd,Nacionalista
Mindoro,Lone,Nacionalista
Misamis,1st,Independent
Misamis,2nd,Independent
Negros Occidental,1st,Nacionalista
Negros Occidental,2nd,Nacionalista
Negros Occidental,3rd,Progresista
Negros Oriental,1st,Progresista
Negros Oriental,2nd,Progresista
Nueva Ecija,Lone,Nationalist Party
Palawan,Lone,Progresista
Pampanga,1st,Nacionalista
Pampanga,2nd,Nacionalista
Pangasinan,1st,Independent
Pangasinan,2nd,Nationalist Party
Pangasinan,3rd,Nacionalista
Pangasinan,4th,Nacionalista
Pangasinan,5th,Independent
Rizal,1st,Nationalist Party
Rizal,2nd,Nacionalista
Samar,1st,Nationalist Party
Samar,2nd,Nationalist Party
Samar,3rd,Nationalist Party
Sorsogon,1st,Nacionalista
Sorsogon,2nd,Nacionalista
Surigao,Lone,Progresista
Tarlac,1st,Progresista
Tarlac,2nd,Progresista
Tayabas,1st,Nationalist Party
Tayabas,2nd,Nacionalista
Zambales,Lone,Nationalist Party
