col0,col1,col2,col3,col4,col5,col6,col7
2002-03,DUN,FTC,Győri ETO KC,FEH,,FTC,VÁC
2003-04,DUN,Győri ETO KC,FTC,VÁC,Alba Fehérvár KC,DUN,Vaci NKSE
2004-05,ETO,Dunaújvárosi NKS,FTC,Alba Fehérvár KC,DVSC,Győri ETO KC,VÁC
2005-06,Győri ETO KC,FTC,DUN,DVSC,Alba Fehérvár KC,ETO,FEH
2006-07,FTC,Győri ETO KC,DUN,FEH,DVSC,Győri ETO KC,
2007-08,ETO,DUN,FTC,Alba Fehérvár KC,DEB,Győri ETO KC,
2008-09,Győri ETO KC,FTC,DEB,BÉK,Alba Fehérvár KC,ETO,DEB
2009-10,ETO,DVSC,Vaci NKSE,BÉK,,ETO,FTC
2010-11,Győri ETO KC,DEB,FTC,VÁC,FEH,ETO,Alba Fehérvár KC
2011-12,Győri ETO KC,FTC,SIÓ,ÉRD,VES,ETO,Békéscsabai ENKSE
2012-13,Győri ETO KC,FTC,Érd HC,VÁC,FEH,ETO,Veszprem Barabas KC
2013-14,Győri ETO KC,FTC,ÉRD,Dunaújvárosi Kohasz Kezilabda Akademia,,ETO,Siofok KC
2014-15,FTC,ETO,Érd HC,DUN,Siofok KC,Győri ETO KC,Erdi VSE
2015-16,Győri ETO KC,FTC,ÉRD,DEB,DUN,Győri ETO KC,FEH
2016-17,ETO,FTC,Erdi VSE,DUN,Vaci NKSE,FTC,DEB
2017-18,ETO,FTC,ÉRD,DUN,SIÓ,Győri ETO KC,
2018-19,ETO,FTC,Siofok KC,Érd HC,VÁC,Győri ETO KC,
2019-20,Cancelled due to the COVID-19 pandemic.,Cancelled due to the COVID-19 pandemic.,Cancelled due to the COVID-19 pandemic.,Cancelled due to the COVID-19 pandemic.,Cancelled due to the COVID-19 pandemic.,Cancelled due to the COVID-19 pandemic.,Cancelled due to the COVID-19 pandemic.
2020-21,FTC,Győri ETO KC,DVSC,MOS,MTK,ETO,
2021-22,ETO,FTC,DEB,Vaci NKSE,MOS,FTC,
2022-23,Győri ETO KC,FTC,DEB,MOS,Vaci NKSE,FTC,
2023-24,In progress,In progress,In progress,In progress,In progress,In progress,In progress
