col0,col1,col2
ISBN 0-14-043316-3,An Autobiography,John Stuart Mill
ISBN 0-14-043090-3,Barnaby Rudge,Charles Dickens
ISBN 0-14-043231-0,The Comedies of William Congreve,William Congreve
ISBN 0-14-042277-3,The Complete Poems,Ben Jonson
ISBN 0-14-042267-6,The Complete Poems and Translations,Christopher Marlowe
ISBN 0-14-044547-1,The Confidence Man,Herman Melville
ISBN 0-14-044557-9,The Education of Henry Adams,Henry Adams
ISBN 0-14-043219-1,Five Plays,Thomas Middleton
ISBN 0-14-043133-0,The History of England,Lord Macaulay
ISBN 0-14-043443-7,Medieval English Lyrics 1200-1400,
ISBN 0-14-042038-X,The Metaphysical Poets,
ISBN 0-14-043370-8,New Atlantis,Francis Bacon
ISBN 0-14-043205-1,The Origin of Species,Charles Darwin
ISBN 0-14-044177-8,Revelations of Divine Love,Julian of Norwich
ISBN 0-14-044435-1,The Travels of Sir John Mandeville,John Mandeville
ISBN 0-14-043268-X,The Voyage of the Beagle,Charles Darwin
ISBN 0-14-043199-3,A Vindication of the Rights of Woman,Mary Wollstonecraft
ISBN 0-14-043311-2,The Professor,Charlotte Brontë
ISBN 0-14-043478-X,Wives and Daughters,Elizabeth Gaskell
ISBN 0-14-043163-2,The Old Wives' Tale,Arnold Bennett
ISBN 0-14-043145-4,The Woodlanders,Thomas Hardy
ISBN 0-14-043014-8,The Moonstone,Wilkie Collins
ISBN 0-14-043189-6,The Decline and Fall of The Roman Empire,Edward Gibbon
ISBN 0-14-196092-2,Piers Plowman,William Langland
ISBN 0-14-043070-9,Typee,Herman Melville
ISBN 0-14-143949-1,Gulliver's Travels,Jonathan Swift
ISBN 0-14-039065-0,The Virginian,Owen Wister
ISBN 0-14-193157-4,Evelina,Fanny Burney
ISBN 0-14-040028-1,On Liberty,John Stuart Mill
ISBN 0-14-039012-X,Narrative of the Life of Frederick Douglass,Frederick Douglass
ISBN 0-14-039046-4,The Adventures of Huckleberry Finn,Mark Twain
ISBN 0-14-043040-7,Pudd'nhead Wilson,Mark Twain
ISBN 0-14-039072-X,Virginia,Ellen Glasgow
ISBN 0-14-043464-X,Mary Barton,Elizabeth Gaskell
ISBN 0-14-043401-1,Kipnapped,Robert Louis Stevenson
ISBN 0-14-043117-9,Dr Jekyll and Mr Hyde and Other Stories,Robert Louis Stevenson
ISBN 0-14-043524-7,Two Novellas,Theodor Fontane
ISBN 0-14-043915-3,Story of My Life,Giacomo Casanova
ISBN 0-14-043584-0,Lady Audley's Secret,Mary Elizabeth Braddon
ISBN 0-14-043427-5,Daniel Deronda,George Eliot
ISBN 0-14-043386-4,The Lifted Veil/Brother Jacob,George Eliot
ISBN 0-14-043120-9,The Mill on the Floss,George Eliot
ISBN 0-14-043042-3,Hard Times,Charles Dickens
ISBN 0-14-043078-4,The Pickwick Papers,Charles Dickens
ISBN 0-14-043031-8,Martin Chuzzlewit,Charles Dickens
ISBN 0-14-043497-6,Our Mutual Friend,Charles Dickens
ISBN 0-14-043075-X,The Old Curiosity Shop,Charles Dickens
ISBN 0-14-043394-1,David Copperfield,Charles Dickens
ISBN 0-14-043215-9,Clarissa,Samuel Richardson
ISBN 0-14-043009-1,Tom Jones,Henry Fielding
ISBN 0-14-043386-4,Joseph Andrews/Shamela,Henry Fielding
ISBN 0-14-043404-6,Dr Wortle's School,Anthony Trollope
ISBN 0-14-043325-2,The Small House at Allington,Anthony Trollope
ISBN 0-14-043538-7,Jude the Obscure,Thomas Hardy
ISBN 0-14-043126-8,Far From the Madding Crowd,Thomas Hardy
ISBN 0-14-043223-X,The Portrait of a Lady,Henry James
ISBN 0-140-43235-3,The Golden Bowl,Henry James
ISBN 0-14-043297-3,The Awkward Age,Henry James
ISBN 0-14-043104-7,The Jolly Corner and Other Tales,Henry James
ISBN 0-14-043270-1,Critical Muse: Selected Literary Criticism,Henry James
ISBN 0-14-043254-X,The Princess Casamassima,Henry James
ISBN 0-14-143966-1,Sense and Sensibility,Jane Austen
ISBN 0-14-143951-3,Pride and Prejudice,Jane Austen
ISBN 0-14-143010-5,Emma,Jane Austen
ISBN 0-14-143005-9,Persuasion,Jane Austen
ISBN 0-14-043249-3,Fanny Hill,John Cleland
ISBN 0-14-043066-0,A Tour Through the Whole Island of Great Britain,Daniel Defoe
ISBN 0-14-043195-0,Leviathan,Thomas Hobbes
ISBN 0-14-043554-9,Rob Roy,Walter Scott
ISBN 0-14-043094-8,English Mystery Plays,
ISBN,Saint Joan,George Bernard Shaw
ISBN 0-14-049034-0,The Varieties of Religious Experience,William James
ISBN 0-14-043004-0,The Pilgrim's Progress,John Bunyan
ISBN 0-14-043035-0,Vanity Fair,William Makepeace Thackeray
ISBN 0-14-043021-0,Humphry Clinker,Tobias Smollett
ISBN 0-14-039052-9,The Autobiography and Other Writings,Benjamin Franklin
ISBN 0-14-039021-9,The Red Badge of Courage,Stephen Crane
ISBN 0-14-039059-6,"Winesburg, Ohio",Sherwood Anderson
ISBN,Edgar Huntly,Charles Brockden Brown
ISBN 0-14-043322-8,The Grandissimes,George Washington Cable
ISBN,The Complete English Poems,John Donne
ISBN 0-14-039040-5,The Octopus,Frank Norris
