col0,col1,col2,col3
Asia,Asia,Asia,Asia
16 November 2012,"Dubai, Emirate of Dubai",United Arab Emirates,Dubai World Trade Centre
18 November 2012,Delhi,India,Sunburn Arena
Europe,Europe,Europe,Europe
22 November 2012,Stockholm,Sweden,Friends Arena
23 November 2012,Stockholm,Sweden,Friends Arena
24 November 2012,Stockholm,Sweden,Friends Arena
26 November 2012,Copenhagen,Denmark,Forum Copenhagen
29 November 2012,Prague,Czech Republic,O 2  Arena
30 November 2012,Schladming,Austria,WM Park Planai
1 December 2012,Antwerp,Belgium,Sportpaleis
6 December 2012,Frankfurt,Germany,Festhalle Frankfurt
7 December 2012,Amsterdam,Netherlands,Ziggo Dome
8 December 2012,Paris,France,Palais Omnisports de Paris-Bercy
12 December 2012,Amsterdam,Netherlands,Ziggo Dome
13 December 2012,Amsterdam,Netherlands,Ziggo Dome
14 December 2012,Bucharest,Romania,Romexpo
15 December 2012,Moscow,Russia,Stadium Live
18 December 2012,Lisbon,Portugal,Pavilhão Atlântico
20 December 2012,Helsinki,Finland,Hartwall Areena
22 December 2012,Oslo,Norway,Telenor Arena
Asia,Asia,Asia,Asia
16 January 2013,Pasay,Philippines,Mall of Asia Arena
17 January 2013,Singapore,Singapore,Singapore Indoor Stadium
18 January 2013,Kuala Lumpur,Malaysia,Sunway Lagoon
19 January 2013,Jakarta,Indonesia,Ancol Eco Park
20 January 2013,Bangalore,India,Sunburn Arena
22 January 2013,Mumbai,India,Sunburn Arena
Africa,Africa,Africa,Africa
25 January 2013,Johannesburg,South Africa,Nasrec Centre
26 January 2013,Johannesburg,South Africa,Nasrec Centre
27 January 2013,Cape Town,South Africa,Ostrich Farm
Oceania,Oceania,Oceania,Oceania
30 January 2013,Melbourne,Australia,Sidney Myer Music Bowl
31 January 2013,Melbourne,Australia,Sidney Myer Music Bowl
1 February 2013,Melbourne,Australia,Sidney Myer Music Bowl
2 February 2013,Sydney,Australia,Sydney Showgrounds
Latin America,Latin America,Latin America,Latin America
8 February 2013,Guadalajara,Mexico,Foro Alterno
9 February 2013,Mexico City,Mexico,Foro Sol
North America,North America,North America,North America
13 February 2013,San Francisco,United States,Bill Graham Civic Auditorium
14 February 2013,San Francisco,United States,Bill Graham Civic Auditorium
15 February 2013,San Francisco,United States,Bill Graham Civic Auditorium
16 February 2013,San Francisco,United States,Bill Graham Civic Auditorium
17 February 2013,San Francisco,United States,Bill Graham Civic Auditorium
20 February 2013,Chicago,United States,United Center
22 February 2013,Toronto,Canada,Rogers Centre
23 February 2013,Toronto,Canada,Rogers Centre
27 February 2013,Montreal,Canada,Bell Centre
28 February 2013,New York City,United States,Hammerstein Ballroom
1 March 2013,New York City,United States,Madison Square Garden
2 March 2013,Brooklyn,United States,Barclays Center
3 March 2013,Brooklyn,United States,Barclays Center
4 March 2013,Brooklyn,United States,Barclays Center
8 March 2013,Los Angeles,United States,Los Angeles State Historic Park
9 March 2013,Los Angeles,United States,Los Angeles State Historic Park
15 March 2013,Miami,United States,Ultra Music Festival
24 March 2013,Miami,United States,Ultra Music Festival
