col0,col1
Kaye Breadsell,"Perth, Western Australia"
Val Roberts,"Ballarat, Victoria"
Waltraud Benesch,"Vienna, Austria"
Erika Bogovic,"Inzersdorf, Austria"
Elfriede Hirnschall,"Vienna, Austria"
Henriette Parzer,"Vienna, Austria"
Godelieve Brys,"Aalst, Belgium"
Veronica Grymonprez,"Berlin, Germany"
Rita van de Velde,"Schellebelle, Belgium"
Ivanka Dolzheva,"Sofia, Bulgaria"
Rayna Grigorova,"Varna, Bulgaria"
Elisaveta Mileva,"Pudria, Bulgaria"
Stanka Pavlova,"Sofia, Bulgaria"
Tsvetanka Rangelova,"Dimitrovgrad, Bulgaria"
Saltirka Spasova-Tarpova,"Gulyantsi, Bulgaria"
Louise Parker,"Montreal, Quebec"
Ernestine Russell,"Windsor, Ontario"
Julia Uria,"San Germán, Cuba"
Yolanda Williams,"Havana, Cuba"
Eva Bosáková,"Mladá Boleslav, Czechoslovakia"
Věra Čáslavská,"Prague, Czechoslovakia"
Matylda Matoušková-Šínová,"Brno, Czechoslovakia"
Hana Růžičková,"Třebotov, Czechoslovakia"
Ludmila Švédová,"Šumperk, Czechoslovakia"
Adolfína Tkačíková-Tačová,"Petřkovice, Czechoslovakia"
Kaarina Autio,"Vampula, Finland"
Eira Lehtonen,"Turku, Finland"
Pirkko Nieminen,"Tampere, Finland"
Ritva Salonen,"Tampere, Finland"
Tuovi Sappinen,"Turku, Finland"
Raili Tuominen-Hämäläinen,"Tampere, Finland"
Anne-Marie Demortière,"Le Creusot, France"
Jacqueline Dieudonné,"Mérignac, France"
Renée Hugon,"Clichy, France"
Paulette le Raer,"Saint-Malo, France"
Monique Rossi,"Montceau-les-Mines, France"
Danièle Sicot-Coulon,"Châteaudun, France"
Karin Boldemann,"Berlin, Germany"
Ingrid Föst,"Potsdam, Germany"
Gretel Schiener,"Altenburg, Germany"
Renate Schneider,"Berlin, Germany"
Roselore Sonntag,"Geringswalde, Germany"
Ute Starke,"Eisleben, Germany"
Gwynedd Lewis-Lingard,"Cardiff, Wales"
Pat Perks,"Cardiff, Wales"
Jill Pollard,"Bradford, West Yorkshire"
Marjorie Carter,"Bradford, West Yorkshire"
Dorothy Summers,"Cardiff, Wales"
Margaret Thomas-Neale,"Cardiff, Wales"
