col0,col1,col2,col3
Template:America East Conference softball navbox,Template:America East Conference Softball Tournament navbox,Template:America East Conference softball venue navbox,Template:America East Conference softball coach navbox
Template:American Athletic Conference softball navbox,Template:American Athletic Conference Softball Tournament navbox,Template:American Athletic Conference softball venue navbox,Template:American Athletic Conference softball coach navbox
Template:Atlantic Coast Conference softball navbox,Template:Atlantic Coast Conference Softball Tournament navbox,Template:Atlantic Coast Conference softball venue navbox,Template:Atlantic Coast Conference softball coach navbox
Template:Atlantic 10 Conference softball navbox,Template:Atlantic 10 Conference Softball Tournament navbox,Template:Atlantic 10 Conference softball venue navbox,Template:Atlantic 10 Conference softball coach navbox
Template:ASUN Conference softball navbox,Template:ASUN Conference Softball Tournament navbox,Template:ASUN Conference softball venue navbox,Template:ASUN Conference softball coach navbox
Template:Big 12 Conference softball navbox,Template:Big 12 Softball Tournament navbox,Template:Big 12 Conference softball venue navbox,Template:Big 12 Conference softball coach navbox
Template:Big East Conference softball navbox,Template:Big East Conference Softball Tournament navbox,Template:Big East Conference softball venue navbox,Template:Big East Conference softball coach navbox
Template:Big Sky Conference softball navbox,Template:Big Sky Conference Softball Tournament navbox,Template:Big Sky Conference softball venue navbox,Template:Big Sky Conference softball coach navbox
Template:Big South Conference softball navbox,Template:Big South Conference Softball Tournament navbox,Template:Big South Conference softball venue navbox,Template:Big South Conference softball coach navbox
Template:Big Ten Conference softball navbox,Template:Big Ten Conference Softball Tournament navbox,Template:Big Ten Conference softball venue navbox,Template:Big Ten Conference softball coach navbox
Template:Big West Conference softball navbox,Template:Big West Conference Softball Championship navbox,Template:Big West Conference softball venue navbox,Template:Big West Conference softball coach navbox
Template:Colonial Athletic Association softball navbox,Template:Colonial Athletic Association Softball Tournament navbox,Template:Colonial Athletic Association softball venue navbox,Template:Colonial Athletic Association softball coach navbox
Template:Conference USA softball navbox,Template:Conference USA Softball Tournament navbox,Template:Conference USA softball venue navbox,Template:Conference USA softball coach navbox
Template:Horizon League softball navbox,Template:Horizon League  Softball Tournament navbox,Template:Horizon League softball venue navbox,Template:Horizon League softball coach navbox
Template:Ivy League softball navbox,Template:Ivy League Softball Championship Series navbox,Template:Ivy League softball venue navbox,Template:Ivy League softball coach navbox
Template:Metro Atlantic Athletic Conference softball navbox,Template:Metro Atlantic Athletic Conference Softball Tournament navbox,Template:Metro Atlantic Athletic Conference softball venue navbox,Template:Metro Atlantic Athletic Conference softball coach navbox
Template:Mid-American Conference softball navbox,Template:Mid-American Conference Softball Tournament navbox,Template:Mid-American Conference softball venue navbox,Template:Mid-American Conference softball coach navbox
Template:Mid-Eastern Athletic Conference softball navbox,Template:Mid-Eastern Athletic Conference Softball Tournament navbox,Template:Mid-Eastern Athletic Conference softball venue navbox,Template:Mid-Eastern Athletic Conference softball coach navbox
Template:Missouri Valley Conference softball navbox,Template:Missouri Valley Conference Softball Tournament navbox,Template:Missouri Valley Conference softball venue navbox,Template:Missouri Valley Conference softball coach navbox
Template:Mountain West Conference softball navbox,Template:Mountain West Conference Softball Tournament navbox,Template:Mountain West Conference softball venue navbox,Template:Mountain West Conference softball coach navbox
Template:Northeast Conference softball navbox,Template:Northeast Conference Softball Tournament navbox,Template:Northeast Conference softball venue navbox,Template:Northeast Conference softball coach navbox
Template:Ohio Valley Conference softball navbox,Template:Ohio Valley Conference Softball Tournament navbox,Template:Ohio Valley Conference softball venue navbox,Template:Ohio Valley Conference softball coach navbox
Template:Pacific-12 Conference softball navbox,No Tournament,Template:Pacific-12 Conference softball venue navbox,Template:Pacific-12 Conference softball coach navbox
Template:Patriot League softball navbox,Template:Patriot League Softball Tournament navbox,Template:Patriot League softball venue navbox,Template:Patriot League softball coach navbox
Template:Southeastern Conference softball navbox,Template:Southeastern Conference Softball Tournament navbox,Template:Southeastern Conference softball venue navbox,Template:Southeastern Conference softball coach navbox
Template:Southern Conference softball navbox,Template:Southern Conference Softball Tournament navbox,Template:Southern Conference softball venue navbox,Template:Southern Conference softball coach navbox
Template:Southland Conference softball navbox,Template:Southland Conference Softball Tournament navbox,Template:Southland Conference softball venue navbox,Template:Southland Conference softball coach navbox
Template:Southwestern Athletic Conference softball navbox,Template:Southwestern Athletic Conference Softball Tournament navbox,Template:Southwestern Athletic Conference softball venue navbox,Template:Southwestern Athletic Conference softball coach navbox
Template:The Summit League softball navbox,Template:The Summit League Softball Tournament navbox,Template:The Summit League softball venue navbox,Template:The Summit League softball coach navbox
Template:Sun Belt Conference softball navbox,Template:Sun Belt Conference Softball Tournament navbox,Template:Sun Belt Conference softball venue navbox,Template:Sun Belt Conference softball coach navbox
Template:West Coast Conference softball navbox,Template:West Coast Conference Softball Championship navbox,Template:West Coast Conference softball venue navbox,Template:West Coast Conference softball coach navbox
Template:Western Athletic Conference softball navbox,Template:Western Athletic Conference Softball Tournament navbox,Template:Western Athletic Conference softball venue navbox,Template:Western Athletic Conference softball coach navbox
