col0,col1,col2,col3,col4
Daniel Birchard,Kelly Fordyce,Brody Moore,Andrew Peck,Pembina CC
Derek Blanchard,Taylor McIntyre,Danial Gagne,Greg Blanchard,Assiniboine Memorial CC
Grant Brown,Rylan Young,Tuffy Seguin,Brandon Fell,Burntwood CC
Braden Calvert,Corey Chambers,Kyle Kurz,Brendan Bilawka,Fort Rouge CC
Brad Jacobs,Reid Carruthers,Derek Samagalski,Connor Njegovan,Granite CC
Cale Dunbar,Shanyne MacGranachan,Kyle Sambrook,Chris Campbell,Brandon CC
Logan Ede,Reece Hamm,Emerson Klimpke,Ryan Zapotochny,Stonewall CC
Hayden Forrester,Cyrus Brandt,Brennan Sampson,Gabriel Brandt,Fort Rouge CC
Jace Freeman,Ryan Ostrowsky,Nick Senff,Luke Robins,Virden CC
Sean Grassie,Jordan Johnson,Daryl Evans,Rodney Legault,Deer Lodge CC
Travis Gregory,Wes Gregory,Quinn Robins,Dale Little,Hamiota CC
Andrew Irving,Brad Van Walleghem,Alex Forrest,Roy Janz,Fort Rouge CC
Steve Irwin,Daley Peters,Travis Taylor,Travis Brooks,Brandon CC
Jesse Janz,Ryan Thomson,Cody Chatham,Scott Crayston,Baldur CC
Mark Lowdon,Jason Yates,Anthony Dyck,Lawson Yates,La Salle CC
Jordon McDonald,Dallas Burgess,Elias Huminicki,Cameron Olafson,Assiniboine Memorial CC
Thomas McGillivray,Tim Johnson,Aaron MacDonell,Alexandre Fontaine,St. Vital CC
Greg Melnichuk,Al Purdy,Bruce Wyche,Scott Kidd,Granite CC
Brad Micholson,Ian Campbell,Ryan Lagace,Paul Neilands,Deer Lodge CC
Dean North,Brad Wainikka,Rob Van Deynze,Mike Orchard,Carman CC
Darren Perche,Jason Perche,Shane Perche,Byrce Perche,Charleswood CC
Justin Reynolds,Nick Weshnoweski,Josh Maisey,Sean Giesbrecht,Winnipeg Beach CC
Justin Richter,Kyle Einarson,Jared Litke,Mitch Einarson,Beausejour CC
Steen Sigurdson,Josh Claeys,Scott Bruce,Scott Peterson,Deer Lodge CC
Riley Smith,Nick Curtis,Jared Hancox,Justin Twiss,Charleswood CC
Jeff Stewart,Eric Zamrykut,Jason Vinnell,Geoff Trimble,Gladstone CC
Jeremy Sundell,Elliot Sundell,Paul Sundell,Thomas Huggart,Holland CC
Greg Todoruk,Darcy Todoruk,Rob Fisher,Terron Stykalo,Dauphin CC
Glenn Toews,Nick Ogryzlo,Cory Toews,Steve Procyshyn,Dauphin CC
Brett Walter,J. T. Ryan,Graham McFarlane,Hugh McFarlane,Assiniboine Memorial CC
Devon Wiebe,Julien Leduc,Thomas Dunlop,Zack Bilawka,Charleswood CC
Ryan Wiebe,Ty Dilello,Sean Flatt,Adam Flatt,Fort Rouge CC
