col0,col1,col2
Amnat Charoen,Thaweep Butpho,1 October 2020
Ang Thong,Verasak Vichitsangsri,12 September 2021
Bueng Kan,Sanit Khaosa-ard,1 October 2019
Buriram,Thatchakorn Hatthathayakul,1 October 2018
Chachoengsao,Maitree Traitilanan,1 October 2020
Chai Nat,Rangsan Tancharoen,1 October 2021
Chaiyaphum,Kraisorn Kongchalard,1 October 2021
Chanthaburi,Suthee Thongyam,1 October 2020
Chiang Mai,Nirat Pongsitthaworn,1 October 2022
Chiang Rai,Pasakorn Boonyalak,1 October 2021
Chonburi,Thawatchai Srithong,1 October 2022
Chumphon,Teera Anantaseriwittaya,1 October 2020
Kalasin,Songpol Jai-krim,1 October 2020
Kamphaeng Phet,Chawalit Saeng-uthai,1 October 2018
Kanchanaburi,Jirakiat Phumsawat,1 October 2017
Khon Kaen,Somsak Jangtrakul,1 October 2017
Krabi,Phutthiphong Sirimat,1 October 2021
Lampang,Sithichai Jindaluang,1 October 2021
Lamphun,Worayut Naowarat,1 October 2020
Loei,Chaitawat Niemsiri,1 October 2020
Lopburi (list),Niwat Rungsakorn,1 October 2020
Mae Hong Son,Vacant,Vacant
Maha Sarakham,Kiattisak Trongsiri,1 October 2020
Mukdahan,Chaloemphon Mangkhang,1 October 2021
Nakhon Nayok,Amphon Angkapakornkun,1 October 2020
Nakhon Pathom,Surasak Charoensirichot,1 October 2020
Nakhon Phanom,Chathip Ruchanaseri,1 October 2021
Nakhon Ratchasima,Wichian Chantaranothai,1 October 2021
Nakhon Sawan,Chayan Sirimas,1 October 2021
Nakhon Si Thammarat,Kraisorn Wisitwong,1 October 2020
Nan,Vacant,Vacant
Narathiwat,Sanan Pongaksorn,1 Oktober 2021
Nong Bua Lamphu,Siwaporn Chuasawas,1 October 2020
Nong Khai,Monsit Phaisanthanawat,1 October 2021
Nonthaburi,Suchin Chaichumsak,1 October 2019
Pathum Thani,Vacant After the Death of Narongsak Osotthanakorn,1 October 2021
Pattani,Niphan Boonluang,1 October 2021
Phang Nga,Chamroen Thipphayaphongthada,1 October 2019
Phatthalung,Kukiat Wongkraphan,1 October 2017
Phayao,Chokdee Amornwat,25 May 2021
Phetchabun,Krit Kongmuang,1 October 2020
Phetchaburi,Pakapong Tawipat,15 June 2020
Phichit,Paiboon Nabutchom,1 October 2021
Phitsanulok,Ronnachai Chitwiset,1 October 2020
Phra Nakhon Si Ayutthaya,Weerachai Nakmas,1 October 2021
Phrae,Somwang Phuangbangpho,1 October 2020
Phuket,Narong Woonsiew,15 June 2020
Prachinburi,Woraphan Suwannus,1 October 2020
Prachuap Khiri Khan,Vacant after the death of Niti Vivatvanich,19 December 2023
Ranong,Somkiat Sisanet,1 October 2020
Ratchaburi,Ronnapop Luangpairote,1 October 2020
Rayong,Channa Iamsaeng,1 October 2020
Roi Et,Phusit Somchit,1 October 2021
Sa Kaeo,Parinya Phothisat,1 October 2021
Sakon Nakhon,Chureerat Thep-at,1 October 2021
Samut Prakan,Wanchai Kongkasem,1 October 2020
Samut Sakhon,Narong Rakroi,12 September 2021
Samut Songkhram,Charas Bunnasa,1 October 2019
Saraburi,Manrat Rattanasukhon,1 October 2018
Satun,Ekkarat Leesen,1 October 2020
Sing Buri,Chaichan Sittiwirattham,1 October 2021
Sisaket,Watthana Phutthichat,1 October 2019
Songkhla,Jessada Jitrat,1 October 2021
Sukhothai,Wirun Phandevi,1 October 2020
Suphan Buri,Natthapat Suwanprateep,1 October 2020
Surat Thani (list),Witchawut Jinto,1 October 2017
Surin,Suvapong Kitiphatpiboon,1 October 2020
Tak,Vacant,Vacant
Trang,Khajornsak Charoensopha,1 October 2020
Trat,Chamnanwit Terat,1 October 2021
Ubon Ratchathani,Pongrat Phiromrat,1 October 2021
Udon Thani,Siam Sirimongkol,1 October 2020
Uthai Thani,Khajonkiat Rakpanichmanee,12 September 2021
Uttaradit,Phol Damtham,1 October 2020
Yala,Pirom Nilthaya,1 October 2021
Yasothon,Chonlatee Yangtrong,1 October 2020
