col0,col1
Aernout Gerrit Mik,Netherlands
Afrah Shafiq,India
Ajay Desai,India
Akram Zaatari,Lebanon
Anjali Monteiro + K. P. Jayasankar,India
Anoli Perera,Sri Lanka
Arunkumar. H. G,India
Anju Dodiya,India
Annu Palakunnathu Matthew,India/United States
Araya Rasdjarmrearnsook,Thailand
Arya krishnan,India
Bapi Das,India
Barthélémy Toguo,Cameroon
Bracha Ettinger,Israel
Brook Andrew,Australia
B. V. Suresh,India
Celia-Yunior,Cuba
Chandan Gomes,India
Chitra Ganesh,India
Chittaprosad,India
Cyrus Kabiru,Kenya
Dennis Muraguri,Kenya
DOMENEC,Spain
E. B. Itso,Denmark
Goshka Macuga,Poland
Guerrilla Girls,United States
Heri Dono,Indonesia
Jitish Kallat,India
K P Krishnakumar,India
KAUSIK MUKHOPADHYAY,India
KIBUUKA MUKISA OSCAR,Uganda
LEANDRO FEAL,Cuba
LUBNA CHOWDHARY,U.K.
Madhvi Parekh,India
Marlene Dumas,Netherlands
Martha Rosler,United States
MARZIA FARHANA,Bangladesh
Mireille Kassar,France/Lebanon
MOCHU + SUVANI SURI,India
Monica Mayer,Mexico
Mrinalini Mukherjee,India
Nathan Coley,U.K.
Nilima Sheikh,India
Oorali,India
THE OTOLITH GROUP,U.K.
PANGROK SULAP,Malaysia
PRABHAKAR PACHPUTE,India
PRIYA RAVISH MEHRA,India
PROBIR GUPTA,India
RADENKO MILAK,Bosnia Hercegovina
Rana Hamadeh,Netherlands/Lebanon
Rania Stephan,Lebanon
REHANA ZAMAN,Pakistan
Rina Banerjee,United States/India
Rula Halawani,Palestine
SANTHA KV,India
Santu Mofokeng,South Africa
P R SATHEESH,India
SHAMBHAVI,India
Shirin Neshat,Iran/United States
Shubigi Rao,Singapore
SISTER LIBRARY,India
SONG DONG,China
Sonia Khurana,India
SRINAGAR BIENNALE,India
Sue Williamson,South Africa
SUNIL GUPTA + CHARAN SINGH,India/U.K.
Sunil Janah,India
TABITA REZAIRE,France French Guiana South Africa
Tania Bruguera,Cuba
TANIA CANDIANI,Mexico
Tejal Shah,India
Temsuyanger Longkumer,India
Thomas Hirschhorn,Switzerland
VANESSA BAIRD,Norway
VEDA THOZHUR KOLLERI,India
VICKY ROY,India
VINU VV,India
VIPIN DHANURDHARAN,India
VIVIAN CACCURI,Brazil
SUBHASH SINGH VYAM + DURGABAI VYAM,India
Walid Raad,Lebanon
William Kentridge,South Africa
Young-Hae Chang Heavy Industries,South Korea
Zanele Muholi,South Africa
