col0,col1,col2
2010   (37th),Christopher Nolan,Inception
2010   (37th),Darren Aronofsky,Black Swan
2010   (37th),Clint Eastwood,Hereafter
2010   (37th),Matt Reeves,Let Me In
2010   (37th),Martin Scorsese,Shutter Island
2010   (37th),David Yates,Harry Potter and the Deathly Hallows - Part 1
2011   (38th),J. J. Abrams,Super 8
2011   (38th),Brad Bird,Mission: Impossible - Ghost Protocol
2011   (38th),Martin Scorsese,Hugo
2011   (38th),Steven Spielberg,The Adventures of Tintin: The Secret of the Unicorn
2011   (38th),Rupert Wyatt,Rise of the Planet of the Apes
2011   (38th),David Yates,Harry Potter and the Deathly Hallows - Part 2
2012   (39th),Joss Whedon,The Avengers
2012   (39th),William Friedkin,Killer Joe
2012   (39th),Peter Jackson,The Hobbit: An Unexpected Journey
2012   (39th),Rian Johnson,Looper
2012   (39th),Ang Lee,Life of Pi
2012   (39th),Christopher Nolan,The Dark Knight Rises
2013   (40th),Alfonso Cuarón,Gravity
2013   (40th),J. J. Abrams,Star Trek Into Darkness
2013   (40th),Peter Berg,Lone Survivor
2013   (40th),Guillermo del Toro,Pacific Rim
2013   (40th),Peter Jackson,The Hobbit: The Desolation of Smaug
2013   (40th),Francis Lawrence,The Hunger Games: Catching Fire
2014   (41st),James Gunn,Guardians of the Galaxy
2014   (41st),Alejandro G. Iñárritu,Birdman
2014   (41st),Doug Liman,Edge of Tomorrow
2014   (41st),Christopher Nolan,Interstellar
2014   (41st),Matt Reeves,Dawn of the Planet of the Apes
2014   (41st),Anthony and Joe Russo,Captain America: The Winter Soldier
2014   (41st),Bryan Singer,X-Men: Days of Future Past
2015   (42nd),Ridley Scott,The Martian
2015   (42nd),J. J. Abrams,Star Wars: The Force Awakens
2015   (42nd),Guillermo del Toro,Crimson Peak
2015   (42nd),Alex Garland,Ex Machina
2015   (42nd),George Miller,Mad Max: Fury Road
2015   (42nd),Peyton Reed,Ant-Man
2015   (42nd),Colin Trevorrow,Jurassic World
2016   (43rd),Gareth Edwards,Rogue One: A Star Wars Story
2016   (43rd),Scott Derrickson,Doctor Strange
2016   (43rd),Jon Favreau,The Jungle Book
2016   (43rd),Anthony and Joe Russo,Captain America: Civil War
2016   (43rd),Bryan Singer,X-Men: Apocalypse
2016   (43rd),Steven Spielberg,The BFG
2016   (43rd),Denis Villeneuve,Arrival
2017   (44th),Ryan Coogler,Black Panther
2017   (44th),Guillermo del Toro,The Shape of Water
2017   (44th),Patty Jenkins,Wonder Woman
2017   (44th),Rian Johnson,Star Wars: The Last Jedi
2017   (44th),Jordan Peele,Get Out
2017   (44th),Matt Reeves,War for the Planet of the Apes
2017   (44th),Denis Villeneuve,Blade Runner 2049
2018   (45th),Jordan Peele,Us
2018   (45th),Anna Boden and Ryan Fleck,Captain Marvel
2018   (45th),Karyn Kusama,Destroyer
2018   (45th),Guy Ritchie,Aladdin
2018   (45th),Anthony and Joe Russo,Avengers: Endgame
2018   (45th),Steven Spielberg,Ready Player One
2018   (45th),James Wan,Aquaman
2018   (45th),Zhang Yimou,Shadow
2019/2020   (46th),J. J. Abrams,Star Wars: The Rise of Skywalker
2019/2020   (46th),Niki Caro,Mulan
2019/2020   (46th),Mike Flanagan,Doctor Sleep
2019/2020   (46th),Christopher Nolan,Tenet
2019/2020   (46th),Gina Prince-Bythewood,The Old Guard
2019/2020   (46th),Quentin Tarantino,Once Upon a Time in Hollywood
2019/2020   (46th),Leigh Whannell,The Invisible Man
