col0,col1
Last Bohemian,Mihály Kertész
A 2000 éves férfi,Aladár Fodor
Ma és Holnap,Mihály Kertész
A gazdag ember kabátja,Andor K. Kovács
Egy csók története,Sándor Góth
A bűvös palack,Sándor Góth
A víg özvegy,Sándor Góth
A csikós,Sándor Góth
A dollárkirálynő leánya,Jenő Janovics
Házasodik az uram,Mihály Kertész
Ali rózsakertje,Damó Oszkár
Sárga csikó,Félix Vanyl
Rablélek,Mihály Kertész
Az éjszaka rabjai,Mihály Kertész
Bánk Bán,Mihály Kertész
A hercegnő pongyolában,Mihály Kertész
A kölcsönkért csecsemők,Mihály Kertész
Őrház a Kárpátokban,Sándor Korda
Pufi cipőt vesz,Kornél Tábori
A szökött katona,Miklós M. Pásztory
A tolonc,Mihály Kertész
Akit ketten szeretnek,Mihály Kertész
Liliomfi,Jenő Janovics
A kormányzó,Márton Garas
Havasi Magdolna,Márton Garas
Cox és Box,Márton Garas
A tiszti kardbojt,Sándor Korda
Tyutyu és Tyotyó,Sándor Korda
Lyon Lea,Sándor Korda
Hőseink diadalútja,Jenő Illés
A Munkászubbony (The Work Jacket),István Bródy
A Karthausi,Mihály Kertész
White Nights,Sándor Korda
The Laughing Saskia,Sándor Korda
Miska the Magnate,Sándor Korda
The One Million Pound Note,Sándor Korda
Struggling Hearts,Sándor Korda
Ciklámen,Sándor Korda
A szerencse fia,Márton Garas
Hófehérke,Márton Garas
Szulamit,Jenő Illés
A világ csak hangulat,Jenő Illés
Makkhetes,Mihály Kertész
A magyar föld ereje,Mihály Kertész
A szobalány,Adolf Mérey
A fekete szivárvány,Mihály Kertész
Doctor Ur,Mihály Kertész
Az ezüst kecske,Mihály Kertész
Farkas,Mihály Kertész
A béke útja,Mihály Kertész
Harrison and Barrison,Sándor Korda
Magic,Sándor Korda
A Penny's History,Mihály Kertész
The Red Samson,Mihály Kertész
The Schoolmistress,Jenö Janovics
The Stork Caliph,Sándor Korda
St. Peter's Umbrella,Sándor Korda
A gólyakalifa,Sándor Korda
A kis Gézengúz,Alfréd Deésy
Az estélyi ruha,Alfréd Deésy
A Tryton,Alfréd Deésy
Küzdelem a múlttal,Márton Garas
A vén bakancsos és a fia a Huszár,Mihály Fekete
A vágy,Mihály Fekete
Az anyaszív,Sándor Góth
A vasgyáros,Jenő Janovics
Az utolsó éjszaka,Jenő Janovics
Az obsitos,Béla Balogh
A Toprini nász,Béla Balogh
A vengerkák,Béla Balogh
A föld rabjai,László Békeffi
Az Ezredes,Mihály Kertész
A Kuruzsló,Mihály Kertész
Leoni Leo,Alfréd Deésy
Nászdal,Alfréd Deésy
A Régiséggyűjtő,Alfréd Deésy
A Senki fia,Mihály Kertész
Tavasz a télben,Mihály Kertész
Az Utolsó hajnal,Mihály Kertész
Tatárjárás,Mihály Kertész
Zoard mester,Mihály Kertész
Faun,Sándor Korda
Mary Ann,Sándor Korda
A víg Özvegy,Mihály Kertész
Az ördög,Mihály Kertész
Karoly bakak,Zoltán Korda
A napraforgós hölgy,Mihály Kertész
Sergius Panin,Jenő Janovics
Falusi Madonna,Jenő Janovics
A szerelem haláltusája,Jenő Janovics
A vörös kérdőjel,Béla Balogh
Halálos csönd,Béla Balogh
Rang és mód,Béla Balogh
Jeruzsálem,Lajos Lázár
Az Impresszárió,Lajos Lázár
Selim Nono,Lajos Lázár
A börzecézár,Lajos Lázár
A 100.000 koronás ruha,Márton Garas
A papagáj,Márton Garas
Nőstényfarkas,Márton Garas
A bánya titka I-II,Uher Ödön jr.
Szamárbőr,Uher Ödön jr.
Kettős álarc alatt,Cornelius Hintner
Havasi szerelem,Cornelius Hintner
Nebántsvirág,Cornelius Hintner
A 99-es számú bérkocsi,Mihály Kertész
Álarcosbál,Alfréd Deésy
Alraune,Mihály Kertész
Casanova,Alfréd Deésy
Az Élet királya,Alfréd Deésy
Küzdelem a létért,Alfréd Deésy
Lili,Cornelius Hintner
Lulu,Michael Curtiz
A Napraforgós hölgy,Michael Curtiz
A Víg özvegy,Michael Curtiz
Jön az öcsém,Michael Curtiz
Liliom,Michael Curtiz
Tilos a csók,Béla Balogh
Nantas,Béla Balogh
A csempészkirály,Károly Lajthay
Az Ősasszony,Károly Lajthay
Twist Olivér,Márton Garas
Jön az öcsém,Mihály Kertész
Ave Caesar!,Alexander Korda
Neither at Home or Abroad,Alexander Korda
Number 111,Alexander Korda
Yamata,Alexander Korda
White Rose,Alexander Korda
