col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
Argentina (2023),Nicholas (first name),Thiago,Lucas,Mateo (first name),Matías,Juan (first name),Benjamín,Felipe,Benicio,Lautaro
Aruba (2005),Daniel,Dylan/Dyllan,Kevin/Keven,NA,NA,NA,NA,NA,NA,NA
Bolivia (2015),Juan Carlos,José Luis,Marco Antonio,Miguel Ángel,Juan,Mario,David (first name),Fernando,Victor Hugo,Jorge
Brazil (2023),Miguel,Gael,Théo,Heitor,Ravi,Arthur,Davi,Noah,Anthony (first name),Bernardo
"Brazil (census, 2010)",José,João,Antônio,Francisco,Carlos,Paulo,Pedro (given name),Lucas (given name),Luiz (first name),Marcos
Canada (2022),Noah,Liam,William,Leo,Theodore,Oliver,Benjamin,Thomas,Lucas,Jack
"Canada, Québec (2023) https://www.journaldemontreal.com/2024/06/10/voici-les-prenoms-les-plus-populaires-au-quebec-en-2023",Noah,Liam,Léo,Thomas,William,Édouard,Jacob,Louis,Nathan,Arthur
Chile (2023),Mateo,Gaspar,Liam,Lucas,Santiago (first name),Benjamín,Vincent (first name),Agustín,Maximiliano (first name),Maximo
"Colombia (2022, Baby Center)","Matías, Mathias",Jerónimo (first name),Emiliano,Martín,Samuel (given name),Thiago,Emmanuel,Maximiliano (first name),Isaac,Santiago
Ecuador (2020),Liam,Thiago,Dylan,José,Ian (first name),Carlos,Juan (given name),Luis,Gaël (given name),Ángel
Greenland (2012-2020),Inuk,Malik,Minik,"Inunnguag, Liam, Ulloriaq",Norsaq,Aputsiaq,Ivik,Miki,"Maligiaq, Noah, Qillaq","Inutsiaq, Nuka, Salik"
"Haiti (unofficial, privately compiled)",Stevenson,Stanley,Samuel,Peterson,Daniel,Wilson,Jameson,Evens,Ricardo,Emmanuel
Jamaica  (2021),Aiden,Liam (first name),Malachi,Amir,Nathaniel,Joshua,Josiah,Zahir,Nathan,NA
Mexico (2021),Santiago (given name),Mateo,Sebastián,Leonardo,Matías,Emiliano,Diego,Daniel,Miguel Ángel,Alexander
Panama (2020),Thiago,Matías,Ian,Lukas (given name),Dylan (first name),Luis,Juan,Eithan,Carlos,Liam
"Paraguay (2015, general population)",Ramón,Juan (first name),José,Antonio,Carlos (first name),Daniel,Luis (first name),Javier,David,César
Peru (2020),Liam,Thiago,Dylan (given name),Gael,Mateo,Ian,Luis,Lukas (given name),Santiago,Juan (first name)
Puerto Rico   (2023),Thiago,Liam,Noah,Mateo,Sebastián,Lucas (first name),Dylan (given name),Ian (first name),Matías,Adrián
"United States   (2023) Every year, the United States Social Security's Office of the Chief Actuary publishes a list of the most popular names given at birth for males and females in the U.S. (website ). The 2007 list was released May 9, 2008. The most popular names by year beginning with 1880 are listed for the following: 1880s - 1890s - 1900s - 1910s - 1920s - 1930s - 1940s - 1950s - 1960s - 1970s - 1980s - 1990s - 2000s",Liam (first name),Noah,Oliver,James,Elijah,Mateo (given name),Theodore,Henry,Lucas (given name),William
"United States  (most common names, 1990 census)",James,John,Robert,Michael,William,David (first name),Richard,Charles,Joseph,Thomas (given name)
Uruguay (2023),Juan (given name),Mateo (given name),Benjamín,Felipe,Luis,Valentín,Carlos (given name),Ezequiel,Alejandro,Manuel
Venezuela  (2011),Sebastián,Santiago (first name),Samuel,Diego,Gabriel,Alejandro,Diego Alejandro,Daniel Alejandro,David,Juan Andrés
