col0,col1,col2,col3
2023,Adarius Pickett,DBs,Toronto Argonauts
2022,Lorenzo Malik Mauldin IV,DE,Ottawa Redblacks
2021,Simoni Lawrence,(LB),Hamilton Tiger Cats
2020,N/A,N/A,N/A
2019,Simoni Lawrence,(LB),Hamilton Tiger Cats
2018,Larry Dean,(LB),Hamilton Tiger-Cats
2017,Kyries Hebert,(LB),Montreal Alouettes
2016,Bear Woods,(LB),Montreal Alouettes
2015,Simoni Lawrence,(LB),Hamilton Tiger-Cats
2014,Bear Woods,LB,Montreal Alouettes
2013,Chip Cox,(LB),Montreal Alouettes
2012,Shea Emry,LB,Montreal Alouettes
2011,Jovon Johnson,(DB),Winnipeg Blue Bombers
2010,Markeith Knowlton,LB,Hamilton Tiger-Cats
2009,Anwar Stewart,(DE),Montreal Alouettes
2008,Doug Brown,(DT),Winnipeg Blue Bombers
2007,Jonathan Brown,(DE),Toronto Argos
2006,Barrin Simpson,(LB),Winnipeg Blue Bombers
2005,Michael Fletcher,(LB),Toronto Argonauts
2004,Anwar Stewart,DE,Montreal Alouettes
2003,Kevin Johnson,(LB),Montreal Alouettes
2002,Barron Miles,DBs,Montreal Alouettes
2001,Joe Montford,(DE),Hamilton Tiger-Cats
2000,Joe Montford,(DE),Hamilton Tiger Cats
1999,Calvin Tiggle,LB,Hamilton Tiger Cats
1998,Joe Montford,(DE),Hamilton Tiger-Cats
1997,Shonte Peoples,(LB),Winnipeg Blue Bombers
1996,Tracy Gravely,LB,Montreal Alouettes
1995,Tim Cofield,(DE),Memphis Mad Dogs
1994,Tim Cofield,DE,Hamilton Tiger Cats
1993,Elfrid Payton,(LB),Winnipeg Blue Bombers
1992,Angelo Snipes,(LB),Ottawa Rough Riders
1991,Greg Battle,(LB),Winnipeg Blue Bombers
1990,Greg Battle,(LB),Winnipeg Blue Bombers
1989,Greg Battle,LB,Winnipeg Blue Bombers
1988,Grover Covington,DE,Hamilton Tiger-Cats
1987,James West,(LB),Winnipeg Blue Bombers
1986,Brett Williams,(DT),Montreal Alouettes
1985,Paul Bennett,DBs,Hamilton Tiger-Cats
1984,Harry Skipper,(DB),Montreal Concordes
1983,Greg Marshall,DE,Ottawa Rough Riders
1982,Zac Henderson,DBs,Toronto Argonaut Football Club
1981,Ben Zambiasi,LB,Hamilton Tiger Cats
1980,Tom Cousineau,LB,Montreal Alouettes
1979,Ben Zambiasi,(LB),Hamilton Tiger-Cats
1978,Randy Rhino,(DB),Montreal Alouettes
1977,Glen Weir,(DT),Montreal Alouettes
1976,Granville Liggins,(DT),The Argos
1975,Jim Corrigall,DE,Toronto Argonaut Football Club
