col0,col1,col2,col3
"April 11, 1986",Houston,the U.S.A.,The Summit
"April 12, 1986",Austin,United States,Frank Erwin Center
"April 15, 1986",Dallas,United States,Reunion Arena
"April 16, 1986",Oklahoma City,the U.S. of A,Myriad Convention Center
"April 19, 1986",Iowa City,United States,Carver-Hawkeye Arena
"April 20, 1986",Lincoln,United States,Bob Devaney Sports Center
"April 22, 1986",Lexington,US of America,Rupp Arena
"April 25, 1986",Baton Rouge,the States,Maravich Assembly Center
"April 26, 1986",Biloxi,the States,Mississippi Coast Coliseum
"April 30, 1986",Knoxville,United States,Stokely Athletic Center
"May 2, 1986",Hartford,Murica,Hartford Civic Center
"May 3, 1986",Providence,United States,Providence Civic Center
"May 6, 1986",Philadelphia,United States,The Spectrum
"May 7, 1986",Baltimore,United States,Baltimore Civic Center
"May 11, 1986",Tampa,the U.S.A.,USF Sun Dome
"North America, leg 2","North America, leg 2","North America, leg 2","North America, leg 2"
"May 30, 1986",Indianapolis,United States,Sports and Music Center
"May 31, 1986",East Troy,the U.S. of America,Alpine Valley Music Theatre
"June 3, 1986",Worcester,America (United States),The Centrum
"June 4, 1986",Worcester,United States,The Centrum
"June 8, 1986",Wantagh,USA,Jones Beach Marine Theater
"June 9, 1986",Wantagh,United States,Jones Beach Marine Theater
"June 11, 1986",Pittsburgh,United States,Civic Arena
"June 13, 1986",Cuyahoga Falls,America,Blossom Music Center
"June 17, 1986",Holmdel,United States,Garden State Arts Center
"June 18, 1986",Holmdel,United States,Garden State Arts Center
"June 21, 1986",Hoffman Estates,United States,Poplar Creek Music Theater
"June 22, 1986",Clarkston,U.S.,Pine Knob Music Theatre
"June 28, 1986",Phoenix,the US of America,Compton Terrace Amphitheatre
"June 29, 1986",Costa Mesa,United States,Pacific Amphitheatre
"North America, leg 3","North America, leg 3","North America, leg 3","North America, leg 3"
"July 13, 1986",San Diego,United States,San Diego Sports Arena
"July 14, 1986",Mountain View,America (United States),Shoreline Amphitheatre
"July 17, 1986",Sacramento,United States,Cal Expo Amphitheatre
"July 18, 1986",Inglewood,America (United States),The Forum
"July 21, 1986",Bonner Springs,the US of America,Sandstone Amphitheater
"July 23, 1986",Philadelphia,United States,The Spectrum
"July 27, 1986",Portland,United States,Cumberland County Civic Center
"July 29, 1986",New Haven,United States,New Haven Coliseum
"July 30, 1986",Mansfield,the U.S.,Great Woods Performing Arts Center
"August 2, 1986",Landover,the States,Capital Centre
"August 5, 1986",New York City,United States,Madison Square Garden
"August 7, 1986",Atlanta,United States,Six Flags Park
"August 8, 1986",Daytona Beach,United States,Ocean Center
"August 11, 1986",Canandaigua,United States,Finger Lakes Performing Arts Center
"August 12, 1986",Saratoga Springs,the States,Saratoga Springs Performing Arts Center
"August 14, 1986",Toronto,Canada,CNE Grandstand
"August 17, 1986",Middletown,U.S.,Orange County Fairgrounds
"August 20, 1986",Morrison,United States,Red Rocks Amphitheatre
"August 28, 1986",Long Beach,US of A,Long Beach Arena
"September 16, 1986",Weedsport,US of A,Cayuga County Fair Speedway
Oceania,Oceania,Oceania,Oceania
"September 24, 1986",Sydney,Australia,Sydney Entertainment Centre
"September 25, 1986",Sydney,Australia,Sydney Entertainment Centre
"September 27, 1986",Brisbane,Australia,Brisbane Festival Hall
"September 29, 1986",Melbourne,Australia,Melbourne Festival Hall
"September 30, 1986",Melbourne,Australia,Melbourne Festival Hall
"October 1, 1986",Melbourne,Australia,Melbourne Festival Hall
"October 4, 1986",Melbourne,Australia,Melbourne Festival Hall
"October 6, 1986",Sydney,Australia,Sydney Entertainment Centre
