col0,col1,col2,col3,col4
Attilia Vaglieri,architect,Italy,1891,
Giulia Guarino,architect,Italy   Uruguay,1897-07-17,Eboli
Elena Luzzatto,architect,Italy,1900-10-30,Ancona
Maria Teresa Parpagliolo Shephard,landscape architect   architect,IT,1903,City of Seven Hills
Stefania Filo Speziale,architect,Italy,1905,Naples
Maria Gardena,actor   architect,Italy,1920,Bolzano
Franca Helg,designer   architect,Italy,1920-02-21,Milan
Anna Castelli Ferrieri,designer   architect,Italy,1920-08-06,Milan
Luisa Castiglioni Deichmann,architect,Italy,1922-03-28,Milan
Liliana Grassi,architect,Italy,1923-04-01,Milan
Cini Boeri,architect,Italian Republic,1924-06-19,Milan
Lily Inglis,architect,🇮🇹,1926,Milan
Giorgia Toniolatti,architect,Italia,1927-12-02,Trento
Lella Vignelli,architect   designer,Italy,1934-08-13,Udine
Afra Scarpa,architect,Italy,1937-03-28,Montebelluna
Luisa De Biasio Calimani,politician   architect,Italy,1939,Trieste
Isabella Di Resta,architect,ITA,1941-11-17,Vitulazio
Laura Thermes,architect,Italy,1943,Rome
Donatella Mazzoleni,architect,Republic of Italy,1943,Florence
Elisabetta Spitz,architect,🇮🇹,1953-01-22,City of Seven Hills
Patrizia Montini Zimolo,architect,Italy,1954-01-20,Venice
Doriana Mandrelli,architect   designer,Republic of Italy,1955,
Maria Cristina Finucci,artist   architect   designer,Republic of Italy,1956,Lucca
Carlotta de Bevilacqua,architect   structural engineer   entrepreneur,Italy,1957-06-23,Milan
Mara Servetto,architect   designer,Italy,1957-09-09,Turin
Maria Carla Lenzo,architect,Italy,1958,Palermo
Guya Bertelli,architect,Italy,1958,Milan
Paola Viganò,architect,Republic of Italy,1961,Sondrio
Patrizia Falcone,architect,IT,1961,Milan
Guendalina Salimei,architect,Italy,1962,Rome
Francesca Romana Salvi,architect,Italy,1962-06-02,Rome
Teresa Sapey,architect,🇮🇹,1962-06-13,Cuneo
Paola Antonelli,art historian   university teacher   architect,Italy,1963-05-13,Sassari
Benedetta Tagliabue,architect,Italian Republic,1963-06-24,Milan
Ada Tolla,architect,Italy,1964-02-29,Naples
Antonella Stasi,architect,Italy,1966-10-26,Crotone
Serena Pellegrino,architect   politician,🇮🇹,1966-11-11,Lecce
Margherita Asquasciati,architect,🇮🇹,1968-08-12,Genoa
Giovanna Borasi,architect   curator,Italy,1971,Milan
Alessandra Cianchetta,architect,IT,1971,
Silvana De Stefano,architect,Italy,,Naples
Elena Manferdini,architect,IT,,
Giovanna Carnevali,architect,Repubblica Italiana,,
