col0,col1,col2
Armagh,Thomas Carson,Vanguard Unionist Progressive Party
Armagh,Douglas Hutchinson,DUP
Armagh,Seamus Mallon,Social Democratic and Labour Party
Armagh,Hugh News,Social Democratic and Labour Party
Armagh,Paddy O'Hanlon,Social Democratic and Labour Party
Armagh,James Stronge,Ulster Unionist Party
Armagh,Herbert Whitten,Ulster Unionist Party
Belfast East,Norman Agnew,Ulster Unionist Party
Belfast East,David Bleakley,Northern Ireland Labour Party
Belfast East,Roy Bradford,Ulster Unionist Party
Belfast East,Joshua Cardwell,Ulster Unionist Party
Belfast East,Oliver Napier,Alliance Party of Northern Ireland
Belfast East,Eileen Paisley,Democratic Unionist Party
Belfast North,John Ferguson,Alliance Party of Northern Ireland
Belfast North,Gerry Fitt,Social Democratic and Labour Party
Belfast North,Lloyd Hall-Thompson,Ulster Unionist Party
Belfast North,John McQuade,DUP
Belfast North,Frank Millar,Ulster Unionist Party
Belfast North,William Morgan,Ulster Unionist Party
Belfast South,Thomas Burns,Democratic Unionist Party
Belfast South,Nelson Elder,Ulster Unionist Party
Belfast South,Basil Glass,Alliance Party of Northern Ireland
Belfast South,Herbert Kirk,Ulster Unionist Party
Belfast South,Reginald Magee,Ulster Unionist Party
Belfast South,Basil McIvor,Ulster Unionist Party
Belfast West,Bob Cooper,Alliance Party of Northern Ireland
Belfast West,Jean Coulter *,Vanguard Unionist Progressive Party
Belfast West,Paddy Devlin,Social Democratic and Labour Party
Belfast West,Desmond Gillespie,Social Democratic and Labour Party
Belfast West,John Laird *,Ulster Unionist Party
Belfast West,Hugh Smyth *,Independent Unionist
Fermanagh and South Tyrone,Ernest Baird,Vanguard Unionist Progressive Party
Fermanagh and South Tyrone,Austin Currie,Social Democratic and Labour Party
Fermanagh and South Tyrone,Thomas Daly,Social Democratic and Labour Party
Fermanagh and South Tyrone,John Taylor,Ulster Unionist Party
Fermanagh and South Tyrone,Harry West,Ulster Unionist Party
Londonderry,Michael Canavan,Social Democratic and Labour Party
Londonderry,Sheena Conn,Ulster Unionist Party
Londonderry,Glenn Barr,Vanguard Unionist Progressive Party
Londonderry,William Douglas,Ulster Unionist Party
Londonderry,John Hume,Social Democratic and Labour Party
Londonderry,Hugh Logue,Social Democratic and Labour Party
Londonderry,Leslie Morrell,Ulster Unionist Party
Mid Ulster,Ivan Cooper,Social Democratic and Labour Party
Mid Ulster,John Dunlop,Vanguard Unionist Progressive Party
Mid Ulster,Paddy Duffy,Social Democratic and Labour Party
Mid Ulster,Aidan Larkin,Social Democratic and Labour Party
Mid Ulster,Duncan Pollock,Ulster Unionist Party
Mid Ulster,William Thompson,Ulster Unionist Party
North Antrim,John Baxter,Ulster Unionist Party
North Antrim,James Craig,DUP
North Antrim,William Craig,Vanguard Unionist Progressive Party
North Antrim,John O'Hagan,Social Democratic and Labour Party
North Antrim,Ian Paisley,Democratic Unionist Party
North Antrim,Clifford Smyth ♭,DUP
North Antrim,Hugh Wilson,Alliance Party of Northern Ireland
North Down,John Brooke,Ulster Unionist Party
North Down,William Brownlow,Ulster Unionist Party
North Down,Robert Campbell,Ulster Unionist Party
North Down,James Kilfedder,Ulster Unionist Party
North Down,Bertie McConnell,Alliance Party of Northern Ireland
North Down,Charles Mulholland,Alliance Party of Northern Ireland
North Down,Charles Poots,Democratic Unionist Party
South Antrim,Austin Ardill,Ulster Unionist Party
South Antrim,William Beattie,Democratic Unionist Party
South Antrim,Anne Dickson,Independent Unionist
South Antrim,Charles Kinahan,Alliance Party of Northern Ireland
South Antrim,Kennedy Lindsay,Vanguard Unionist Progressive Party
South Antrim,Vincent McCloskey,Social Democratic and Labour Party
South Antrim,Peter McLachlan,Ulster Unionist Party
South Antrim,Nat Minford,Ulster Unionist Party
South Down,Ronald Broadhurst,Ulster Unionist Party
South Down,Brian Faulkner,Ulster Unionist Party
South Down,Frank Feely,Social Democratic and Labour Party
South Down,Cecil Harvey,Vanguard Unionist Progressive Party
South Down,Herbert Heslip,Ulster Unionist Party
South Down,Eddie McGrady,Social Democratic and Labour Party
South Down,Patrick O'Donoghue,Social Democratic and Labour Party
