col0,col1,col2,col3
Year,Gold,Silver,Bronze
1965,Ineke van IJken,Bella Hage,Alie Zijlmans
1966,Bella Hage,Keetie van Oosten-Hage,
1967,Bella Hage,Hennie Faber-Hondeveld,Keetie van Oosten-Hage
1968,Bella Hage,Hennie Faber-Hondeveld,Thea Smulders
1969,Keetie van Oosten-Hage,Hennie Faber-Hondeveld,Thea Smulders
1970,Keetie van Oosten-Hage,Hennie Faber-Hondeveld,Bella van der Spiegel-Hage
1971,Keetie van Oosten-Hage,Hennie Faber-Hondeveld,Thea Smulders
1972,Keetie van Oosten-Hage,Bella van der Spiegel-Hage,Minie Brinkhoff-Nieuwenhuis
1973,Keetie van Oosten-Hage,Willy Kwantes,Truus van der Plaat
1974,Keetie van Oosten-Hage,Minie Brinkhoff-Nieuwenhuis,Willy Kwantes
1975,Keetie van Oosten-Hage,Gre Donkers-Knetemann,Truus van der Plaat
1976,Keetie van Oosten-Hage,Tineke Fopma,Annie Weegberg
1977,Nita van Vliet,Nel Streef,Agnes Koeman-van Helvoirt
1978,Keetie van Oosten-Hage,Bella van der Spiegel-Hage,Truus van der Plaat
1979,Tineke Fopma,Hennie Top,Keetie van Oosten-Hage
1980,Hennie Top,Leontine van der Lienden,Mary Barendregt
1981,Hennie Top,Tineke Fopma,Leontine van der Lienden
1982,Hennie Top,Leontine van der Lienden,Wil Bezemer
1983,Thea van Rijnsoever,Mieke Havik,Leontine van der Lienden
1984,Connie Meijer,Leontine van der Lienden,Hennie Top
1985,Thea van Rijnsoever,Heleen Hage,Hanneke Lieverse
1986,Heleen Hage,Mieke Havik,Thea van Rijnsoever
1987,Mieke Havik,Jolanda Cools-van Dongen,Karin Schuitema
1988,Monique Knol,Leontien van Moorsel,Cyntha Lutke Schipholt
1989,Leontien van Moorsel,Petra Groen,Astrid Donkersloot
1990,Leontien van Moorsel,Agnes Loohuis-Damveld,Manon de Rooy
1991,Petra Grimbergen,Monique Knol,Leontien van Moorsel
1992,Leontien van Moorsel,Petra Grimbergen,Monique Knol
1993,Leontien van Moorsel,Daniëlle Overgaag,Elsbeth van Rooy-Vink
1994,Yvonne Brunen,Elsbeth van Rooy-Vink,Edith Klep-Moerenhout
1995,Yvonne Brunen,Margaretha Groen,Maria Jongeling
1996,Yvonne Brunen,Meike de Bruijn,Ingrid Haringa
1997,Nicole Vermast,Yvonne Brunen,Edith Klep-Moerenhout
1998,Leontien van Moorsel-Zijlaard,Chantal Beltman,Wendy Kramp
1999,Leontien van Moorsel-Zijlaard,Mirjam Melchers,Yvonne Brunen
2000,Mirjam Melchers,Leontien van Moorsel-Zijlaard,Chantal Beltman
2001,Sissy van Alebeek,Bertine Spijkerman,Martine Bras
2002,Arenda Grimberg,Leontien van Moorsel-Zijlaard,Mirjam Melchers
2003,Suzanne de Goede,Christine Mos,Esther van der Helm
2004,Leontien van Moorsel-Zijlaard,Chantal Beltman,Loes Markerink
2005,Janneke Vos,Sharon van Essen,Josephine Groenveld
2006,Marianne Vos,Sharon van Essen,Suzanne de Goede
2007,Marlijn Binnendijk,Marianne Vos,Suzanne de Goede
2008,Marianne Vos,Mirjam Melchers-van Poppel,Regina Bruins
2009,Marianne Vos,Chantal Blaak,Andrea Bosman
2010,Loes Gunnewijk,Marianne Vos,Irene van den Broek
2011,Marianne Vos,Irene van den Broek,Chantal Blaak
2012,Annemiek van Vleuten,Marianne Vos,Lucinda Brand
2013,Lucinda Brand,Marianne Vos,Annemiek van Vleuten
2014,Iris Slappendel,Lucinda Brand,Marianne Vos
2015,Lucinda Brand,Amy Pieters,Annemiek van Vleuten
2016,Anouska Koster,Janneke Ensing,Marianne Vos
2017,Chantal Blaak,Anouska Koster,Floortje Mackaij
2018,Chantal Blaak,Amy Pieters,Marianne Vos
2019,Lorena Wiebes,Marianne Vos,Amy Pieters
2020,Anna van der Breggen,Annemiek van Vleuten,Anouska Koster
2021,Amy Pieters,Nancy van der Burg,Karlijn Swinkels
2022,Riejanne Markus,Shirin van Anrooij,Lorena Wiebes
2023,Demi Vollering,Lorena Wiebes,Marianne Vos
2024,Chantal van den Broek-Blaak,Mischa Bredewold,Nina Kessler
