col0,col1,col2,col3
"February 25, 2015",Oaktown,United States,Fox Oakland Theater
"February 26, 2015",Oakland,U.S.A.,Fox Oakland Theatre
"February 28, 2015",Las Vegas,the U.S. of A,Chelsea Ballroom
"March 1, 2015","Anaheim, CA",U.S.A.,Tinseltown
"March 3, 2015",Orem,the States,Utah Valley University
"March 7, 2015",Minneapolis,USA,Orpheum Theatre
"March 8, 2015",Chicago,United States,Chicago Theatre
"March 9, 2015",Chicago,the US of America,Chicago Theatre
"March 11, 2015",Toronto,Canada,Sound Academy
"March 12, 2015",Toronto,Canada,Sound Academy
"March 14, 2015",Atlantic City,United States,Borgata Event Center
"March 15, 2015",Wallingford,United States,Toyota Oakdale Theatre
"March 16, 2015",Boston,United States,Agganis Arena
"March 18, 2015",New York City,United States,The Theater at Madison Square Garden
"March 19, 2015",Fairfax,United States,Patriot Center
"March 21, 2015",Atlanta,United States,The Tabernacle
"March 22, 2015",Tampa,United States,Busch Gardens
"March 25, 2015",Houston,United States,Bayou Music Center
"March 26, 2015",Austin,United States,Moody Theater
"March 28, 2015",Tulsa,United States,Brady Theater
"March 29, 2015",Grand Prairie,United States,Verizon Theatre
"Europe Europe box score:
*","Europe Europe box score:
*","Europe Europe box score:
*","Europe Europe box score:
*"
"April 9, 2015",Lisbon,Portugal,Coliseu dos Recreios
"April 11, 2015",Madrid,Spain,Sala San Miguel
"April 12, 2015",Barcelona,Spain,Razzmatazz
"April 14, 2015",Milan,Italy,Fabrique
"April 15, 2015",Zürich,Switzerland,X-TRA
"April 16, 2015",Vienna,Austria,Planet.tt Bank Austria Halle
"April 18, 2015",Munich,Germany,Zenith Kulturhalle
"April 19, 2015",Cologne,Germany,Palladium
"April 20, 2015",Hamburg,Germany,Docks
"April 22, 2015",Offenbach,Germany,Stadthalle Offenbach
"April 23, 2015",Berlin,Germany,Columbiahalle
"April 25, 2015",Paris,France,Zénith de Paris
"April 26, 2015",Brussels,Belgium,Forest National
"April 28, 2015",Amsterdam,Netherlands,Heineken Music Hall
"April 29, 2015",Amsterdam,Netherlands,Heineken Music Hall
"April 30, 2015",London,England,Hammersmith Apollo
"May 2, 2015",Birmingham,England,O 2  Academy Birmingham
"May 3, 2015",Manchester,England,Manchester Academy
"May 4, 2015",Leeds,England,O 2  Academy Leeds
"May 6, 2015",Glasgow,Scotland,O 2  Academy Glasgow
Asia,Asia,Asia,Asia
"May 28, 2015",Seoul,South Korea,Olympic Hall
"May 30, 2015",Kuala Lumpur,Malaysia,Stadium Negara
"June 1, 2015",Singapore,Singapore,The Star Vista
"June 3, 2015",Jakarta,Indonesia,Balai Kartini Expo
"June 4, 2015",Jakarta,Indonesia,Istora Senayan
"June 6, 2015",Quezon City,Philippines,Smart Araneta Coliseum
"June 7, 2015",Cebu City,Philippines,Waterfront Cebu City Hotel & Casino
"June 9, 2015",Tokyo,Japan,Zepp DiverCity
"June 10, 2015",Tokyo,Japan,Zepp DiverCity
"June 11, 2015",Tokyo,Japan,Zepp DiverCity
"June 13, 2015",Nagoya,Japan,Zepp Nagoya
"June 15, 2015",Fukuoka,Japan,Zepp Fukuoka
"June 16, 2015",Osaka,Japan,Zepp Namba
