col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17
2014,Flying Lizard Motorsports,35,GTD,Audi R8 LMS ultra,Audi 5.2L V10,DAY,2014 Sebring 12 Hours,LGA,DET,WGL,MOS,IND,ELK,VIR,COA,42nd,57
2015,Starworks Motorsport,8,PC,Oreca FLM09,Chevrolet LS3 6.2 L V8,DAY,SEB,LGA,BEL,WGL,MOS,LIM,ELK,COA,PET,33rd,27
2016,Action Express Racing,5,P,Coyote Corvette DP,Chevrolet 5.5L V8,DAY,SEB,LBH,LGA,BEL,WGL,MOS,ELK,COA,PET,18th,88
2017,Mustang Sampling Racing,5,P,Cadillac DPi-V.R,Cadillac 6.2 L V8,2017 Rolex 24 at Daytona,SEB,LBH,COA,BEL,WGL,MOS,ELK,LGA,PET,13th,126
2018,Mustang Sampling Racing,5,P,Cadillac DPi-V.R,Cadillac 5.5 L V8,DAY,SEB,LBH,MDO,DET,WGL,MOS,ELK,LGA,PET,6th,249
2019,Mustang Sampling Racing,5,DPi,Cadillac DPi-V.R,Cadillac 5.5 L V8,DAY,SEB,LBH,MDO,DET,WGL,MOS,ELK,LGA,PET,7th,258
2020,Whelen Engineering Racing,31,DPi,Cadillac DPi-V.R,Cadillac 5.5 L V8,DAY,DAY,SEB,ELK,ATL,MDO,PET,LGA,SEB,,19th,80
2021,Konica Minolta Acura,10,DPi,Acura ARX-05,Acura AR35TT 3.5 L Turbo V6,DAY,SEB,MDO,DET,WGL,WGL,ELK,LGA,LBH,PET,2nd,3396
2022,Konica Minolta Acura,10,DPi,Acura ARX-05,Acura AR35TT 3.5 L Turbo V6,DAY,SEB,LBH,LGA,MDO,DET,WGL,MOS,ELK,PET,2nd,3346
2023,Wayne Taylor Racing with Andretti Autosport,10,GTP,Acura ARX-06,Acura AR24e 2.4 L Turbo V6,DAY,SEB,LBH,LGA,WGL,MOS,ELK,IMS,PET,,2nd,2712
2024,Wayne Taylor Racing with Andretti,10,GTP,Acura ARX-06,Acura AR24e 2.4 L Turbo V6,DAY,SEB,LBH,LGA,DET,WGL,,ELK,IMS,PET,6th*,1664*
Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:,Source:
