col0,col1,col2,col3
1990,Jeremy John Irons,Reversal of Fortune,Claus von Bülow
1991,Anthony Hopkins,The Silence of the Lambs,Hannibal Lecter
1991,Warren Beatty,Bugsy,Benjamin Siegel
1991,William Hurt,The Doctor,Dr. Jack MacKee
1991,Val Kilmer,The Doors,Jim Morrison
1991,Joe Mantegna,Homicide,Bobby Gold
1991,Nick Nolte,The Prince of Tides,Tom Wingo
1991,John Turturro,Barton Fink,Barton Fink
1992,Denzel Washington,Malcolm X,Malcolm X
1992,Robert Downey Jr.,Chaplin,Charlie Chaplin
1992,Clint Eastwood,Unforgiven,William 'Will' Munny
1992,Al Pacino,Scent of a Woman,Frank Slade
1992,Tim Robbins,The Player,Griffin Mill
1993,Liam Neeson,Schindler's List,Oskar Schindler
1993,Jeff Bridges,Fearless,Max Klein
1993,Daniel Day-Lewis,The Age of Innocence,Newland Archer
1993,Laurence Fishburne,What's Love Got to Do with It,Ike Turner
1993,Tom Hanks,Philadelphia,Andrew Beckett
1993,Anthony Hopkins,The Remains of the Day,James Stevens
1994,Tom Hanks,Forrest Gump,Forrest Gump
1994,Johnny Depp,Ed Wood,Ed Wood
1994,Samuel L. Jackson,Pulp Fiction,Jules Winnfield
1994,Tommy Lee Jones,Cobb,Ty Cobb
1994,John Travolta,Pulp Fiction,Vincent Vega
1995,Nicolas Cage,Leaving Las Vegas,Ben Sanderson
1995,Morgan Freeman,Seven,Detective Lt. William Somerset
1995,Sir Anthony Hopkins,Nixon,Richard Nixon
1995,Sean Penn,Dead Man Walking,Matthew Poncelet
1995,Denzel Washington,Devil in a Blue Dress,Easy Rawlins
1996,Billy Bob Thornton,Sling Blade,Karl Childers
1996,Kenneth Branagh,Hamlet,Hamlet
1996,William H. Macy,Fargo,Jerry Lundegaard
1996,Liam Neeson,Michael Collins,Michael Collins
1996,Geoffrey Rush,Shine,David Helfgott
1996,Denzel Washington,Courage Under Fire,Lt. Colonel Nathaniel Serling
1997,Robert Duvall,The Apostle,Euliss Dewey/The Apostle
1997,Peter Fonda,Ulee's Gold,Ulysses 'Ulee' Jackson
1997,Ian Holm,The Sweet Hereafter,Mitchell Stephens
1997,Jack Nicholson,As Good as It Gets,Melvin Udall
1997,Al Pacino,Donnie Brasco,Benjamin 'Lefty' Ruggiero
1998,Ian McKellen,Gods and Monsters,James Whale
1998,Roberto Benigni,Life Is Beautiful,Guido Orefice
1998,Jim Carrey,The Truman Show,Truman Burbank
1998,Tom Hanks,Saving Private Ryan,Captain John H. Miller
1998,Edward Norton,American History X,Derek Vinyard
1999,Kevin Spacey,American Beauty,Lester Burnham
1999,Jim Broadbent,Topsy-Turvy,W. S. Gilbert
1999,Russell Crowe,The Insider,Jeffrey Wigand
1999,Richard Farnsworth,The Straight Story,Alvin Straight
1999,Denzel Washington,The Hurricane,Rubin The Hurricane Carter
