col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18
Chertsey,Macmaster,Macmaster,Richardson,Richardson,Richardson,Richardson,Richardson,Richardson,Richardson,Richardson,Boyd-Carpenter,Boyd-Carpenter,Boyd-Carpenter,Sir Arthur Marsden,Marsden,Marsden,Marsden,Sir Arthur Marsden
Croydon North,Borwick,Borwick,Borwick,Mason,"Glyn Keith Murray Mason, 2nd Baron Blackford","Glyn Keith Murray Mason, 2nd Baron Blackford",Mason,Mason,Mason,"Glyn Keith Murray Mason, 2nd Baron Blackford","Glyn Keith Murray Mason, 2nd Baron Blackford",Mason,Mason,Mason,Sir Henry Urmston Willink,Willink,Henry Willink,Harris
Croydon South,Malcolm,Smith,Smith,Smith,Smith,Mitchell-Thomson,Mitchell-Thomson,Mitchell-Thomson,Mitchell-Thomson,Mitchell-Thomson,Mitchell-Thomson,Williams,Williams,Williams,Williams,Rees-Williams,"David Rees Rees-Williams, 1st Baron Ogmore","David Rees Rees-Williams, 1st Baron Ogmore"
Epsom,Blades,Blades,Blades,Blades,Blades,Blades,Blades,Southby,Southby,"Commander Sir Archibald Richard James Southby, 1st Bt.","Commander Sir Archibald Richard James Southby, 1st Bt.",Southby,Southby,Southby,Southby,"Commander Sir Archibald Richard James Southby, 1st Bt.",McCorquodale,McCorquodale
Farnham,Samuel,Samuel,Samuel,Samuel,Samuel,Samuel,Samuel,Samuel,Samuel,Samuel,Samuel,Samuel,Samuel,"Sir Godfrey Nicholson, 1st and last Bt.","Sir Godfrey Nicholson, 1st and last Bt.",Nicholson,Nicholson,Nicholson
Guildford,Horne,Horne,Horne,Sir Henry Cecil Buckingham,Buckingham,Sir Henry Cecil Buckingham,Buckingham,Buckingham,Buckingham,Charles Arthur Uryan Rhys,Charles Arthur Uryan Rhys,Charles Rhys,Jarvis,Jarvis,Jarvis,Jarvis,Jarvis,Jarvis
Kingston upon Thames,Campbell,Campbell,Campbell,Penny,Penny,Penny,Penny,Penny,Penny,Penny,Penny,Penny,Penny,Royds,Royds,Boyd-Carpenter,Boyd-Carpenter,John Boyd-Carpenter
Mitcham,Worsfold,Worsfold,Worsfold,Worsfold,Chuter Ede,Meller,Meller,Meller,Meller,Meller,Meller,Meller,Meller,Meller,Robertson,Braddock,Thomas Braddock,Braddock
Reigate,Cockerill,Cockerill,Cockerill,Cockerill,Cockerill,Cockerill,Cockerill,Cockerill,Cockerill,Cockerill,Touche,Touche,Touche,Touche,Touche,Touche,Touche,Touche
Richmond (Surrey),Edgar,Edgar,Edgar,Becker,Becker,→,Moore,Moore,Moore,Moore,Moore,Ray,Sir William Ray,Harvie-Watt,Harvie-Watt,Harvie-Watt,Harvie-Watt,Harvie-Watt
Surrey East,Coats,Coats,Coats,Galbraith,Galbraith,Galbraith,Galbraith,Galbraith,Galbraith,Galbraith,Galbraith,Galbraith,Emmott,Charles Ernest George Campbell Emmott,Charles Ernest George Campbell Emmott,Astor,Astor,Astor
Wimbledon,Sir Joseph Hood,Hood,Hood,Hood,Hood,Hood,John Power,Power,John Power,John Power,"Sir John Cecil Power, 1st Bt.",Power,"Sir John Cecil Power, 1st Bt.",Power,"Sir John Cecil Power, 1st Bt.",Palmer,Palmer,Palmer
