col0,col1,col2,col3,col4,col5
Randy Neufeld,Cory Anderson,Birk Cramer,Scott Podolski,Jeff Warkentin,"La Salle CC, Thompson"
Jason Gunnlaugson,Justin Richter,Braden Zawada,Tyler Forrest,,"Beausejour CC, Beausejour"
David Boehmer,Kyle Einarson,Matthew LaCroix,Jason Bedard,Marc LaCroix,"Petersfield CC, Petersfield"
Randy Dutiaume,Andy Stewart,Greg Melnichuck,Cory Wolchuck,,"Stony Mountain CC, Stony Mountain"
Ryan Hyde,Hartley Vanstone,Jared Munro,Ashley Linden,Trevor Munro,"Portage CC, Portage la Prairie"
Kelly Marnoch,Tyler Waterhouse,Cale Dunbar,Chris Cameron,Evan Reynolds,"Carberry CC, Carberry"
Curtis McCannell,Eric Atkins,Don Vines,Jason Morrow,William Harding,"Pilot Mound CC, Pilot Mound"
Allan Lyburn,Scott Ramsay,Mark Taylor,Cory Barkley,,"Brandon CC, Brandon"
Murray Warren,Lorne Sambrook,Terry Warren,Reg Warren,Kyle Sambrook,"Deloraine CC, Deloraine"
Terry McNamee,Steven Irwin,Allan Lawn,Travis Saban,Adam Norget,"Hamiota CC, Hamiota"
Peter Prokopowich,Al Jenson,Jim Winfield,Kevin Lynch,,"Dauphin CC, Dauphin"
Murray Woodward,Blaine Gogal,Sean Nedohin,Dave Salahub,,"Flin Flon CC, Flin Flon"
Travis Graham,Farrol Asham,Grant Brown,Glen Ringrose,Darwin Graham,"Burntwood CC, Thompson"
Shawn Magnusson,Kevin Vigfusson,Cory Mamchuk,Darcy Jacobs,Aaron Magnusson,"Riverton CC, Riverton"
Kerry Burtnyk,Don Walchuk,Rich Daneault,Garth Smith,,"Assiniboine Memorial CC, Winnipeg"
David Kraichy,Jim Coleman,Rylan Young,Brad VanWallaghem,Lynn Coleman,"Pembina CC, Pembina"
Brendan Taylor,Kyle Werenich,Taren Gesell,Cory Naharnie,,"West Kildonan CC, Winnipeg"
Andrew Wickman,Kyle Foster,Ken Buchanan,Kieth Doherty,James Kirkness,"West Kildonan CC, Winnipeg"
Dave Elias,William Kuhran,Hubert Perrin,Chris Suchy,,"West Kildonan CC, Winnipeg"
Bob Sigurdson,Darren Oryniak,Al Purdy,Chad Barkman,,"Granite CC, Winnipeg"
Sean Grassie,Michael Johnson,Scott McCamis,Nathan Bodnarchuk,Brett Cawson,"Deer Lodge CC, Winnipeg"
David Bohn,Dennis Bohn,Kody Janzen,Larry Solomon,,"Assiniboine Memorial CC, Winnipeg"
Wayne Ewasko,Randal Thomas,Dave Beaudoin,Dallas Senebald,Trevor Lyons,"Heather CC, Winnipeg"
William Lyburn,Geordie Hargreaves,Keith Marshall,Mike Marshall,Ken Tresoor,"Brandon CC, Brandon"
Reid Carruthers,Chrais Galbraith,Derek Samagalski,Shane Kilgallen,,"West St. Paul CC, West St. Paul"
Jeff Stoughton,Kevin Park,Rob Fowler,Steve Gould,,"Charleswood CC, Winnipeg"
Mike McEwen,B.J. Neufeld,Matt Wozniak,Denni Neufeld,,"Assiniboine Memorial CC, Winnipeg"
David Hamblin,Ross Derksen,Ryan Thomson,Mark Georges,Kris Mazinke,"Morris CC, Morris"
Andrew Irving,Ryan Hlatkey,Robby Robidoux,Ryan Schwab,,"Heather CC, Winnipeg"
Kevin Larson,Garth Light,Greg Scott,Joerg Arnold,Phil Cook,"Springfield CC, Springfield"
Doug Riach,Nathan Asham,Mike Friesen,A.J. Giardin,Shane Halliburton,"West Kildonan CC, Winnipeg"
Jim Kirkness,Rick Pullen,Reg Steckler,Don Newbury,Gerry Wilson,"Fort Rouge CC, Winnipeg"
