col0,col1,col2
The Blue Lamp,Basil Dearden,Michael Balcon
Chance of a Lifetime,Bernard Miles,"Bernard Miles, Baron Miles"
Morning Departure,Roy Baker,Jay Lewis
Seven Days to Noon,"John Boulting, Roy Boulting","John Boulting, Roy Boulting"
State Secret,Sidney Gilliat,"Sidney Gilliat, Frank Launder"
The Wooden Horse,Jack Lee,Ian Dalrymple
The Lavender Hill Mob,Charles Crichton,Sir Michael Elias Balcon
The Browning Version,Anthony Asquith,Teddy Baird
The Magic Box,John Boulting,Ronald Neame
The Magic Garden,Donald Swanson,Donald Swanson
The Man in the White Suit,Alexander Mackendrick,Sir Michael Elias Balcon
No Resting Place,Paul Rotha,Colin Lesslie
The Small Miracle,"Maurice Cloche, Ralph Smart",Anthony Havelock-Allan
White Corridors,Pat Jackson,"John Croydon, Joseph Janni"
The Sound Barrier,David Lean,David Lean
Angels One Five,George More O'Ferrall,"John W. Gossage, Derek N. Twist"
"Cry, the Beloved Country",Zoltán Korda,"Zoltán Korda, Alan Paton"
Mandy,"Alexander Mackendrick, Fred F. Sears","Michael Balcon, Leslie Norman"
Outcast of the Islands,Carol Reed,Carol Reed
The River,Jean Renoir,"Kenneth McEldowney, Jean Renoir"
Genevieve,Henry Cornelius,Henry Cornelius
The Cruel Sea,Charles Frend,Leslie Norman
The Heart of the Matter,George More O'Ferrall,Ian Dalrymple
The Kidnappers,Philip Leacock,"Sergei Nolbandov, Leslie Parkyn"
Moulin Rouge,John Huston,John and James Woolf
Hobson's Choice,David Lean,David Lean
Carrington V.C.,Anthony Asquith,Teddy Baird
The Divided Heart,Charles Crichton,Michael Truman
Doctor in the House,Ralph Thomas,Betty E. Box
"For Better, for Worse",J. Lee Thompson,Kenneth Harper
The Maggie,Alexander Mackendrick,Michael Truman
The Purple Plain,Robert Parrish,John Bryan
Romeo and Juliet,Renato Castellani,"Sandro Ghenzi, Joseph Janni"
Richard III,Laurence Olivier,Laurence Olivier
The Colditz Story,Guy Hamilton,Ivan Foxwell
The Dam Busters,Michael Anderson,"Robert Clark, W. A. Whittaker"
The Ladykillers,Alexander Mackendrick,"Seth Holt, Michael Balcon"
The Night My Number Came Up,Leslie Norman,Michael Balcon
The Prisoner,Peter Glenville,Vivian Cox
Simba,Brian Desmond Hurst,Peter De Sarigny
Reach for the Sky,Lewis Gilbert,Daniel M. Angel
The Battle of the River Plate,"Michael Powell, Emeric Pressburger","Michael Powell, Emeric Pressburger"
The Man Who Never Was,Ronald Neame,André Hakim
A Town Like Alice,Jack Lee,Joseph Janni
Yield to the Night,J. Lee Thompson,Kenneth Harper
The Bridge on the River Kwai,David Lean,Sam Spiegel
The Prince and the Showgirl,Laurence Olivier,Laurence Olivier
The Shiralee,Leslie Norman,"Michael Balcon, Jack Rix"
Windom's Way,Ronald Neame,John Bryan
Room at the Top,Jack Clayton,"James Woolf, John Woolf"
Ice Cold in Alex,J. Lee Thompson,W. A. Whittaker
Indiscreet,Stanley Donen,Stanley Donen
Orders to Kill,Anthony Asquith,Anthony Havelock-Allan
Sea of Sand,Guy Green,"Robert S. Baker, Monty Berman"
Sapphire,Basil Clive Dear,Michael Relph
Look Back in Anger,Tony Richardson,Harry Saltzman
North West Frontier,J. Lee Thompson,Marcel Hellman
Tiger Bay,J. Lee Thompson,"John Hawkesworth, Leslie Parkyn, Julian Wintle"
Yesterday's Enemy,Val Guest,Michael Carreras
