col0,col1
PS-1 Jacobabad-I,Sher Muhammad Khan Mugheri
PS-2 Jacobabad-II,Sohrab Khan Sarki
PS-3 Jacobabad-III,Mumtaz Hussain Khan
PS-4 Kashmore-I,Abdul Rauf Khoso
PS-5 Kashmore-II,Ghulam Abid Khan
PS-6 Kashmore-III,Mir Mehboob Ali Khan Bijarani
PS-7 Shikarpur-I,Imtiaz Ahmed Shaikh
PS-8 Shikarpur-II,Muhammad Arif Khan Mahar
PS-9 Shikarpur-III,Agha Siraj Durrani
PS-10 Larkana-I,Faryal Talpur
PS-11 Larkana-II,Jameel Ahmed Soomro
PS-12 Larkana-III,Sohail Anwar Siyal
PS-13 Larkana-IV,Adil Altaf Unnar
PS-14 Qambar Shahdadkot-I,Mir Nadir Ali Khan Magsi
PS-15 Qambar Shahdadkot-II,Nisar Khuhro
PS-16 Qambar Shahdadkot-III,Nawab Ghaibi Sardar Khan Chandio
PS-17 Qambar Shahdadkot-IV,Burhan Chandio
PS-18 Ghotki-I,Jam Mehtab Hussain Dahar
PS-19 Ghotki-II,Sardar Nadir Akmal Khan Leghari
PS-21 Ghotki-IV,Ali Nawaz Khan Mahar
PS-22 Sukkur-I,Ikramullah Khan Dharejo
PS-23 Sukkur-II,Awais Qadir Shah
PS-24 Sukkur-III,Syed Farukh Ahmed Shah
PS-25 Sukkur-IV,Nasir Hussain Shah
PS-26 Khairpur-I,Syed Qaim Ali Shah
PS-27 Khairpur-II,Haalaar Wassan
PS-28 Khairpur-III,Sajid Ali Banbhan
PS-29 Khairpur-IV,Shiraz Shaukat Rajpar
PS-30 Khairpur-V,Naeem Ahmed Kharal
PS-31 Khairpur-VI,Muhammad Rashid Shah
PS-32 Naushahro Feroze-I,Syed Serfraz Hussain Shah
PS-33 Naushahro Feroze-II,Syed Hassan Ali Shah
PS-34 Naushahro Feroze-III,Mumtaz Ali Chandio
PS-35 Naushahro Feroze-IV,Zia Ul Hassan Lanjar
PS-36 Shaheed Benazirabad-I,Azra Fazal Pechuho
PS-37 Shaheed Benazirabad-II,Chaudhary Javed Iqbal Arain
PS-38 Shaheed Benazirabad-III,Ghulam Qadir Chandio
PS-39 Shaheed Benazirabad-IV,Bahadur Khan Dahri
PS-40 Sanghar-I,Ghulam Dastageer Rajar
PS-41 Sanghar-II,Ali Hassan Hingorjo
PS-42 Sanghar-III,Jam Shabbir Ali Khan
PS-43 Sanghar-IV,Sardar Paras Dero
PS-44 Sanghar-V,Shahid Abdul Salam Thahim
PS-45 Mirpur Khas-I,Hari Ram
PS-46 Mirpur Khas-II,Syed Zulfiqar Ali Shah
PS-47 Mirpur Khas-III,Noor Ahmed Bhurgri
PS-48 Mirpur Khas-IV,Mir Tariq Ali Khan Talpur
PS-49 Umerkot-I,Syed Sardar Ali Shah
PS-50 Umerkot-II,Syed Ameer Ali Shah
PS-51 Umerkot-III,Nawab Muhammad Taimur Talpur
PS-52 Tharparkar-I,Dost Muhammad Rahimoon
PS-53 Tharparkar-II,Muhammad Qasim Soomro
PS-54 Tharparkar-III,Fakeer Sher Muhammad Bilalani
PS-55 Tharparkar-IV,Arbab Lutfullah
PS-56 Matiari-I,Makhdoom Mehboob Zaman
PS-57 Matiari-II,Makhdoom Fakhar Zaman
PS-58 Tando Allahyar-I,Syed Zia Abbas Shah
PS-59 Tando Allahyar-II,Imdad Ali Pitafi
PS-60 Hyderabad-I,Jam Khan Shoro
PS-61 Hyderabad-II,Sharjeel Inam Memon
PS-62 Hyderabad-III,Sabir Hussain Qaimkhani
PS-63 Hyderabad-IV,Rehan Rajpoot
PS-64 Hyderabad-V,Muhammad Rashid Khan
PS-65 Hyderabad-VI,Nasir Hussain Qureshi
PS-66 Tando Muhammad Khan-I,Syed Aijaz Hussain Shah
PS-68 Badin-I,Muhammad Halepoto
PS-69 Badin-II,Allah Bux Talpur
PS-70 Badin-III,Sardar Arbab Ameer Amanullah Khan
PS-71 Badin-IV,Taj Muhammad Mallah
PS-72 Badin-V,Ismail Rahoo
PS-73 Sujawal-I,Shah Hussain Shah Sheerazi
PS-74 Sujawal-II,Muhammad Ali Malkani
PS-75 Thatta-I,Riaz Hussain Shah Sheerazi
PS-76 Thatta-II,Ali Hassan Zardari
PS-77 Jamshoro-I,Murad Ali Shah
PS-78 Jamshoro-II,Sikandar Ali Shoro
PS-79 Jamshoro-III,Malik Sikandar Khan
PS-80 Dadu-I,Zubair Ahmed Junejo
PS-81 Dadu-II,Fayaz Ali Butt
PS-82 Dadu-III,Pir Mujeeb ul Haq
PS-83 Dadu-IV,Pir Saleh Shah Jeelani
PS-84 Karachi Malir-I,Muhammad Yousuf Murtaza Baloch
PS-85 Karachi Malir-II,Muhammad Sajid Jokhio
PS-86 Karachi Malir-III,Abdul Razak Raja
PS-87 Karachi Malir-IV,Mehmood Alam Jamot
PS-88 Karachi Malir-V,Ajaz Khan Swati
PS-89 Karachi Malir-VI,Muhammad Saleem Baloch
PS-90 Karachi Korangi-I,Syed Shariq Jamal
PS-91 Karachi Korangi-II,Muhammad Farooq Farhan
PS-92 Karachi Korangi-III,Wajid Hussain Khan
PS-93 Karachi Korangi-IV,Sajid Hussain Mir
PS-94 Karachi Korangi-V,Najam Mirza
PS-95 Karachi Korangi-VI,Muhammad Farooq Awan
PS-96 Karachi Korangi-VII,Muhammad Owais
PS-97 Karachi East-I,Rana Shoukat Ali
PS-98 Karachi East-II,Arsalan Perwaiz Siddiqui
PS-99 Karachi East-III,Syed Farhan Ansari
PS-100 Karachi East-IV,Syed Muhammad Usman
PS-101 Karachi East-V,Moeed Anwar
PS-102 Karachi East-VI,Muhammad Aamir Siddiqui
PS-103 Karachi East-VII,Faisal Rafiq
PS-104 Karachi East-VIII,Muhammad Daniyal
PS-105 Karachi East-IX,Saeed Ghani
PS-106 Karachi South-I,Sajjad Ali Soomro
PS-107 Karachi South-II,Muhammad Yousuf Baloch
PS-108 Karachi South-III,Muhammad Dilawar
PS-109 Karachi South-IV,Bilal Hussain Khan Jadoon
PS-110 Karachi South-V,Rehan Bandukda
PS-111 Karachi Keamari-I,Liaquat Ali Askani
PS-112 Karachi Keamari-II,Malak Sarbuland Khan
PS-113 Karachi Keamari-III,Faheem Ahmed Patni
PS-114 Karachi Keamari-IV,Muhammad Shabbir Qureshi
PS-115 Karachi Keamari-V,Muhammad Asif Khan
PS-116 Karachi West-I,Ali Ahmed Jan
