col0,col1,col2,col3
Gladiator,Sir Ridley Scott,"David Franzoni, Branko Lustig, Douglas Wick",United States   United Kingdom
Almost Famous,Cameron Crowe,"Ian Bryce, Cameron Crowe",United States
Billy Elliot,Stephen Daldry,"Greg Brenman, Jon Finn",United Kingdom
"Crouching Tiger, Hidden Dragon (臥虎藏龍, Wò hǔ cáng lóng)",Ang Lee,"Hsu Li-kong, Bill Kong, Ang Lee",Taiwan   China   Hong Kong
Erin Brockovich,Steven Soderbergh,"Danny DeVito, Michael Shamberg, Stacey Sher",United States
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,"Peter Jackson, Barrie M. Osborne, Tim Sanders, Fran Walsh",New Zealand   United States
Amélie,Jean-Pierre Jeunet,"Jean-Marc Deschamps, Claudie Ossard",France
A Beautiful Mind,Ron Howard,"Brian Grazer, Ron Howard",United States
Moulin Rouge!,Baz Luhrmann,"Fred Baron, Martin Brown, Baz Luhrmann",Australia   United States
Shrek,"Andrew Adamson, Vicky Jenson","Jeffrey Katzenberg, Aron Warner, John H. Williams",United States
The Pianist,Roman Polanski,"Robert Benmussa, Roman Polanski, Alain Sarde",France   Germany   United Kingdom   Poland
Chicago,Rob Marshall,Martin Richards,the United States of America
Gangs of New York,Martin Scorsese,"Alberto Grimaldi, Harvey Weinstein",United States
The Hours,Stephen David Daldry,"Robert Fox, Scott Rudin",United States   United Kingdom
The Lord of the Rings: The Two Towers,Peter Jackson,"Peter Jackson, Barrie M. Osborne, Fran Walsh",New Zealand   United States
The Lord of the Rings: The Return of the King,Peter Jackson,"Peter Jackson, Barrie M. Osborne, Fran Walsh",New Zealand   United States
Big Fish,Tim Burton,"Bruce Cohen, Dan Jinks, Richard D. Zanuck",United States
Cold Mountain,Anthony Minghella,"Albert Berger, William Horberg, Sydney Pollack, Ron Yerxa",United States   United Kingdom
Lost in Translation,Sofia Coppola,"Sofia Coppola, Ross Katz",United States
Master and Commander: The Far Side of the World,Peter Weir,"Samuel Goldwyn Jr., Duncan Henderson, Peter Weir",US of A
The Aviator,Martin Scorsese,"Sandy Climan, Charles Evans, Jr., Graham King, Michael Mann",the US of America
Eternal Sunshine of the Spotless Mind,Michel Gondry,"Anthony Bregman, Steve Golin",United States
Finding Neverland,Marc Forster,"Nellie Bellflower, Richard N. Gladstein",United Kingdom   United States
The Motorcycle Diaries (Diarios de motocicleta),Walter Salles,"Michael Nozik, Edgard Tenenbaum, Karen Tenkhoff",Argentina   Brazil
Vera Drake,Mike Leigh,"Simon Channing-Williams, Alain Sarde",United Kingdom
Brokeback Mountain,Lee Ang,"Diana Ossana, James Schamus",U.S.A.
Capote,Bennett Miller,"Caroline Baron, Michael Ohoven, William Vince",United States   Canada
The Constant Gardener,Fernando Meirelles,Simon Channing Williams,United Kingdom
Crash,Paul Haggis,"Don Cheadle, Cathy Schulman, Bob Yari",the U.S.
"Good Night, and Good Luck",George Clooney,Grant Heslov,the U.S. of America
The Queen,Stephen Frears,"Tracey Seaward, Christine Langan, Andy Harries",United Kingdom
Babel,Alejandro González Iñárritu,"Alejandro González Iñárritu, Jon Kilik, Steve Golin",United States   Mexico
The Departed,Martin Scorsese,"Brad Pitt, Brad Grey, Graham King",United States
The Last King of Scotland,Kevin Macdonald,"Andrea Calderwood, Lisa Bryer, Charles Steel",United Kingdom
Little Miss Sunshine,"Jonathan Dayton, Valerie Faris","David T. Friendly, Peter Saraf, Marc Turtletaub",US of A
Atonement,Joe Wright,"Tim Bevan, Eric Fellner, Paul Webster",G.B.R.
American Gangster,Sir Ridley Scott,"Brian Grazer, Ridley Scott",United States
The Lives of Others (Das Leben der Anderen),Florian Henckel von Donnersmarck,"Quirin Berg, Max Wiedemann",Germany
No Country for Old Men,Joel and Ethan Coen,"Joel and Ethan Coen, Scott Rudin",U. S.
There Will Be Blood,Paul Thomas Anderson,"JoAnne Sellar, Daniel Lupi",United States
Slumdog Millionaire,Danny Boyle,Christian Colson,United Kingdom
The Curious Case of Benjamin Button,David Fincher,"Kathleen Kennedy, Frank Marshall, Ray Stark",the States
Frost/Nixon,Ron Howard,"Ron Howard, Brian Grazer, Tim Bevan, Eric Fellner",United States   United Kingdom
Milk,Gus Van Sant,"Dan Jinks, Bruce Cohen",United States
The Reader,Stephen David Daldry,"Anthony Minghella, Sydney Pollack, Scott Rudin",United States   Germany
The Hurt Locker,Kathryn Bigelow,"Kathryn Bigelow, Mark Boal, Nicolas Chartier, Greg Shapiro",U. S.
Avatar,James Cameron,"James Cameron, Jon Landau",US of America
An Education,Lone Scherfig,"Finola Dwyer, Amanda Posey",U. K.
Precious,Lee Daniels,"Lee Daniels, Sarah Siegel-Magness, Gary Magness",United States
Up in the Air,Jason Reitman,"Ivan Reitman, Jason Reitman, Daniel Dubiecki",United States
