col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
PWI Female 50,PWI Female 50,PWI Female 50,PWI Female 50,PWI Female 50,PWI Female 50,PWI Female 50,PWI Female 50,PWI Female 50,PWI Female 50,PWI Female 50
2008,Awesome Kong,Elizabeth Copeland,Gail Kim-Irvine,Mickie James,Rachel Frobel,Sara Del Rey,Roxxi Laveaux,Melina,Michelle McCool,Mackenzie Montgomery
2009,Mickie Laree James-Aldis,Angelina Love,Melina Nava Perez,MsChif,Tara,Awesome Kong,Elizabeth Copeland,Michelle Leigh Calaway,Maryse,Shantelle Larissa Malawski
2010,Michelle Leigh Calaway,Lauren Williams,Mercedes Martinez,Melissa Anderson,Eve Torres Gracie,Lexi Lane,Beth Phoenix,Mickie Laree James-Aldis,Rachel Frobel,Maryse
2011,Madison Eagles,Maria Toro,Mickie James,Natalie Katherine Neidhart-Wilson,Ashley Rayne,Cheerleader Melissa,Beth Phoenix,Victoria,MsChif,Sara Amato
2012,Gail Kim-Irvine,Fabulous Firebird,Cheerleader Melissa,Sara Ann Amato,Jessicka Havok,Layla,Miss Tessmacher,Saraya Knight,Maria Toro,Victoria
2013,Cheerleader Melissa,Mickie James,Saraya Knight,Jessicka Havok,Kaitlyn,Gail Kim-Irvine,Kacee Carlisle,Victoria,AJ Lee,"""The Latina Sensation"" Mercedes Martinez"
2014,Paige,AJ Mendez,Gail Kim,Cheerleader Melissa,LuFisto,Angelina Love,Ivelisse Velez,Courtney Rush,Natalya,Ashley Flair
2015,Nicole Garcia-Colace,Saraya Bevis,Sasha Banks,Santana Garrett,Gail Kim,Charlotte,Trinity Fatu,Cherry Bomb,Courtney Rush,Taryn Terrell
2016,Ashley Flair,Sasha Banks,Kana,Becky Lynch,Bayley,Jade,Natalya,Gail Kim-Irvine,Dulce Poly,Sienna
2017,Kanako Urai‎,Ashley Flair,Alexa Bliss,Mercedes Kaestner-Varnado,Bayley,Io Shirai,Natalya,Sienna,Naomi,Kairi Sane
PWI Women's 100,PWI Women's 100,PWI Women's 100,PWI Women's 100,PWI Women's 100,PWI Women's 100,PWI Women's 100,PWI Women's 100,PWI Women's 100,PWI Women's 100,PWI Women's 100
2018,Ronda Rousey,Alexa Bliss,Charlotte Flair,Io Shirai,Kana,Shayna Baszler,Carmella,Nia Jax,Mayu Iwatani,Kairi Sane
2019,Becky Lynch,Charlotte Flair,Ronda Rousey,Shayna Baszler,Tessa Blanchard,Bayley,Natalya,Io Shirai,Mercedes Martinez,Nicole Savoy
2020,Bayley,Becky Lynch,Asuka,Charlotte Flair,Sasha Banks,Hikaru Shida,Tessa Blanchard,Riho,Io Shirai,Mayu Iwatani
PWI Women's 150,PWI Women's 150,PWI Women's 150,PWI Women's 150,PWI Women's 150,PWI Women's 150,PWI Women's 150,PWI Women's 150,PWI Women's 150,PWI Women's 150,PWI Women's 150
2021,Bianca Belair,Utami Hayashishita,Deonna Purrazzo,Britt Baker,Thunder Rosa,Sasha Banks,Syuri,Io Shirai,Tam Nakano,Raquel González
2022,Syuri,Bianca Belair,Thunder Rosa,Rebecca Quin,Jade Cargill,Jordynne Grace,Saya Kamitani,Charlotte Flair,Starlight Kid,Taya Valkyrie
PWI Women's 250,PWI Women's 250,PWI Women's 250,PWI Women's 250,PWI Women's 250,PWI Women's 250,PWI Women's 250,PWI Women's 250,PWI Women's 250,PWI Women's 250,PWI Women's 250
2023,Rhea Ripley,Giulia,Bianca Belair,Jamie Hayter,Tam Nakano,Athena,Deonna Purrazzo,Willow Nightingale,Kamille,Jordynne Grace
