col0,col1,col2
Willem James Dafoe,Shadow of the Vampire,Max Schreck
Jason Alexander,Adventures of Rocky and Bullwinkle,Boris Badenov
Dennis William Quaid,Frequency,Frank Sullivan
Giovanni Ribisi,The Gift,Buddy Cole
Will Smith,The Legend of Bagger Vance,Bagger Vance
Patrick Stewart,X-Men,Professor Charles Xavier
Ian McKellen,The Lord of the Rings: The Fellowship of the Ring,Gandalf the Grey
Robbie Coltrane,Harry Potter and the Philosopher's Stone,Rubeus Hagrid
Mark Dacascos,Brotherhood of the Wolf,Mani
Eddie Murphy,Shrek,Donkey (voice)
Jeremy Piven,Serendipity,Dean Kansky
Tim Roth,Planet of the Apes,General Thade
Andy Serkis,The Lord of the Rings: The Two Towers,Sméagol / Gollum
Ralph Fiennes,Red Dragon,Francis Dolarhyde
Tom Hardy,Star Trek: Nemesis,Praetor Shinzon
Toby Stephens,Die Another Day,Gustav Graves
Max von Sydow,Minority Report,Director Lamar Burgess
Robin Williams,Insomnia,Walter Finch
Sean Astin,The Lord of the Rings: The Return of the King,Samwise Gamgee
Sonny Chiba,Kill Bill: Volume 1,Hattori Hanzō
Ian McKellen,The Lord of the Rings: The Return of the King,Gandalf the White
Geoffrey Rush,Pirates of the Caribbean: The Curse of the Black Pearl,Captain Hector Barbossa
Andy Serkis,The Lord of the Rings: The Return of the King,Smeagol / Gollum
Ken Watanabe,The Last Samurai,Katsumoto Moritsugu
David Carradine,Kill Bill: Volume 2,Bill
Alfred Molina,Spider-Man 2,Otto Octavius / Doctor Octopus
Gary Oldman,Harry Potter and the Prisoner of Azkaban,Sirius Black
Giovanni Ribisi,Sky Captain and the World of Tomorrow,Dex
Liev Schreiber,The Manchurian Candidate,Raymond Shaw
John Turturro,Secret Window,John Shooter
Mickey Rourke,Sin City,Marv
William Hurt,A History of Violence,Richie Cusack
Val Kilmer,Kiss Kiss Bang Bang,Gay Perry
Ian McDiarmid,Star Wars: Episode III - Revenge of the Sith,Chancellor Palpatine / Darth Sidious
Cillian Murphy,Red Eye,Jackson Rippner
Liam Neeson,Batman Begins,Henri Ducard / Ra's al Ghul
Ben Affleck,Hollywoodland,George Reeves
Kelsey Grammer,X-Men: The Last Stand,Dr. Hank McCoy / Beast
Philip Seymour Hoffman,Mission: Impossible III,Owen Davian
Sergi López,Pan's Labyrinth,Captain Vidal
James Marsden,Superman Returns,Richard White
Bill Nighy,Pirates of the Caribbean: Dead Man's Chest,Davy Jones
Javier Bardem,No Country for Old Men,Anton Chigurh
Ben Foster,3:10 to Yuma,Charlie Prince
James Franco,Spider-Man 3,Harry Osborn / New Goblin
Justin Long,Live Free or Die Hard,Matthew Matt Farrell
Alan Rickman,Sweeney Todd: The Demon Barber of Fleet Street,Judge Turpin
David Wenham,300,Dilios
Heath Ledger  (posthumously),The Dark Knight,The Joker
Jeff Bridges,Iron Man,Obadiah Stane
Aaron Eckhart,The Dark Knight,Harvey Dent / Two-Face
Woody Harrelson,Transsiberian,Roy
Shia LaBeouf,Indiana Jones and the Kingdom of the Crystal Skull,Mutt Williams
Bill Nighy,Valkyrie,General Friedrich Olbricht
Stephen Lang,Avatar,Colonel Miles Quaritch
Woody Harrelson,Zombieland,Tallahassee
Frank Langella,The Box,Arlington Steward
Jude Law,Sherlock Holmes,Dr. John Watson
Stanley Tucci,The Lovely Bones,George Harvey
Christoph Waltz,Inglourious Basterds,Colonel Hans Landa
