col0,col1
Athletics,Men's 100 m T38
Athletics,Men's 200 m T38
Athletics,Men's 400 m T38
Athletics,Men's 800 m T53
Athletics,Men's 5000 m T54
Athletics,Men's Marathon T54
Athletics,Men's 4 × 100 m relay T35-T38
Athletics,Women's 100 m T46
Athletics,Women's 200 m T46
Athletics,Women's 400 m T38
Cycling,Men's bicycle road race/time trial CP4
Cycling,Men's bicycle 3 km individual pursuit CP4
Cycling,Men's tricycle road race CP 1/2
Cycling,Men's bicycle 1 km time trial LC 1-4
Cycling,Men's tandem 1 km time trial B1-3
Cycling,Men's bicycle 4 km individual pursuit LC1
Cycling,Men's tandem 4 km individual pursuit B1-3
Cycling,Men's tandem sprint B1-3
Cycling,Men's bicycle team sprint LC 1-4&CP 3/4
Cycling,Women's tandem sprint B 1-3
Swimming,Men's 100 m freestyle S8
Swimming,Men's 100 m freestyle S9
Swimming,Men's 200 m individual medley SM9
Swimming,Men's 4 × 100 m medley relay 34 pts
Swimming,Women's 400 m freestyle S7
Swimming,Women's 100 m breaststroke SB6
Athletics,Men's 100 m T46
Athletics,Men's 400 m T46
Athletics,Men's 400 m T44
Athletics,Men's Marathon T13
Athletics,Men's 4 × 100 m relay T53/T54
Athletics,Men's 4 × 400 m relay T42-T46
Athletics,Men's Shot put F33/34
Athletics,Men's Javelin throw F37
Athletics,Women's 200 m T37
Athletics,Women's 400 m T54
Athletics,Women's Discus throw F37
Cycling,Men's bicycle road race/time trial CP4
Cycling,Men's tricycle time trial CP1/2
Cycling,Women's bicycle time trial LC 1-4&CP 3/4
Cycling,Women's tandem road race/time trial B1-3
Cycling,Men's bicycle 1 km time trial CP3/4
Cycling,Men's bicycle 3 km individual pursuit CP4
Cycling,Women's tandem 3 km individual pursuit B1-3
Equestrian,Individual championship dressage GI
Powerlifting,Men's +100 kg
Shooting,Mixed free rifle prone SH1
Swimming,Men's 100 m butterfly S8
Swimming,Men's 100 m butterfly S8
Swimming,Men's 100 m butterfly S10
Swimming,Men's 100 m breaststroke SB9
Swimming,Men's 200 m individual medley SM8
Swimming,Men's 200 m individual medley SM10
Swimming,Men's 4 × 100 m freestyle relay 34 pts
Swimming,Women's 50 m freestyle S13
Swimming,Women's 100 m freestyle S7
Swimming,Women's 100 m freestyle S13
Swimming,Women's 400 m freestyle S8
Swimming,Women's 400 m freestyle S13
Swimming,Women's 100 m butterfly S13
Swimming,Women's 200 m individual medley SM13
Wheelchair Basketball,Men's tournament
Wheelchair Basketball,Women's tournament
Wheelchair tennis,Men's singles
Athletics,Men's 100 m T37
Athletics,Men's 200 m T46
Athletics,Men's 4 × 100 m relay T42-T46
Athletics,Men's Long jump F36-38
Athletics,Men's Shot put F13
Athletics,Men's Shot put F36
Athletics,Men's Pentathlon P44
Athletics,Women's 100 m T37
Athletics,Women's 100 m T53
Athletics,Women's Shot Put F12
Cycling,Men's bicycle road race/time trial LC1
Cycling,Men's tandem road race/time trial B1-3
Cycling,Women's tandem road race/time trial B1-3
Cycling,Men's bicycle 3 km individual pursuit CP3
Cycling,Men's tandem sprint B1-3
Cycling,Women's tandem 1 km time trial B1-3
Cycling,Women's tandem 3 km individual pursuit B1-3
Equestrian,Individual freestyle dressage GI
Shooting,Men's air rifle standing SH1
Swimming,Men's 50 m freestyle S8
Swimming,Men's 50 m freestyle S9
Swimming,Men's 100 m freestyle S8
Swimming,Men's 400 m freestyle S9
Swimming,Men's 100 m backstroke S10
Swimming,Women's 50 m butterfly S6
Swimming,Women's 100 m butterfly S9
Swimming,Women's 50 m breaststroke SB3
Swimming,Women's 150 m individual medley SM4
Swimming,Women's 100 m breaststroke SB13
Swimming,Women's 100 m backstroke S7
Swimming,Women's 200 m individual medley SM7
Swimming,Women's 4 × 100 m freestyle relay 34 pts
Swimming,Women's 4 × 100 m medley relay 34 pts
Swimming,Men's 100 m butterfly S9
Wheelchair tennis,Men's doubles
Wheelchair tennis,Women's singles
